GEO_ID,C05009_001E,C05009_001M,C05009_002E,C05009_002M,C05009_003E,C05009_003M,C05009_004E,C05009_004M,C05009_005E,C05009_005M,C05009_006E,C05009_006M,C05009_007E,C05009_007M,C05009_008E,C05009_008M,C05009_009E,C05009_009M,C05009_010E,C05009_010M,C05009_011E,C05009_011M,C05009_012E,C05009_012M,C05009_013E,C05009_013M,C05009_014E,C05009_014M,C05009_015E,C05009_015M,NAME,C05009_001EA,C05009_001MA,C05009_002EA,C05009_002MA,C05009_003MA,C05009_003EA,C05009_004EA,C05009_004MA,C05009_005MA,C05009_005EA,C05009_006MA,C05009_006EA,C05009_007EA,C05009_007MA,C05009_008MA,C05009_008EA,C05009_009MA,C05009_009EA,C05009_010MA,C05009_010EA,C05009_011MA,C05009_011EA,C05009_012EA,C05009_012MA,C05009_013EA,C05009_013MA,C05009_014MA,C05009_014EA,C05009_015EA,C05009_015MA,state
0400000US01,1061972,6538,349113,4973,346368,5143,2745,977,316871,4766,32242,2895,30364,2954,1878,959,712859,6383,698060,7099,14799,2985,668960,7043,43899,3856,31395,3985,12504,2706,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,179352,1744,62130,1928,61788,1963,342,314,55094,2127,7036,1395,6694,1357,342,314,117222,2227,115358,2457,1864,786,103263,3080,13959,1985,12469,1864,1490,743,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1540577,7707,528671,6053,520868,6133,7803,1755,377937,8029,150734,7523,143677,7612,7057,1791,1011906,8146,962262,8341,49644,5143,714185,10848,297721,10180,250142,9819,47579,5031,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,659320,5285,227082,4170,224308,4206,2774,980,200558,3681,26524,2665,23994,2388,2530,958,432238,5508,421458,5737,10780,1983,388987,5673,43251,3567,33241,3410,10010,1994,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8846687,18494,2927465,11046,2872697,11466,54768,4065,1530361,19353,1397104,18499,1346682,18135,50422,3879,5919222,16709,5452420,21969,466802,16224,2887410,27213,3031812,25673,2578261,26539,453551,15777,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1179063,5746,401753,4491,396313,4827,5440,1390,305404,6280,96349,5162,92382,5347,3967,1224,777310,6054,740881,6813,36429,3210,617665,9778,159645,7677,128566,7449,31079,3221,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,784968,3771,236098,3380,231061,3347,5037,1555,174579,4570,61519,4287,57170,4088,4349,1523,548870,4437,520363,5731,28507,3076,427205,7224,121665,5870,96770,5724,24895,3054,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,195644,2095,63007,1768,62304,1832,703,388,52441,2374,10566,2037,10228,2081,338,256,132637,2285,127940,2541,4697,1120,113191,3257,19446,2762,15198,2831,4248,1043,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,94296,1968,35899,1645,35143,1670,756,394,27473,2141,8426,1309,8107,1343,319,237,58397,1713,55472,1867,2925,1327,48251,1695,10146,1703,7476,1412,2670,1306,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3784214,10198,1236232,10482,1216331,10633,19901,2721,851421,12721,384811,10147,367013,9981,17798,2652,2547982,11966,2358301,16134,189681,11390,1748857,19152,799125,17878,615819,15860,183306,11218,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2358698,8799,790554,8214,782562,8443,7992,1844,624465,7940,166089,7776,159045,7734,7044,1778,1568144,10186,1503098,11635,65046,5729,1281400,12785,286744,9337,224459,10019,62285,5675,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,281265,3785,94923,2481,92548,2590,2375,836,69009,3246,25914,3018,23808,2982,2106,812,186342,3266,176521,3903,9821,2507,130065,5481,56277,4733,47157,4249,9120,2459,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
