GEO_ID,B25015_001E,B25015_001M,B25015_002E,B25015_002M,B25015_003E,B25015_003M,B25015_004E,B25015_004M,B25015_005E,B25015_005M,B25015_006E,B25015_006M,B25015_007E,B25015_007M,B25015_008E,B25015_008M,B25015_009E,B25015_009M,B25015_010E,B25015_010M,B25015_011E,B25015_011M,B25015_012E,B25015_012M,B25015_013E,B25015_013M,B25015_014E,B25015_014M,B25015_015E,B25015_015M,B25015_016E,B25015_016M,B25015_017E,B25015_017M,B25015_018E,B25015_018M,B25015_019E,B25015_019M,B25015_020E,B25015_020M,B25015_021E,B25015_021M,B25015_022E,B25015_022M,B25015_023E,B25015_023M,B25015_024E,B25015_024M,B25015_025E,B25015_025M,B25015_026E,B25015_026M,B25015_027E,B25015_027M,NAME,B25015_001EA,B25015_001MA,B25015_002MA,B25015_002EA,B25015_003MA,B25015_003EA,B25015_004MA,B25015_004EA,B25015_005EA,B25015_005MA,B25015_006EA,B25015_006MA,B25015_007EA,B25015_007MA,B25015_008EA,B25015_008MA,B25015_009MA,B25015_009EA,B25015_010MA,B25015_010EA,B25015_011MA,B25015_011EA,B25015_012EA,B25015_012MA,B25015_013EA,B25015_013MA,B25015_014MA,B25015_014EA,B25015_015MA,B25015_015EA,B25015_016EA,B25015_016MA,B25015_017MA,B25015_017EA,B25015_018EA,B25015_018MA,B25015_019EA,B25015_019MA,B25015_020MA,B25015_020EA,B25015_021EA,B25015_021MA,B25015_022MA,B25015_022EA,B25015_023EA,B25015_023MA,B25015_024EA,B25015_024MA,B25015_025MA,B25015_025EA,B25015_026MA,B25015_026EA,B25015_027EA,B25015_027MA,state
0400000US01,1815152,10938,1272846,12811,145784,5536,142620,5530,2417,957,747,440,772708,9750,762615,9570,6851,1515,3242,869,354354,5986,352428,5789,1382,635,544,339,542306,10228,204733,7223,194499,7236,7019,1438,3215,983,270294,7397,262475,7282,5217,1235,2602,889,67279,3573,66855,3603,198,166,226,253,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,254610,2804,162785,3878,20285,2104,18371,2122,1099,426,815,406,116604,2854,109805,2849,4639,805,2160,503,25896,1328,25514,1316,243,112,139,100,91825,3849,38762,2379,35387,2335,2281,850,1094,490,46704,3041,43558,2955,1567,456,1579,533,6359,1162,6280,1152,57,119,22,40,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2334050,12895,1522938,13309,175609,5743,165996,5522,7375,1630,2238,712,903485,12376,877099,12064,19930,2008,6456,1122,443844,5979,439181,5788,2886,754,1777,805,811112,13574,316612,8434,284864,8156,20895,2645,10853,1898,404262,10018,374191,10203,21394,2517,8677,1595,90238,4676,89736,4648,409,285,93,111,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1114902,8104,751568,9191,89759,4305,87715,4332,1589,685,455,351,445017,6568,437271,6627,5220,1074,2526,854,216792,4334,215907,4403,578,314,307,237,363334,8761,137181,5913,126570,5413,6396,1380,4215,1280,179256,7275,171791,7674,4147,1186,3318,1262,46897,2949,46677,2949,160,149,60,55,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12406475,16820,6903175,27402,599575,11020,559203,10129,29793,2923,10579,1393,4491298,24068,4256053,22416,177094,6983,58151,3502,1812302,15011,1788997,15018,17141,1785,6164,1177,5503300,25377,1873696,17178,1571522,15633,177843,7700,124331,6019,2980937,23857,2531792,22838,275004,10047,174141,6760,648667,9267,626302,8978,9187,1587,13178,2243,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1960585,9151,1292792,11248,166203,5697,160745,5525,4733,1070,725,412,849414,9444,837945,9560,8971,1486,2498,771,277175,4290,276680,4254,321,273,174,169,667793,12023,289062,8138,270077,7639,13037,2302,5948,1479,309369,8341,293128,7633,12097,2319,4144,1199,69362,3479,68951,3504,265,213,146,176,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1358809,7109,923617,8286,77373,3881,75788,3894,1157,636,428,284,609630,6559,604628,6546,3705,862,1297,516,236614,4079,236187,4093,343,240,84,99,435192,8295,143716,5363,134148,5207,6376,1488,3192,1042,217753,6565,208231,6523,6947,1395,2575,993,73723,3877,72964,3817,304,242,455,289,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,328765,4178,239884,4113,23562,1883,23115,1844,447,388,0,265,150727,3746,148124,3814,2193,849,410,267,65595,2259,65441,2252,154,136,0,265,88881,3899,35459,2971,33043,2866,1586,802,830,520,41320,3167,39675,3238,1558,831,87,142,12102,1268,12102,1268,0,265,0,265,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,252388,3730,107193,3924,13913,1860,13615,1847,170,183,128,205,64436,3332,63740,3330,571,274,125,149,28844,1684,28574,1708,89,106,181,224,145195,4932,59507,3297,57295,3349,1043,480,1169,626,66407,3576,63123,3672,2300,784,984,496,19281,1654,18970,1587,42,69,269,271,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7035068,25739,4794130,25332,373968,10383,361255,10459,10541,1783,2172,964,2790937,22019,2735758,21860,44780,3422,10399,1280,1629225,14245,1622607,14321,4082,1097,2536,727,2240938,20709,757587,13525,709282,13465,36175,3472,12130,1986,1171163,17658,1111547,17234,44578,3181,15038,2333,312188,6836,308127,6488,1860,730,2201,956,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
