GEO_ID,C18102_001E,C18102_001M,C18102_002E,C18102_002M,C18102_003E,C18102_003M,C18102_004E,C18102_004M,C18102_005E,C18102_005M,C18102_006E,C18102_006M,C18102_007E,C18102_007M,C18102_008E,C18102_008M,C18102_009E,C18102_009M,C18102_010E,C18102_010M,C18102_011E,C18102_011M,C18102_012E,C18102_012M,C18102_013E,C18102_013M,C18102_014E,C18102_014M,C18102_015E,C18102_015M,C18102_016E,C18102_016M,C18102_017E,C18102_017M,C18102_018E,C18102_018M,C18102_019E,C18102_019M,C18102_020E,C18102_020M,C18102_021E,C18102_021M,NAME,C18102_001MA,C18102_001EA,C18102_002EA,C18102_002MA,C18102_003EA,C18102_003MA,C18102_004MA,C18102_004EA,C18102_005MA,C18102_005EA,C18102_006MA,C18102_006EA,C18102_007EA,C18102_007MA,C18102_008EA,C18102_008MA,C18102_009EA,C18102_009MA,C18102_010EA,C18102_010MA,C18102_011MA,C18102_011EA,C18102_012MA,C18102_012EA,C18102_013EA,C18102_013MA,C18102_014EA,C18102_014MA,C18102_015MA,C18102_015EA,C18102_016MA,C18102_016EA,C18102_017EA,C18102_017MA,C18102_018MA,C18102_018EA,C18102_019EA,C18102_019MA,C18102_020EA,C18102_020MA,C18102_021MA,C18102_021EA,state
0400000US01,4702769,1669,2264282,5426,580409,4165,4648,1270,575761,4401,1411696,4278,53550,3278,1358146,6067,272177,2147,60451,3105,211726,3862,2438487,5571,553229,3838,3149,1008,550080,3903,1519840,3855,34478,3299,1485362,5014,365418,2200,49850,3117,315568,3595,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,689249,1872,351120,2257,98067,1769,1178,581,96889,1873,228051,1873,9518,1571,218533,2682,25002,744,6275,1033,18727,1132,338129,1869,89917,1576,674,454,89243,1609,221384,1182,5796,1118,215588,1515,26828,631,4135,888,22693,1123,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6310174,2001,3105385,4053,835349,2384,4738,1115,830611,2746,1869504,3564,45842,3628,1823662,5011,400532,1319,71495,3325,329037,3379,3204789,3753,794582,2245,4641,1255,789941,2686,1935179,2604,26069,2684,1909110,3717,475028,1801,55809,3144,419219,3132,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2867611,1672,1395533,6537,360067,3837,3240,1037,356827,3948,855780,5332,34647,2831,821133,5676,179686,1735,42345,2609,137341,2999,1472078,6426,349307,3824,2347,805,346960,3909,897653,5403,18679,2275,878974,5699,225118,1959,30927,2657,194191,3101,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36815569,4634,18152479,9393,4749200,4391,28675,3469,4720525,5509,11577968,9176,217740,8308,11360228,11364,1825311,3391,322179,8429,1503132,8719,18663090,7973,4539491,3888,22770,2232,4516721,4520,11771939,6474,132978,5832,11638961,8483,2351660,4990,292733,6787,2058927,8164,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4956873,2211,2462240,6565,629839,3148,4202,1113,625637,3272,1592801,5038,49033,4106,1543768,5422,239600,1431,51630,2429,187970,2712,2494633,6292,596369,3090,3925,1264,592444,3233,1601729,4414,26703,2116,1575026,5065,296535,1791,39855,2424,256680,2949,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3519913,989,1704117,2239,416145,1288,2167,918,413978,1562,1080650,1981,19880,2025,1060770,2615,207322,1165,31160,2115,176162,2276,1815796,2076,398865,1282,1398,546,397467,1485,1139428,1712,12202,1756,1127226,2506,277503,1289,36568,2430,240935,2769,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,885232,820,426205,1636,105483,1063,663,529,104820,1213,265250,1178,6953,1505,258297,1854,55472,575,7655,956,47817,1012,459027,1568,100563,969,600,492,99963,1077,288519,1142,3603,1055,284916,1432,69945,566,7569,1134,62376,1231,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,594282,401,278370,1152,51219,734,166,206,51053,778,200415,1083,3839,1432,196576,1881,26736,414,1585,566,25151,693,315912,1126,49771,582,640,459,49131,699,225760,797,1879,798,223881,1185,40381,1099,4445,1060,35936,1477,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18534081,4456,8979510,7602,2040425,4878,11516,2264,2028909,5404,5503186,7114,126713,5892,5376473,9031,1435899,3228,238683,5376,1197216,6281,9554571,6409,1949822,4738,11752,1884,1938070,5388,5832093,4854,73973,5335,5758120,7082,1772656,3805,208024,7588,1564632,8569,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
