GEO_ID,C17001I_001E,C17001I_001M,C17001I_002E,C17001I_002M,C17001I_003E,C17001I_003M,C17001I_004E,C17001I_004M,C17001I_005E,C17001I_005M,C17001I_006E,C17001I_006M,C17001I_007E,C17001I_007M,C17001I_008E,C17001I_008M,C17001I_009E,C17001I_009M,C17001I_010E,C17001I_010M,C17001I_011E,C17001I_011M,C17001I_012E,C17001I_012M,C17001I_013E,C17001I_013M,C17001I_014E,C17001I_014M,C17001I_015E,C17001I_015M,C17001I_016E,C17001I_016M,C17001I_017E,C17001I_017M,C17001I_018E,C17001I_018M,C17001I_019E,C17001I_019M,NAME,C17001I_001MA,C17001I_001EA,C17001I_002EA,C17001I_002MA,C17001I_003EA,C17001I_003MA,C17001I_004MA,C17001I_004EA,C17001I_005EA,C17001I_005MA,C17001I_006MA,C17001I_006EA,C17001I_007MA,C17001I_007EA,C17001I_008EA,C17001I_008MA,C17001I_009EA,C17001I_009MA,C17001I_010MA,C17001I_010EA,C17001I_011MA,C17001I_011EA,C17001I_012MA,C17001I_012EA,C17001I_013EA,C17001I_013MA,C17001I_014EA,C17001I_014MA,C17001I_015EA,C17001I_015MA,C17001I_016MA,C17001I_016EA,C17001I_017MA,C17001I_017EA,C17001I_018MA,C17001I_018EA,C17001I_019EA,C17001I_019MA,state
0400000US01,178770,2687,55063,6497,25176,3238,10650,1960,14517,2156,9,19,29887,4600,14612,2662,14971,2496,304,284,123707,6120,71159,4157,21659,2337,47600,2921,1900,659,52548,3945,19278,2581,31334,2589,1936,736,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,39791,1587,3407,1209,1738,666,866,520,872,358,0,246,1669,750,695,419,883,470,91,124,36384,1970,19507,1841,6694,855,12416,1591,397,250,16877,1067,6277,749,10112,653,488,246,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1860757,3971,494637,22142,232012,12613,113905,7545,110923,6369,7184,1268,262625,12297,113945,6940,138925,6845,9755,1510,1366120,22790,688479,13119,240722,7955,412787,7086,34970,1304,677641,11917,228651,6745,404202,6724,44788,1596,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,178066,2088,56748,7036,27599,3999,13761,2533,13739,2213,99,169,29149,3946,13640,2365,15086,2230,423,405,121318,7203,66926,4488,23396,2606,42381,3017,1149,502,54392,4406,20352,2450,32277,2498,1763,569,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,13838308,7969,3169807,58769,1471998,31709,711933,20160,718721,15198,41344,3326,1697809,32018,702905,19657,922265,17082,72639,3358,10668501,59801,5472453,31859,1680751,19693,3519452,16056,272250,4022,5196048,33318,1596134,20072,3242443,17205,357471,4086,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1017539,3420,253560,13218,120849,7585,59444,4596,57038,4579,4367,939,132711,7653,54464,4059,72623,4365,5624,948,763979,14345,392130,8596,131633,4971,240972,5230,19525,1081,371849,8024,124440,4593,224311,4482,23098,1208,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,467527,1939,110433,8998,50290,4642,23031,2946,25368,2494,1891,649,60143,5244,21769,2607,35088,3271,3286,938,357094,8755,179511,4520,56374,2956,116413,2369,6724,677,177583,5271,56790,2644,111817,3440,8976,1064,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,71973,546,15610,4020,6951,1953,3031,1092,3684,1081,236,353,8659,2358,3820,1523,4574,1176,265,234,56363,4151,29840,2362,10721,1513,18265,1204,854,336,26523,2403,9041,1723,16339,1219,1143,406,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,53759,433,7899,2443,4195,1589,1734,791,2290,1067,171,162,3704,1399,755,672,2458,968,491,300,45860,2458,23789,1560,4746,859,18165,1064,878,162,22071,1526,4968,833,15874,990,1229,300,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4192395,3831,913141,29211,428767,15083,160322,9176,235129,10682,33316,3022,484374,18325,150356,9258,273832,11623,60186,3569,3279254,29620,1632407,14504,403096,9788,1081531,10353,147780,3072,1646847,18276,382993,8404,1070103,11692,193751,3746,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
