GEO_ID,C05003G_001E,C05003G_001M,C05003G_002E,C05003G_002M,C05003G_003E,C05003G_003M,C05003G_004E,C05003G_004M,C05003G_005E,C05003G_005M,C05003G_006E,C05003G_006M,C05003G_007E,C05003G_007M,C05003G_008E,C05003G_008M,C05003G_009E,C05003G_009M,C05003G_010E,C05003G_010M,C05003G_011E,C05003G_011M,C05003G_012E,C05003G_012M,C05003G_013E,C05003G_013M,C05003G_014E,C05003G_014M,C05003G_015E,C05003G_015M,NAME,C05003G_001MA,C05003G_001EA,C05003G_002MA,C05003G_002EA,C05003G_003MA,C05003G_003EA,C05003G_004MA,C05003G_004EA,C05003G_005EA,C05003G_005MA,C05003G_006EA,C05003G_006MA,C05003G_007MA,C05003G_007EA,C05003G_008EA,C05003G_008MA,C05003G_009MA,C05003G_009EA,C05003G_010EA,C05003G_010MA,C05003G_011EA,C05003G_011MA,C05003G_012EA,C05003G_012MA,C05003G_013MA,C05003G_013EA,C05003G_014EA,C05003G_014MA,C05003G_015MA,C05003G_015EA,state
0400000US01,65186,4432,33839,3107,16266,2703,16176,2688,90,150,17573,2233,16029,2099,1544,880,31347,3120,15370,2360,15218,2343,152,232,15977,1966,14966,1866,1011,456,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,50037,4222,26924,2495,14259,2105,14259,2105,0,246,12665,1415,12020,1391,645,373,23113,2746,10151,1633,9960,1601,191,229,12962,1745,12325,1731,637,370,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,169557,10122,83500,6851,44770,4952,44282,4865,488,394,38730,3869,32468,3371,6262,1527,86057,5390,42946,4102,42473,4069,473,313,43111,3115,36065,2778,7046,1556,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,49157,4194,23719,2810,10800,1730,10705,1725,95,166,12919,1798,12587,1822,332,259,25438,2596,13051,1982,13006,1983,45,73,12387,1621,11701,1612,686,476,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1568280,32388,790889,18531,362465,12581,356257,12319,6208,1520,428424,10473,326073,9180,102351,5705,777391,18919,331241,10748,323863,10695,7378,1521,446150,13538,342486,11063,103664,5687,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,172237,8592,86747,5150,42774,3461,42345,3439,429,249,43973,3320,38942,3102,5031,1143,85490,5164,40454,3375,39672,3313,782,516,45036,3593,41337,3468,3699,1057,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,90987,6379,42823,4067,23436,2726,23040,2757,396,313,19387,2407,14971,2041,4416,1239,48164,4140,23113,2498,22321,2463,792,551,25051,2638,19911,2657,5140,1376,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23096,3436,11564,1983,6521,1571,6521,1571,0,265,5043,964,4106,865,937,575,11532,2143,5568,1444,5443,1435,125,127,5964,1455,4887,1297,1077,488,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11790,2050,5718,1104,1468,585,1468,585,0,292,4250,917,3174,808,1076,423,6072,1403,1762,766,1762,766,0,292,4310,982,3377,860,933,469,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,406999,16059,201204,9495,94260,7081,91789,7090,2471,1011,106944,5957,72836,4896,34108,3374,205795,10163,82801,6070,80281,6005,2520,825,122994,6660,79887,4893,43107,3980,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,178891,10595,85766,5899,47581,3804,45832,3749,1749,616,38185,3894,28807,3441,9378,1832,93125,6533,46553,4711,45212,4560,1341,732,46572,3916,37651,3685,8921,1597,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,324109,11358,165812,6005,65976,3178,65860,3192,116,125,99836,5145,96236,4988,3600,1082,158297,6923,61596,3543,61544,3547,52,86,96701,5109,92181,4830,4520,1441,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,36593,3845,18528,2601,8745,1487,8585,1478,160,169,9783,1757,8533,1597,1250,627,18065,2298,7949,1358,7551,1349,398,339,10116,1647,9226,1598,890,593,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,242619,11153,119363,6202,63683,4426,62692,4441,991,414,55680,4529,43924,3860,11756,1767,123256,7146,64199,4628,63752,4645,447,310,59057,4472,47655,3818,11402,1832,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,128676,8197,67449,4884,37843,3545,37205,3607,638,480,29606,2680,26172,2512,3434,945,61227,4765,33604,3236,33232,3205,372,287,27623,2846,24295,2745,3328,870,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,55301,4856,29512,3303,15364,2068,15256,2052,108,142,14148,2186,11621,1694,2527,1196,25789,2630,14239,1795,13694,1855,545,460,11550,1601,10079,1528,1471,545,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
