GEO_ID,B16005_001E,B16005_001M,B16005_002E,B16005_002M,B16005_003E,B16005_003M,B16005_004E,B16005_004M,B16005_005E,B16005_005M,B16005_006E,B16005_006M,B16005_007E,B16005_007M,B16005_008E,B16005_008M,B16005_009E,B16005_009M,B16005_010E,B16005_010M,B16005_011E,B16005_011M,B16005_012E,B16005_012M,B16005_013E,B16005_013M,B16005_014E,B16005_014M,B16005_015E,B16005_015M,B16005_016E,B16005_016M,B16005_017E,B16005_017M,B16005_018E,B16005_018M,B16005_019E,B16005_019M,B16005_020E,B16005_020M,B16005_021E,B16005_021M,B16005_022E,B16005_022M,B16005_023E,B16005_023M,B16005_024E,B16005_024M,B16005_025E,B16005_025M,B16005_026E,B16005_026M,B16005_027E,B16005_027M,B16005_028E,B16005_028M,B16005_029E,B16005_029M,B16005_030E,B16005_030M,B16005_031E,B16005_031M,B16005_032E,B16005_032M,B16005_033E,B16005_033M,B16005_034E,B16005_034M,B16005_035E,B16005_035M,B16005_036E,B16005_036M,B16005_037E,B16005_037M,B16005_038E,B16005_038M,B16005_039E,B16005_039M,B16005_040E,B16005_040M,B16005_041E,B16005_041M,B16005_042E,B16005_042M,B16005_043E,B16005_043M,B16005_044E,B16005_044M,B16005_045E,B16005_045M,NAME,B16005_001MA,B16005_001EA,B16005_002EA,B16005_002MA,B16005_003EA,B16005_003MA,B16005_004EA,B16005_004MA,B16005_005MA,B16005_005EA,B16005_006MA,B16005_006EA,B16005_007MA,B16005_007EA,B16005_008MA,B16005_008EA,B16005_009MA,B16005_009EA,B16005_010MA,B16005_010EA,B16005_011EA,B16005_011MA,B16005_012MA,B16005_012EA,B16005_013MA,B16005_013EA,B16005_014MA,B16005_014EA,B16005_015EA,B16005_015MA,B16005_016MA,B16005_016EA,B16005_017MA,B16005_017EA,B16005_018MA,B16005_018EA,B16005_019MA,B16005_019EA,B16005_020EA,B16005_020MA,B16005_021MA,B16005_021EA,B16005_022MA,B16005_022EA,B16005_023MA,B16005_023EA,B16005_024MA,B16005_024EA,B16005_025MA,B16005_025EA,B16005_026EA,B16005_026MA,B16005_027MA,B16005_027EA,B16005_028MA,B16005_028EA,B16005_029MA,B16005_029EA,B16005_030MA,B16005_030EA,B16005_031EA,B16005_031MA,B16005_032MA,B16005_032EA,B16005_033MA,B16005_033EA,B16005_034MA,B16005_034EA,B16005_035MA,B16005_035EA,B16005_036MA,B16005_036EA,B16005_037EA,B16005_037MA,B16005_038MA,B16005_038EA,B16005_039MA,B16005_039EA,B16005_040EA,B16005_040MA,B16005_041MA,B16005_041EA,B16005_042EA,B16005_042MA,B16005_043MA,B16005_043EA,B16005_044MA,B16005_044EA,B16005_045MA,B16005_045EA,state
0400000US01,4305303,2767,4176793,5741,4096025,7905,55455,5036,40216,4469,7972,1774,6587,1396,680,419,16238,1778,13498,1648,1424,548,1242,465,74,114,6357,1383,5395,1402,761,395,201,215,0,265,2718,1046,2496,1021,222,289,0,265,0,265,128510,4988,28301,2432,52351,2911,11482,2222,8896,1742,16695,2619,15278,2745,17285,2649,11230,2058,4602,1306,1359,696,94,119,24800,2620,9548,1373,9101,1673,5017,1281,1134,554,5773,2049,4417,1654,1195,779,161,204,0,265,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,622572,1070,575987,3890,518547,5645,13298,2517,11318,2208,918,351,1062,655,0,235,7756,1483,6433,1423,1046,656,277,331,0,235,7000,1354,5750,1221,576,320,494,379,180,212,29386,2015,21067,2041,6359,902,1838,370,122,78,46585,3622,8282,1442,9351,1799,2219,774,3357,988,2924,1017,851,694,6477,1527,4205,1157,1367,617,618,516,287,437,20661,1950,7178,1332,6871,1285,6047,1790,565,344,1814,1561,594,494,898,1078,322,443,0,235,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5687173,1432,4768606,18723,3975320,20509,607313,14700,490854,14061,80061,6047,29883,2972,6515,1758,43577,3156,38545,2997,3349,822,1683,654,0,291,19335,2651,16159,2430,2403,919,773,562,0,291,123061,6294,106618,6156,9962,1915,5017,1599,1464,646,918567,18755,118982,5713,636699,16220,156830,9775,127353,7124,192981,8719,159535,9542,73643,6894,45745,5127,18684,2835,6466,1399,2748,1076,67800,4338,30558,3300,21234,2894,12528,2547,3480,1195,21443,4309,12930,3745,5581,1559,1107,513,1825,1130,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2616131,1982,2509692,4243,2439245,5578,50517,2935,38051,2942,7431,1328,4554,910,481,422,10080,1889,9055,1872,558,272,467,325,0,257,6245,1685,3569,1163,1881,906,598,483,197,289,3605,2041,3086,1964,462,438,57,103,0,257,106439,4179,17056,2198,65879,3179,13357,1698,16800,2177,21810,2255,13912,1745,6490,1449,5429,1215,750,421,175,143,136,216,14231,1332,6484,1107,4189,1192,2875,849,683,560,2783,1364,1673,828,850,570,260,392,0,257,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,33784883,2490,23949559,49834,18501650,60181,4319467,41065,3522077,37342,560539,14593,194356,8483,42495,3843,412189,11930,365725,11162,31308,3413,13496,1831,1660,587,638223,13766,511440,12768,87980,5295,36076,2750,2727,778,78030,7711,69010,7382,6118,1517,2506,1012,396,404,9835324,49720,913327,16486,5269155,41195,1365623,25835,1185167,20091,1589928,24058,1128437,22590,1047282,25702,618964,15765,243194,11278,123220,7715,61904,5928,2402481,22544,1013770,20047,703616,13939,509969,12494,175126,8197,203079,12713,124353,9268,46374,4182,22301,3271,10051,2364,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4414382,1529,3931796,12749,3578046,14922,273496,9594,209805,8491,39767,3972,19851,2546,4073,1206,48561,3900,40569,3662,4444,1079,3491,775,57,92,21708,2529,16786,2473,3628,1165,1122,496,172,281,9985,2280,8822,2172,1048,480,115,147,0,271,482586,12726,75416,4695,271616,11045,61227,4442,66197,4624,97984,7106,46208,4179,53969,4661,37142,3168,10262,1985,4997,1502,1568,816,64093,4251,27234,3173,20065,1954,12747,2145,4047,1241,17492,3400,8311,1688,5543,1737,3446,1620,192,222,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3302738,762,2854348,13319,2530190,15117,207097,7899,146359,6799,33829,3218,19628,2574,7281,1407,98459,6216,82856,5758,10470,1470,4656,1015,477,411,11639,1982,9894,1736,1243,500,448,362,54,89,6963,1444,6093,1364,422,262,448,367,0,269,448390,13343,109117,6205,101766,5640,32313,3739,30871,3093,26690,3474,11892,2286,172113,10470,87816,5771,49023,4997,27131,3654,8143,2076,52436,3534,27623,2637,14687,2165,8196,1622,1930,738,12958,2529,8153,1601,3435,1174,1266,669,104,122,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,796385,442,727859,4703,681630,5222,30234,2765,22535,2465,4220,1085,3053,836,426,308,12142,2108,10330,1806,1295,632,517,297,0,261,1874,782,1783,752,72,108,0,261,19,28,1979,1256,1979,1256,0,261,0,261,0,261,68526,4777,18625,3065,21528,2325,4939,1229,3561,1063,7858,1936,5170,1693,12197,2263,8400,1734,1814,597,1450,1047,533,470,9958,1597,5111,1030,3689,860,982,434,176,181,6218,2015,4499,1514,1021,601,568,473,130,171,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,546550,609,473693,4236,442499,4434,18824,2664,15015,2289,1536,558,1860,1004,413,478,8776,1597,8271,1496,404,284,101,119,0,292,1517,736,1180,677,278,357,59,70,0,292,2077,883,1815,794,262,255,0,292,0,292,72857,4248,20275,2520,26199,2823,9455,2313,7171,1507,6487,1517,3086,1164,13400,2277,9458,1933,3063,1021,879,713,0,292,7230,1395,3983,1020,2200,708,746,437,301,239,5753,1723,3983,1268,1654,831,116,139,0,292,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16972259,2858,13565856,30765,11921734,34192,1310493,20860,1040609,20534,168170,7659,77732,4876,23982,3028,263614,11054,228631,10379,25067,3598,9502,1380,414,334,40483,3783,31830,3583,6406,1601,2036,821,211,282,29532,4024,26559,3921,1875,957,979,667,119,195,3406403,30226,689158,18458,1861475,20989,625039,13562,418712,12572,462897,13043,354827,13376,611150,20008,312302,12211,175045,10151,95153,6461,28650,4110,177565,7458,85515,4454,54628,3765,30864,3320,6558,1701,67055,5938,42732,4462,15218,2528,6880,1946,2225,1027,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
