GEO_ID,C24080_001E,C24080_001M,C24080_002E,C24080_002M,C24080_003E,C24080_003M,C24080_004E,C24080_004M,C24080_005E,C24080_005M,C24080_006E,C24080_006M,C24080_007E,C24080_007M,C24080_008E,C24080_008M,C24080_009E,C24080_009M,C24080_010E,C24080_010M,C24080_011E,C24080_011M,C24080_012E,C24080_012M,C24080_013E,C24080_013M,C24080_014E,C24080_014M,C24080_015E,C24080_015M,C24080_016E,C24080_016M,C24080_017E,C24080_017M,C24080_018E,C24080_018M,C24080_019E,C24080_019M,NAME,C24080_001MA,C24080_001EA,C24080_002MA,C24080_002EA,C24080_003MA,C24080_003EA,C24080_004EA,C24080_004MA,C24080_005EA,C24080_005MA,C24080_006EA,C24080_006MA,C24080_007EA,C24080_007MA,C24080_008MA,C24080_008EA,C24080_009MA,C24080_009EA,C24080_010EA,C24080_010MA,C24080_011EA,C24080_011MA,C24080_012EA,C24080_012MA,C24080_013MA,C24080_013EA,C24080_014MA,C24080_014EA,C24080_015MA,C24080_015EA,C24080_016EA,C24080_016MA,C24080_017EA,C24080_017MA,C24080_018MA,C24080_018EA,C24080_019MA,C24080_019EA,state
0400000US01,2014473,14052,1077742,8372,817774,9523,767993,9126,49781,3455,35992,2925,60009,4061,36754,3013,38895,3473,88318,4384,936731,8758,636536,7047,620326,6887,16210,2010,74900,4456,90949,4479,60631,3820,28248,3209,45467,2707,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,322618,6281,170381,4093,105418,4155,99231,4129,6187,1218,9484,1515,15249,1631,12567,1776,14164,1821,13499,1585,152237,4138,79071,4381,76658,4324,2413,623,20783,2079,17312,1556,15404,1725,8723,1548,10944,1469,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2792806,16291,1553892,9042,1220354,11052,1144499,10641,75855,4159,48964,4129,86675,4180,45843,3481,41616,3250,110440,5656,1238914,12923,862154,11886,828344,11389,33810,2899,88686,4486,119522,5450,69937,4101,26325,2350,72290,4359,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1251076,10826,665707,7765,496507,7459,465143,7483,31364,2298,26772,2585,31372,2481,32507,2588,15518,1816,63031,3737,585369,7753,377095,8058,366784,7936,10311,1414,54495,3671,53848,3454,52922,3608,12941,1858,34068,2990,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,16740938,37666,9277767,24960,6970390,28162,6582486,26677,387904,10111,369297,9724,538403,10391,264090,8649,213498,7571,922089,13284,7463171,28468,4931772,32681,4773033,31650,158739,7106,603308,12054,823209,14416,354791,8721,130516,6145,619575,11547,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2432651,13514,1328540,8982,1014004,11133,924082,10553,89922,4636,58308,4605,71536,3633,42567,2599,37658,2940,104467,5306,1104111,9743,726814,11135,685575,11214,41239,3208,103619,5015,114119,5525,48693,3478,28650,2725,82216,3903,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1764288,10606,925131,7321,698495,8482,652529,8629,45966,3282,51336,3472,47596,3824,34709,3007,15234,1872,77761,3819,839157,7811,563728,9089,549297,9027,14431,1840,95387,4579,85601,4173,38790,2976,9618,1676,46033,3346,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,406864,6153,210706,3892,162150,4168,151222,4335,10928,1692,10295,1679,7622,1339,12435,1741,5817,1218,12387,1724,196158,4646,133968,5052,129352,5027,4616,795,21237,2035,11202,1370,18405,2057,2819,811,8527,1373,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,288360,4466,139357,3062,79521,3488,74960,3542,4561,1244,18259,2148,7760,1227,2743,834,21902,1976,9172,1555,149003,3836,71104,3526,68283,3414,2821,784,28567,2639,9844,1621,4751,1013,28108,2608,6629,1193,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8344108,29633,4488438,18631,3534000,23185,3142264,22260,391736,9789,158543,6823,273632,10877,101295,4597,105758,6454,315210,10090,3855670,20720,2757400,21442,2610302,21622,147098,6181,300997,8089,373589,8865,144115,6301,69328,4140,210241,6238,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
