GEO_ID,B22007_001E,B22007_001M,B22007_002E,B22007_002M,B22007_003E,B22007_003M,B22007_004E,B22007_004M,B22007_005E,B22007_005M,B22007_006E,B22007_006M,B22007_007E,B22007_007M,B22007_008E,B22007_008M,B22007_009E,B22007_009M,B22007_010E,B22007_010M,B22007_011E,B22007_011M,B22007_012E,B22007_012M,B22007_013E,B22007_013M,B22007_014E,B22007_014M,B22007_015E,B22007_015M,B22007_016E,B22007_016M,B22007_017E,B22007_017M,B22007_018E,B22007_018M,B22007_019E,B22007_019M,B22007_020E,B22007_020M,B22007_021E,B22007_021M,B22007_022E,B22007_022M,B22007_023E,B22007_023M,B22007_024E,B22007_024M,B22007_025E,B22007_025M,B22007_026E,B22007_026M,B22007_027E,B22007_027M,B22007_028E,B22007_028M,B22007_029E,B22007_029M,B22007_030E,B22007_030M,B22007_031E,B22007_031M,B22007_032E,B22007_032M,B22007_033E,B22007_033M,B22007_034E,B22007_034M,B22007_035E,B22007_035M,B22007_036E,B22007_036M,B22007_037E,B22007_037M,B22007_038E,B22007_038M,B22007_039E,B22007_039M,B22007_040E,B22007_040M,B22007_041E,B22007_041M,B22007_042E,B22007_042M,B22007_043E,B22007_043M,NAME,B22007_001MA,B22007_001EA,B22007_002MA,B22007_002EA,B22007_003EA,B22007_003MA,B22007_004EA,B22007_004MA,B22007_005EA,B22007_005MA,B22007_006MA,B22007_006EA,B22007_007MA,B22007_007EA,B22007_008MA,B22007_008EA,B22007_009EA,B22007_009MA,B22007_010EA,B22007_010MA,B22007_011MA,B22007_011EA,B22007_012MA,B22007_012EA,B22007_013MA,B22007_013EA,B22007_014EA,B22007_014MA,B22007_015EA,B22007_015MA,B22007_016EA,B22007_016MA,B22007_017EA,B22007_017MA,B22007_018MA,B22007_018EA,B22007_019EA,B22007_019MA,B22007_020EA,B22007_020MA,B22007_021EA,B22007_021MA,B22007_022EA,B22007_022MA,B22007_023MA,B22007_023EA,B22007_024MA,B22007_024EA,B22007_025EA,B22007_025MA,B22007_026EA,B22007_026MA,B22007_027EA,B22007_027MA,B22007_028MA,B22007_028EA,B22007_029MA,B22007_029EA,B22007_030MA,B22007_030EA,B22007_031MA,B22007_031EA,B22007_032EA,B22007_032MA,B22007_033MA,B22007_033EA,B22007_034MA,B22007_034EA,B22007_035MA,B22007_035EA,B22007_036MA,B22007_036EA,B22007_037EA,B22007_037MA,B22007_038EA,B22007_038MA,B22007_039MA,B22007_039EA,B22007_040MA,B22007_040EA,B22007_041MA,B22007_041EA,B22007_042EA,B22007_042MA,B22007_043EA,B22007_043MA,state
0400000US01,1222858,13632,136838,6346,44665,3545,8094,1436,14902,2015,16034,2045,12607,1878,3427,983,5635,1240,4623,1087,1012,641,92173,4990,8057,1613,1540,558,4033,1228,1880,769,604,391,84116,4613,26671,2845,45778,3734,9439,1271,2228,679,1086020,13309,843944,10957,128890,4244,214601,6319,410171,8762,378200,8685,31971,2276,90282,4701,83748,4477,6534,1277,242076,7362,66710,4343,7219,1235,36223,3467,19409,2359,3859,1135,175366,5272,26979,2865,96057,4907,43315,3199,9015,1411,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,157939,4094,14194,1587,5945,1002,402,262,2136,673,1909,536,1558,512,351,212,1498,592,951,428,547,348,8249,1306,1243,408,165,103,902,375,106,85,70,76,7006,1277,1285,602,4171,1040,1032,410,518,200,143745,3745,111384,3375,8067,1124,22967,1965,63527,3124,60818,3321,2709,808,16823,1897,15806,1757,1017,374,32361,2393,11305,1303,411,232,5804,929,3683,829,1407,594,21056,2179,2012,633,11911,1627,5851,1341,1282,426,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1476269,13649,118866,5902,43177,3825,4847,1083,15735,2278,14701,2185,11575,2172,3126,744,7894,1901,6420,1584,1474,743,75689,4368,14624,2171,2159,825,8907,1867,2651,876,907,544,61065,3909,15340,1935,32401,3147,8664,1649,4660,1237,1357403,12687,1061631,11401,190586,6217,259692,6713,491217,8994,451159,8909,40058,3349,120136,5177,108143,4652,11993,1777,295772,7653,100453,4464,5638,1370,52644,3381,31870,3260,10301,1839,195319,6427,18480,2098,109259,5470,54029,4145,13551,2075,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,758195,10004,96886,4698,34769,2767,4828,919,11721,1777,14603,1819,12081,1671,2522,820,3617,992,3086,930,531,235,62117,4134,7454,1413,1138,491,4940,1258,1212,557,164,155,54663,3660,13622,1906,34084,2977,6089,1044,868,438,661309,10023,532460,9018,85061,3223,122320,5169,268627,8094,252187,7704,16440,1818,56452,3174,53116,3112,3336,816,128849,5480,41367,3681,3414,895,23496,2567,11849,1696,2608,781,87482,4336,9893,1327,47008,3343,25060,3023,5521,1168,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8303793,26257,472171,10533,171398,6636,20765,2278,69387,4331,56263,4475,39626,3835,16637,2001,24983,2622,17951,2183,7032,1362,300773,8761,48937,3389,8974,1366,28385,2797,7824,1478,3754,940,251836,8928,81982,5004,124654,6571,32599,3300,12601,2022,7831622,26574,5880303,26596,645765,8814,1509656,17188,2839777,21207,2557595,20281,282182,8534,885105,14134,758967,13476,126138,5313,1951319,21485,649495,13651,41582,2965,323231,9882,199389,8297,85293,4631,1301824,15898,144075,6050,677113,11819,352378,9132,128258,5852,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1196223,10837,65122,4592,22826,2478,2750,876,6832,1465,10056,1439,8229,1343,1827,774,3188,929,2316,726,872,565,42296,3784,7576,1645,604,318,4341,1166,1499,809,1132,777,34720,3583,8804,1734,21186,2693,3592,1006,1138,730,1131101,11042,911322,11228,94439,3287,203477,7586,503405,8815,476246,8641,27159,2360,110001,3690,103728,3553,6273,1094,219779,7821,72853,4262,4612,1101,37786,3592,24496,2657,5959,1281,146926,5956,13554,2050,84486,5238,40162,2752,8724,1420,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,894348,7766,46069,3528,11962,1841,2557,838,3765,1065,4014,988,3195,949,819,409,1626,751,1418,732,208,192,34107,2756,2956,927,1005,482,1102,525,785,572,64,106,31151,2547,9735,1252,17424,2095,3017,1051,975,515,848279,8033,668694,7423,69522,2828,149704,5421,350891,7079,329642,6718,21249,1951,98577,3928,92079,3743,6498,1382,179585,5098,50232,3694,3581,841,25889,2809,15993,2169,4769,933,129353,4892,11963,1820,68024,4115,38917,2997,10449,1699,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,213565,5010,16650,2133,3971,1045,416,264,1702,817,1290,473,961,430,329,235,563,368,487,384,76,128,12679,1853,2157,794,168,166,1285,644,512,408,192,229,10522,1559,1646,643,6905,1453,1638,580,333,322,196915,4423,153238,4443,23864,1701,33638,2413,76082,3647,71340,3562,4742,869,19654,1784,18028,1697,1626,577,43677,3314,13052,2010,1007,585,7431,1539,3781,1094,833,447,30625,2687,1547,584,16211,2106,10856,1789,2011,644,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,108759,4148,15484,1912,1913,768,440,295,918,501,555,377,513,368,42,71,0,292,0,292,0,292,13571,1735,1340,509,341,218,662,394,240,178,97,150,12231,1651,5005,1115,4889,1182,2062,717,275,244,93275,4187,53958,3729,5874,1175,11282,1342,33344,2849,31840,2874,1504,559,3458,788,3241,763,217,230,39317,2588,8061,1462,552,330,3601,1006,3387,877,521,378,31256,2372,3620,1016,16432,1884,8708,1328,2496,617,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4632974,21331,385525,10412,153149,6979,24196,2648,44282,3545,60503,4059,50502,3829,10001,1344,24168,2932,19461,2325,4707,1203,232376,8867,37983,3594,6547,1408,21374,2943,6935,1180,3127,1337,194393,7788,43260,3945,108727,5513,32236,3154,10170,1426,4247449,21844,3298978,20539,658404,9768,771074,12270,1511825,18553,1408227,17168,103598,5432,357675,8406,328286,8093,29389,2663,948471,16161,281627,8893,22520,2400,141612,6626,92830,5730,24665,2718,666844,12762,68051,4603,370319,11017,182884,6790,45590,3538,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
