GEO_ID,B12005_001E,B12005_001M,B12005_002E,B12005_002M,B12005_003E,B12005_003M,B12005_004E,B12005_004M,B12005_005E,B12005_005M,B12005_006E,B12005_006M,B12005_007E,B12005_007M,B12005_008E,B12005_008M,B12005_009E,B12005_009M,B12005_010E,B12005_010M,B12005_011E,B12005_011M,B12005_012E,B12005_012M,B12005_013E,B12005_013M,B12005_014E,B12005_014M,B12005_015E,B12005_015M,B12005_016E,B12005_016M,NAME,B12005_001EA,B12005_001MA,B12005_002MA,B12005_002EA,B12005_003MA,B12005_003EA,B12005_004EA,B12005_004MA,B12005_005EA,B12005_005MA,B12005_006EA,B12005_006MA,B12005_007MA,B12005_007EA,B12005_008MA,B12005_008EA,B12005_009EA,B12005_009MA,B12005_010EA,B12005_010MA,B12005_011EA,B12005_011MA,B12005_012EA,B12005_012MA,B12005_013MA,B12005_013EA,B12005_014MA,B12005_014EA,B12005_015EA,B12005_015MA,B12005_016EA,B12005_016MA,state
0400000US01,3682816,2732,988715,14550,954775,14426,33940,3379,1883086,22282,1810217,21672,72869,3953,95558,5406,91949,4942,3609,1404,272160,6823,267894,6595,4266,975,443297,11086,437914,11094,5383,1332,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,524378,1179,171898,4835,163367,4992,8531,1645,266023,6488,237998,6048,28025,2421,8277,1506,7574,1373,703,440,20329,1919,17694,1859,2635,744,57851,4033,53625,3712,4226,1050,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4806252,1626,1441518,15766,1205264,15959,236254,11377,2421756,22317,1922401,21309,499355,13034,96570,5277,65929,4916,30641,3496,277749,7906,242701,7479,35048,3397,568659,12285,513634,11793,55025,4004,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2237108,2323,538460,10263,510275,9629,28185,3043,1200636,16393,1140050,15779,60586,3742,53052,3567,50355,3603,2697,983,167095,5876,162930,5558,4165,1079,277865,8707,272981,8621,4884,1190,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,28569779,3305,9732918,34879,7369311,39768,2363607,29474,13843433,50055,8124948,49345,5718485,36268,709120,15276,407142,11869,301978,9767,1550349,19318,1072138,16059,478211,11549,2733959,22950,2155965,23943,577994,15386,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3778016,2360,1096726,14912,991522,13721,105204,6733,1997304,23105,1717534,19388,279770,9353,67812,4595,54230,4004,13582,2108,181840,5374,165598,5196,16242,2394,434334,11001,403115,10581,31219,3619,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2839111,909,879704,10375,782167,10943,97537,6941,1459339,14436,1194044,15120,265295,9667,44462,3254,36205,3169,8257,1452,181942,5555,156797,5488,25145,2386,273664,8829,244295,8098,29369,3273,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,685569,860,214894,6071,199191,5694,15703,3024,334769,9161,294635,7840,40134,3219,16713,2523,14108,2187,2605,1226,44350,2350,41581,2246,2769,894,74843,4073,71004,3776,3839,1226,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,486138,487,262607,6399,230175,5346,32432,3063,131025,6928,103323,6728,27702,3300,16392,2280,14048,1991,2344,899,32502,2254,30207,2221,2295,816,43612,3177,38803,2844,4809,1091,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14789121,3369,4040890,28510,3302923,27430,737967,16801,7504140,37126,5656639,36338,1847501,22982,355551,10776,244961,8142,110590,5996,1110370,15876,902569,14294,207801,7531,1778170,23302,1438722,21769,339448,10547,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
