GEO_ID,B25115_001E,B25115_001M,B25115_002E,B25115_002M,B25115_003E,B25115_003M,B25115_004E,B25115_004M,B25115_005E,B25115_005M,B25115_006E,B25115_006M,B25115_007E,B25115_007M,B25115_008E,B25115_008M,B25115_009E,B25115_009M,B25115_010E,B25115_010M,B25115_011E,B25115_011M,B25115_012E,B25115_012M,B25115_013E,B25115_013M,B25115_014E,B25115_014M,B25115_015E,B25115_015M,B25115_016E,B25115_016M,B25115_017E,B25115_017M,B25115_018E,B25115_018M,B25115_019E,B25115_019M,B25115_020E,B25115_020M,B25115_021E,B25115_021M,B25115_022E,B25115_022M,B25115_023E,B25115_023M,B25115_024E,B25115_024M,B25115_025E,B25115_025M,B25115_026E,B25115_026M,B25115_027E,B25115_027M,NAME,B25115_001MA,B25115_001EA,B25115_002MA,B25115_002EA,B25115_003MA,B25115_003EA,B25115_004EA,B25115_004MA,B25115_005EA,B25115_005MA,B25115_006EA,B25115_006MA,B25115_007MA,B25115_007EA,B25115_008MA,B25115_008EA,B25115_009EA,B25115_009MA,B25115_010EA,B25115_010MA,B25115_011EA,B25115_011MA,B25115_012MA,B25115_012EA,B25115_013MA,B25115_013EA,B25115_014MA,B25115_014EA,B25115_015EA,B25115_015MA,B25115_016EA,B25115_016MA,B25115_017EA,B25115_017MA,B25115_018MA,B25115_018EA,B25115_019MA,B25115_019EA,B25115_020EA,B25115_020MA,B25115_021EA,B25115_021MA,B25115_022MA,B25115_022EA,B25115_023MA,B25115_023EA,B25115_024MA,B25115_024EA,B25115_025MA,B25115_025EA,B25115_026EA,B25115_026MA,B25115_027MA,B25115_027EA,state
0400000US01,1796058,10547,1289272,11970,955985,12256,771666,10817,285531,7314,486135,7726,184319,6668,47942,3474,20160,2526,27782,2670,136377,5305,58417,3787,77960,3736,333287,7736,506786,9952,266873,7639,116943,6206,63173,4821,53770,3777,149930,5335,26825,2872,13201,2019,13624,2089,123105,5008,90971,4506,32134,2560,239913,8053,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,229878,2779,148249,3302,111868,2933,89551,2923,39585,2492,49966,2349,22317,1764,7840,1151,4829,1041,3011,757,14477,1515,8937,1396,5540,865,36381,2639,81629,2772,46071,2692,27778,2461,16246,2027,11532,1859,18293,1896,4708,859,2614,688,2094,655,13585,1868,10683,1730,2902,831,35558,2576,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2224992,11475,1523041,12956,1102620,13525,904487,12253,349295,7866,555192,8666,198133,6732,65509,4536,31534,3164,33975,3146,132624,5147,64835,3503,67789,3746,420421,8561,701951,12863,373649,8801,200321,8162,117658,6708,82663,5048,173328,6111,49568,3712,26375,3153,23193,3139,123760,5208,94428,4916,29332,2918,328302,8803,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1103428,7576,753412,8763,561715,8519,468950,7921,170798,5057,298152,6421,92765,4838,28145,2786,13501,1946,14644,2087,64620,4095,26872,2748,37748,2951,191697,6016,350016,7559,196480,7072,98279,5164,53984,3543,44295,3371,98201,5664,20676,2557,11287,1951,9389,1653,77525,4829,57005,3900,20520,2262,153536,5490,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12151227,18090,7102197,26399,5392444,23941,4393026,23067,2022697,16460,2370329,19444,999418,15745,330334,9597,140933,5826,189401,7091,669084,12181,276846,7817,392238,9500,1709753,18554,5049030,24989,2911349,23068,1658675,19739,987624,14637,671051,13335,1252674,15151,368098,10569,197192,8363,170906,7396,884576,11822,614148,11425,270428,8635,2137681,21165,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1846988,9333,1269421,10162,924260,9154,781787,9560,337060,6736,444727,8210,142473,5745,46733,3237,23185,2320,23548,2302,95740,4448,51434,3480,44306,3130,345161,8232,577567,10807,271963,9275,152361,6419,82743,5464,69618,3963,119602,6202,33696,3937,19625,2878,14071,2257,85906,4768,67226,4532,18680,1862,305604,8339,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1325443,5814,921382,7687,696121,8318,584685,7058,262462,6766,322223,6404,111436,4158,31801,2988,13256,1805,18545,2044,79635,3342,34928,2574,44707,2791,225261,6591,404061,6979,198227,5727,95971,4493,47763,3785,48208,3331,102256,4541,21387,2480,11806,1932,9581,1848,80869,3935,59852,3347,21017,2484,205834,5791,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,320110,3955,238194,3604,170740,3974,139550,3851,55777,2980,83773,2829,31190,2378,8828,1274,3998,949,4830,995,22362,2035,9722,1283,12640,1652,67454,3424,81916,3849,42825,3849,17659,2445,9367,1726,8292,1527,25166,2893,6381,1699,3211,1190,3170,1096,18785,2158,14124,2009,4661,1145,39091,3180,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,250456,3518,114586,3453,60760,2800,38527,2706,12182,1468,26345,2093,22233,2280,5292,1083,988,437,4304,1070,16941,1846,4730,1024,12211,1503,53826,3055,135870,4564,47999,3647,17344,2737,6151,1607,11193,1862,30655,2347,4109,1068,1841,806,2268,778,26546,2103,16340,1759,10206,1511,87871,4101,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7106042,22495,4994101,23446,3515602,21300,2875540,19295,999132,14069,1876408,17868,640062,13021,177639,7490,74580,5018,103059,5357,462423,11455,208942,8254,253481,6987,1478499,18222,2111941,22368,1117372,17053,576587,13623,293891,8972,282696,9976,540785,11996,141971,6576,68372,5292,73599,4297,398814,10788,286101,10193,112713,6197,994569,14848,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
