GEO_ID,B18020H_001E,B18020H_001M,B18020H_002E,B18020H_002M,B18020H_003E,B18020H_003M,B18020H_004E,B18020H_004M,B18020H_005E,B18020H_005M,B18020H_006E,B18020H_006M,B18020H_007E,B18020H_007M,B18020H_008E,B18020H_008M,B18020H_009E,B18020H_009M,B18020H_010E,B18020H_010M,B18020H_011E,B18020H_011M,B18020H_012E,B18020H_012M,B18020H_013E,B18020H_013M,B18020H_014E,B18020H_014M,B18020H_015E,B18020H_015M,B18020H_016E,B18020H_016M,B18020H_017E,B18020H_017M,B18020H_018E,B18020H_018M,B18020H_019E,B18020H_019M,B18020H_020E,B18020H_020M,B18020H_021E,B18020H_021M,B18020H_022E,B18020H_022M,B18020H_023E,B18020H_023M,B18020H_024E,B18020H_024M,B18020H_025E,B18020H_025M,B18020H_026E,B18020H_026M,B18020H_027E,B18020H_027M,B18020H_028E,B18020H_028M,B18020H_029E,B18020H_029M,B18020H_030E,B18020H_030M,B18020H_031E,B18020H_031M,NAME,B18020H_001EA,B18020H_001MA,B18020H_002EA,B18020H_002MA,B18020H_003EA,B18020H_003MA,B18020H_004MA,B18020H_004EA,B18020H_005MA,B18020H_005EA,B18020H_006EA,B18020H_006MA,B18020H_007EA,B18020H_007MA,B18020H_008EA,B18020H_008MA,B18020H_009MA,B18020H_009EA,B18020H_010MA,B18020H_010EA,B18020H_011EA,B18020H_011MA,B18020H_012EA,B18020H_012MA,B18020H_013EA,B18020H_013MA,B18020H_014MA,B18020H_014EA,B18020H_015MA,B18020H_015EA,B18020H_016MA,B18020H_016EA,B18020H_017EA,B18020H_017MA,B18020H_018EA,B18020H_018MA,B18020H_019MA,B18020H_019EA,B18020H_020MA,B18020H_020EA,B18020H_021MA,B18020H_021EA,B18020H_022EA,B18020H_022MA,B18020H_023EA,B18020H_023MA,B18020H_024MA,B18020H_024EA,B18020H_025MA,B18020H_025EA,B18020H_026MA,B18020H_026EA,B18020H_027MA,B18020H_027EA,B18020H_028EA,B18020H_028MA,B18020H_029MA,B18020H_029EA,B18020H_030MA,B18020H_030EA,B18020H_031MA,B18020H_031EA,state
0400000US01,2044346,3497,335737,8519,165870,4628,34891,3493,16462,2492,18429,2458,130979,4084,48766,3133,82213,3145,169867,6069,34247,3102,11855,1625,22392,2559,135620,5295,36476,2942,99144,4762,1708609,9128,844703,5397,334035,4194,248729,5341,85306,4228,510668,4643,456328,5982,54340,3268,863906,6192,333480,3610,204288,4752,129192,4435,530426,5431,375764,6218,154662,5106,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,310720,1992,41310,3029,21648,2030,4978,1052,2885,969,2093,756,16670,1890,8688,1382,7982,1435,19662,2260,4219,1162,1743,789,2476,810,15443,1644,6358,1011,9085,1371,269410,3558,137949,2562,52685,1928,39089,2518,13596,2084,85264,1918,72865,2276,12399,1490,131461,2410,52074,1573,34540,2078,17534,1923,79387,1580,60289,2100,19098,1641,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2331867,3961,282800,7984,135703,5120,26569,2776,13193,1817,13376,2146,109134,4699,44066,2937,65068,3607,147097,5828,26389,2514,11283,2048,15106,1865,120708,4940,39325,2884,81383,4724,2049067,9303,1018326,6013,389411,4128,305802,5506,83609,4993,628915,4906,544688,5625,84227,5059,1030741,6429,381793,3364,262452,4860,119341,5728,648948,5100,468981,6589,179967,5742,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1366327,2912,253360,7868,127175,4397,26438,2308,12397,1905,14041,1515,100737,3863,36976,2500,63761,3294,126185,5240,24156,2541,9368,1816,14788,1928,102029,4403,31285,2407,70744,3469,1112967,8005,547347,5063,226146,3062,168492,3766,57654,3082,321201,3869,284662,4747,36539,2953,565620,5430,227691,2895,147058,4175,80633,3842,337929,4336,253170,4786,84759,3619,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,10331518,10871,1193100,16832,590183,11867,126334,5859,56055,4136,70279,4574,463849,10543,183248,6988,280601,8062,602917,11094,107721,4942,45337,3630,62384,3763,495196,10413,167236,6591,327960,7668,9138418,17098,4583077,13546,1623366,8538,1150579,11916,472787,9492,2959711,10975,2584702,12729,375009,7760,4555341,11382,1616535,7145,1051952,9567,564583,10631,2938806,10385,2135295,14626,803511,10786,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2326817,3463,236143,8065,120260,5586,31285,3050,17810,2349,13475,1744,88975,4505,44330,2939,44645,3224,115883,4918,24463,2581,11661,1753,12802,1830,91420,4115,37610,2892,53810,3283,2090674,8720,1040111,6337,393876,4220,303343,5589,90533,4792,646235,4815,577319,5604,68916,4042,1050563,5122,392054,3093,276882,4509,115172,4253,658509,4299,499392,5782,159117,4905,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1702710,4113,161709,6526,82077,4173,15189,1598,7630,1252,7559,1158,66888,3896,29971,2831,36917,2885,79632,3910,13504,2105,7331,1539,6173,1453,66128,3285,25407,2549,40721,2619,1541001,7390,754376,4663,252811,2667,183857,3531,68954,3234,501565,3920,452017,4919,49548,3275,786625,4371,255698,2756,172979,4197,82719,3787,530927,3460,404809,4310,126118,4181,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,380461,1352,45803,3280,22854,2248,5089,1235,2610,940,2479,809,17765,1749,7430,1136,10335,1334,22949,2214,3679,882,1933,619,1746,656,19270,2002,6258,1280,13012,1753,334658,3341,163699,2512,60340,1513,44564,1917,15776,1515,103359,1792,91023,2120,12336,1506,170959,2246,63908,1043,43568,1977,20340,1921,107051,2028,80985,2758,26066,2263,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,140414,3426,7088,1383,4027,1063,850,546,351,383,499,354,3177,942,1909,669,1268,559,3061,953,1212,586,500,349,712,425,1849,651,1017,478,832,362,133326,3590,63592,3202,29990,2898,22969,2143,7021,1750,33602,1114,31162,1461,2440,792,69734,1130,38952,729,31801,1389,7151,1454,30782,820,24769,1250,6013,933,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,6762438,7830,885148,17891,442032,11498,86299,5728,46091,4547,40208,3468,355733,9493,144305,6728,211428,7067,443116,11857,77432,5685,34985,4208,42447,3494,365684,9884,124598,6003,241086,7515,5877290,19214,2899982,13398,1018530,7696,775276,8372,243254,6310,1881452,10070,1620100,10540,261352,6529,2977308,11703,1021977,6876,678450,9701,343527,9488,1955331,9503,1398717,12441,556614,10374,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
