GEO_ID,B15002A_001E,B15002A_001M,B15002A_002E,B15002A_002M,B15002A_003E,B15002A_003M,B15002A_004E,B15002A_004M,B15002A_005E,B15002A_005M,B15002A_006E,B15002A_006M,B15002A_007E,B15002A_007M,B15002A_008E,B15002A_008M,B15002A_009E,B15002A_009M,B15002A_010E,B15002A_010M,B15002A_011E,B15002A_011M,B15002A_012E,B15002A_012M,B15002A_013E,B15002A_013M,B15002A_014E,B15002A_014M,B15002A_015E,B15002A_015M,B15002A_016E,B15002A_016M,B15002A_017E,B15002A_017M,NAME,B15002A_001EA,B15002A_001MA,B15002A_002EA,B15002A_002MA,B15002A_003EA,B15002A_003MA,B15002A_004MA,B15002A_004EA,B15002A_005MA,B15002A_005EA,B15002A_006MA,B15002A_006EA,B15002A_007EA,B15002A_007MA,B15002A_008EA,B15002A_008MA,B15002A_009EA,B15002A_009MA,B15002A_010MA,B15002A_010EA,B15002A_011MA,B15002A_011EA,B15002A_012EA,B15002A_012MA,B15002A_013EA,B15002A_013MA,B15002A_014EA,B15002A_014MA,B15002A_015MA,B15002A_015EA,B15002A_016MA,B15002A_016EA,B15002A_017MA,B15002A_017EA,state
0400000US01,2229016,3845,1066547,3107,67727,4140,126639,5319,333579,6782,205194,7053,68859,3605,167713,4991,96836,3975,1162469,1857,65064,3858,136761,5600,382096,8304,245624,6839,83607,3948,156608,5515,92709,4317,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,305443,1547,158092,1163,3251,929,8760,1583,43080,2421,43940,2522,11747,1414,28502,2322,18812,1837,147351,844,1974,774,7049,1673,36017,2672,40708,2855,12593,1394,33028,2911,15982,1563,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3181550,10602,1560514,6886,98413,6940,126151,5963,400543,12051,374386,9408,110919,6076,282538,8612,167564,5767,1621036,5906,84768,5254,128975,5623,433299,10434,416269,8150,132481,5884,279373,7960,145871,5071,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1511456,4283,726118,2819,54007,3615,81647,4213,258562,5999,149119,4271,34306,3140,98247,4084,50230,3147,785338,2307,46986,2946,87333,4497,291215,6793,166387,5042,47898,2606,94548,3885,50971,3523,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14536974,31048,7162530,16765,592718,12068,581220,13036,1601775,17679,1507054,16995,526718,9667,1417638,16277,935407,11433,7374444,18314,591650,13099,565308,11310,1725246,18261,1692672,19278,621700,13422,1412911,15791,764957,12301,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2657143,9431,1313248,5838,49660,4164,88729,4138,308213,9310,275563,7888,95182,3966,310589,7062,185312,5132,1343895,4748,43396,3262,80435,4451,325767,6401,309577,7029,108683,4113,312549,6096,163488,5508,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1960156,6358,929710,4147,35503,3118,59064,3635,271990,7987,156565,5609,57516,3624,199177,6786,149895,5211,1030446,3254,42833,2675,61961,3406,306192,6888,177679,5268,88099,4221,202808,5181,150874,4744,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,427014,2137,203537,1356,8925,1531,18481,1722,67795,3548,35806,2379,13570,2184,35438,2626,23522,1979,223477,1059,8271,1551,18972,2035,77030,3582,41548,2828,17231,2017,37376,2490,23049,1685,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,147086,1986,73850,1170,1957,888,1314,540,3196,988,5440,1288,808,336,25784,1990,35351,2217,73236,1153,2321,869,636,358,3032,777,5090,961,2304,751,23331,2086,36522,1958,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9957694,17523,4795959,11406,238463,8355,442680,11290,1394702,15652,953895,14018,376577,9654,875726,13803,513916,10761,5161735,9655,237427,6999,428234,10379,1681030,16878,1055840,15480,484371,9825,843592,12933,431241,9615,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
