GEO_ID,C08014_001E,C08014_001M,C08014_002E,C08014_002M,C08014_003E,C08014_003M,C08014_004E,C08014_004M,C08014_005E,C08014_005M,C08014_006E,C08014_006M,C08014_007E,C08014_007M,C08014_008E,C08014_008M,C08014_009E,C08014_009M,C08014_010E,C08014_010M,C08014_011E,C08014_011M,C08014_012E,C08014_012M,C08014_013E,C08014_013M,C08014_014E,C08014_014M,C08014_015E,C08014_015M,NAME,C08014_001EA,C08014_001MA,C08014_002EA,C08014_002MA,C08014_003EA,C08014_003MA,C08014_004MA,C08014_004EA,C08014_005MA,C08014_005EA,C08014_006MA,C08014_006EA,C08014_007MA,C08014_007EA,C08014_008EA,C08014_008MA,C08014_009MA,C08014_009EA,C08014_010MA,C08014_010EA,C08014_011MA,C08014_011EA,C08014_012MA,C08014_012EA,C08014_013EA,C08014_013MA,C08014_014MA,C08014_014EA,C08014_015MA,C08014_015EA,state
0400000US01,1952883,13646,39250,3178,367363,9087,807867,16713,738403,11903,1054173,8822,20094,2626,159177,6882,455416,10336,419486,6999,898710,9130,19156,2051,208186,5337,352451,9233,318917,7586,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,305294,5549,21340,2359,65519,4885,120987,5682,97448,5696,160982,3673,11182,1852,31820,3068,64309,3373,53671,3396,144312,3895,10158,1435,33699,2671,56678,3202,43777,3343,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2714289,15307,77163,6155,634234,15095,1183266,20504,819626,19460,1523423,8812,45100,4953,329161,10219,676084,13746,473078,12815,1190866,12284,32063,3434,305073,8701,507182,11231,346548,10808,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1214223,10890,23805,3325,256565,7786,542272,11679,391581,11745,651551,7722,13643,2644,117651,6395,299049,7663,221208,6614,562672,7367,10162,1591,138914,4927,243223,6193,170373,6852,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,16170744,37974,561722,19515,3207886,38610,6452831,46819,5948305,52324,9041513,26315,326644,13196,1644635,26873,3691589,29487,3378645,33351,7129231,27199,235078,10468,1563251,19663,2761242,25349,2569660,27410,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2370772,13036,51707,4293,479876,12091,1030949,17230,808240,17464,1306441,9677,29074,3322,233469,7528,591225,11168,452673,11573,1064331,9544,22633,2484,246407,7362,439724,9340,355567,8742,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1690043,11439,52534,5377,321929,11727,748300,14400,567280,12361,894312,7574,26997,3789,148719,6771,404795,8973,313801,8895,795731,8441,25537,3135,173210,7273,343505,7643,253479,6085,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,394452,6001,10325,1899,72635,4862,181903,6342,129589,5332,205460,4065,4995,1189,33284,2989,97523,4091,69658,3439,188992,4642,5330,1293,39351,3442,84380,4206,59931,3326,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,272485,4279,68039,4754,115119,5961,67743,5471,21584,3401,130937,3409,32441,3429,53015,3853,35394,3444,10087,1842,141548,3788,35598,3329,62104,3643,32349,3102,11497,2511,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8093215,27554,223705,11537,1869108,28512,3776894,33108,2223508,34284,4386932,18442,131596,9078,914487,18498,2100184,25546,1240665,21305,3706283,19952,92109,5358,954621,15822,1676710,17162,982843,17588,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4235620,20922,142428,7919,915528,18248,1821510,23656,1356154,23016,2296356,12926,78999,6789,425276,13585,1026191,14336,765890,15076,1939264,14825,63429,4614,490252,11458,795319,13852,590264,12406,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
