GEO_ID,B13014_001E,B13014_001M,B13014_002E,B13014_002M,B13014_003E,B13014_003M,B13014_004E,B13014_004M,B13014_005E,B13014_005M,B13014_006E,B13014_006M,B13014_007E,B13014_007M,B13014_008E,B13014_008M,B13014_009E,B13014_009M,B13014_010E,B13014_010M,B13014_011E,B13014_011M,B13014_012E,B13014_012M,B13014_013E,B13014_013M,B13014_014E,B13014_014M,B13014_015E,B13014_015M,B13014_016E,B13014_016M,B13014_017E,B13014_017M,B13014_018E,B13014_018M,B13014_019E,B13014_019M,B13014_020E,B13014_020M,B13014_021E,B13014_021M,B13014_022E,B13014_022M,B13014_023E,B13014_023M,B13014_024E,B13014_024M,B13014_025E,B13014_025M,B13014_026E,B13014_026M,B13014_027E,B13014_027M,NAME,B13014_001MA,B13014_001EA,B13014_002MA,B13014_002EA,B13014_003MA,B13014_003EA,B13014_004EA,B13014_004MA,B13014_005EA,B13014_005MA,B13014_006MA,B13014_006EA,B13014_007MA,B13014_007EA,B13014_008EA,B13014_008MA,B13014_009MA,B13014_009EA,B13014_010EA,B13014_010MA,B13014_011EA,B13014_011MA,B13014_012MA,B13014_012EA,B13014_013EA,B13014_013MA,B13014_014MA,B13014_014EA,B13014_015EA,B13014_015MA,B13014_016EA,B13014_016MA,B13014_017MA,B13014_017EA,B13014_018MA,B13014_018EA,B13014_019EA,B13014_019MA,B13014_020MA,B13014_020EA,B13014_021EA,B13014_021MA,B13014_022EA,B13014_022MA,B13014_023MA,B13014_023EA,B13014_024MA,B13014_024EA,B13014_025MA,B13014_025EA,B13014_026MA,B13014_026EA,B13014_027EA,B13014_027MA,state
0400000US01,1162158,4285,59396,3731,36872,3323,4346,1155,8926,1762,11674,1911,8522,1401,3404,683,22524,2641,7152,1512,6810,1538,6840,1322,1626,843,96,114,1102762,5710,543683,8841,64223,4161,161407,6456,182493,5467,91754,4250,43806,2643,559079,10404,168547,4960,146296,7234,170106,5560,53838,4062,20292,1976,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,179420,1863,12147,1698,8567,1593,964,524,2924,927,2622,975,1788,494,269,186,3580,826,912,369,1584,541,1043,565,0,235,41,73,167273,2591,82435,3053,6632,1410,21228,1834,30610,2277,17437,1936,6528,1229,84838,3489,26806,2079,21245,2094,24870,2362,8846,1479,3071,789,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1504850,3586,88982,4858,59793,3573,10219,1966,15557,2115,17479,1945,10376,1477,6162,1066,29189,3424,11429,2149,9395,1962,7194,1646,719,605,452,238,1415868,5381,679064,9374,105286,5836,172190,6313,226711,7959,123623,4691,51254,2868,736804,8868,209038,6095,168494,8803,235888,8782,90084,6389,33300,3200,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,687522,3095,41472,3099,25788,2312,2854,844,7440,1227,8419,1825,4485,860,2590,736,15684,2421,4282,1143,6868,1541,3886,1116,277,242,371,349,646050,3837,339864,6142,37541,2636,119250,4836,105850,3959,54442,3144,22781,2203,306186,5813,86813,3581,90754,4687,93676,4033,25505,2054,9438,1306,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9446645,8577,515991,13067,356325,10690,68501,4170,75239,4983,95290,5320,79556,4885,37739,2675,159666,7389,49182,4631,52992,3649,47821,4301,7566,1627,2105,678,8930654,15504,4211094,23082,821184,11685,950794,15756,1218072,18636,838980,14475,382064,10434,4719560,24499,1311886,14542,1024076,19401,1462765,21136,684090,12814,236743,8459,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1235374,3066,69358,4090,51696,3266,6084,1342,9602,1737,15204,2188,13029,1761,7777,1192,17662,2217,6150,1558,6084,1298,4050,1079,903,429,475,366,1166016,5017,597671,9176,65114,4161,135240,6295,183367,6312,149458,4907,64492,3268,568345,10002,144969,4671,119405,6127,177586,6884,94830,4875,31555,2776,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,890870,2835,44811,3134,32920,2862,1588,662,7112,1144,7952,1465,9396,1487,6872,1150,11891,1893,2430,795,4936,1415,3343,1140,775,436,407,284,846059,3896,407365,7288,21793,2545,100858,4787,109761,4364,109554,4713,65399,3468,438694,7116,104256,3391,109781,5818,134917,5723,62724,3829,27016,2706,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,219889,1528,13381,1757,8489,1357,642,331,2091,731,1915,686,1996,617,1845,698,4892,1174,1004,505,2140,993,1633,718,0,261,115,145,206508,2207,94936,3866,9059,1770,28930,2995,27971,2681,18669,1975,10307,1487,111572,4120,27153,2054,31410,2920,31915,2603,15287,2023,5807,1110,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,169915,984,7758,1329,3665,1098,64,104,470,390,323,273,1018,543,1790,741,4093,1110,1470,630,1230,614,1091,615,226,273,76,126,162157,1666,39947,3073,4638,1225,6007,1406,6236,1285,10103,1586,12963,1790,122210,3049,20860,2143,22311,2284,28258,2791,27676,2465,23105,2455,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4337964,7863,221631,9227,137626,5879,16008,2649,34860,3706,40400,3178,32733,2828,13625,1758,84005,6240,23423,2858,31857,3780,23706,3108,3548,1113,1471,717,4116333,11593,1993638,17795,206919,8673,581370,12389,655308,10694,387739,10706,162302,6657,2122695,19085,557812,11838,575019,13681,638325,13696,259308,7752,92231,4908,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
