GEO_ID,B25096_001E,B25096_001M,B25096_002E,B25096_002M,B25096_003E,B25096_003M,B25096_004E,B25096_004M,B25096_005E,B25096_005M,B25096_006E,B25096_006M,B25096_007E,B25096_007M,B25096_008E,B25096_008M,B25096_009E,B25096_009M,B25096_010E,B25096_010M,B25096_011E,B25096_011M,B25096_012E,B25096_012M,B25096_013E,B25096_013M,B25096_014E,B25096_014M,B25096_015E,B25096_015M,B25096_016E,B25096_016M,B25096_017E,B25096_017M,NAME,B25096_001EA,B25096_001MA,B25096_002EA,B25096_002MA,B25096_003MA,B25096_003EA,B25096_004MA,B25096_004EA,B25096_005MA,B25096_005EA,B25096_006EA,B25096_006MA,B25096_007EA,B25096_007MA,B25096_008EA,B25096_008MA,B25096_009MA,B25096_009EA,B25096_010MA,B25096_010EA,B25096_011MA,B25096_011EA,B25096_012EA,B25096_012MA,B25096_013EA,B25096_013MA,B25096_014MA,B25096_014EA,B25096_015MA,B25096_015EA,B25096_016MA,B25096_016EA,B25096_017EA,B25096_017MA,state
0400000US01,1289272,11970,789058,11033,91700,4392,229763,6274,175592,6055,116650,4842,92277,3876,60078,3407,22998,2007,500214,8788,134653,6033,149532,5292,86394,3523,51625,3151,40014,2899,24221,2172,13775,1463,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,148249,3302,102554,3334,2810,742,4472,897,12696,1724,20499,1808,34234,2479,21839,1887,6004,1079,45695,2226,7907,973,6000,844,5462,754,7214,902,9477,1006,7480,1107,2155,552,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1523041,12956,1084174,13330,24113,2160,59213,4164,103973,4454,142786,5940,314262,8158,275712,7763,164115,5110,438867,6668,83811,3738,62433,2950,53449,3218,56219,3426,73936,3742,66588,3664,42431,3194,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,753412,8763,439018,9299,59193,3981,149704,5888,99275,4487,59042,3822,42292,2912,20637,2071,8875,1324,314394,6698,90511,4380,103062,4305,53509,2728,29217,2451,19461,1943,11979,1459,6655,1195,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7102197,26399,5431478,25319,43377,3364,78141,4253,72127,3551,120961,5532,406154,8238,1611244,17475,3099474,22390,1670719,15863,123839,4759,105800,4534,69296,3652,74495,3847,155142,5247,384568,7226,757579,11501,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1269421,10162,980544,9125,15916,1888,37780,3200,96027,4043,186996,5070,312580,7541,224474,5930,106771,3790,288877,5949,29652,2397,26054,1936,31897,2615,49182,3402,69695,3387,51304,3113,31093,2055,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,921382,7687,665431,8070,3365,852,11275,1214,40107,2355,85525,4266,180131,5970,206560,5453,138468,4956,255951,5671,5972,1033,10462,1396,22327,1911,39720,2481,63923,3852,67024,2996,46523,2770,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,238194,3604,158699,3796,4106,1150,6890,1201,16956,2333,26449,2148,46420,2670,45266,2584,12612,1507,79495,3215,11013,1413,9041,1320,9497,1212,13052,1640,17074,1602,13468,1451,6350,945,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,114586,3453,87339,3430,310,256,1088,533,2366,568,4110,833,11765,1561,29822,2315,37878,2257,27247,2073,211,178,543,236,811,404,1957,523,5624,1048,8321,1406,9780,1314,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4994101,23446,3283171,21249,72637,4118,212528,7087,347918,9485,497507,12002,842629,14433,865278,12197,444674,10114,1710930,16837,218965,6670,247414,7432,231756,6238,230803,6677,304182,8009,282321,8754,195489,6143,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2285179,17167,1656735,15936,79336,4145,223655,7877,391791,9158,357084,8232,292952,7909,210341,6782,101576,4449,628444,9440,114042,4841,152471,5566,110977,4572,84829,4295,77750,3646,54849,3416,33526,2935,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,257599,4950,176714,5060,927,351,1739,601,2595,744,5587,1118,17809,2057,51866,2427,96191,3902,80885,3025,1067,422,2568,858,2971,864,3795,865,8025,1263,20513,1895,41946,2290,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
