GEO_ID,B13004H_001E,B13004H_001M,B13004H_002E,B13004H_002M,B13004H_003E,B13004H_003M,B13004H_004E,B13004H_004M,B13004H_005E,B13004H_005M,B13004H_006E,B13004H_006M,B13004H_007E,B13004H_007M,NAME,B13004H_001MA,B13004H_001EA,B13004H_002EA,B13004H_002MA,B13004H_003EA,B13004H_003MA,B13004H_004EA,B13004H_004MA,B13004H_005EA,B13004H_005MA,B13004H_006MA,B13004H_006EA,B13004H_007MA,B13004H_007EA,state
0400000US01,762613,2278,35916,2888,27549,2607,8367,1597,726697,3700,410934,6494,315763,7090,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,116451,936,6423,1218,4949,1022,1474,655,110028,1642,58271,2630,51757,2573,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,850788,2842,41637,3949,31538,2865,10099,2104,809151,4487,395448,7215,413703,7502,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,509999,1970,28010,2077,20701,2033,7309,1420,481989,2816,270979,4801,211010,4954,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3767246,6366,170481,6305,130174,5751,40307,3568,3596765,8693,1697099,16017,1899666,15730,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,879834,2201,44858,3004,36736,2626,8122,1557,834976,3655,433154,6356,401822,6655,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,633262,2625,29721,2274,24522,2170,5199,1290,603541,3427,310119,5346,293422,5471,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,144659,1131,7186,1281,5044,1015,2142,800,137473,1550,67986,2871,69487,2960,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,60436,477,1890,795,1648,777,242,227,58546,940,16479,1521,42067,1646,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2422985,4820,114875,5606,79043,4513,35832,3557,2308110,7283,1172773,12374,1135337,13645,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1386481,3806,69246,4471,52637,3680,16609,2578,1317235,6058,711932,9669,605303,10834,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,75938,863,3130,809,2383,712,747,433,72808,1184,37324,2142,35484,2113,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,311249,1459,20937,2225,16607,1859,4330,1263,290312,2626,160109,4553,130203,4122,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2077571,3757,99007,4818,76573,3905,22434,2069,1978564,5872,1008256,10046,970308,9101,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1313195,2373,67977,4482,47221,3670,20756,2457,1245218,5097,644680,7161,600538,7383,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,656004,1789,40137,2761,28060,2200,12077,1761,615867,3137,323521,5024,292346,5359,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,546764,1772,29530,2320,22107,2003,7423,1263,517234,3128,273880,4770,243354,5222,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,935480,2667,47720,3673,35187,3229,12533,1942,887760,4543,469428,7891,418332,8884,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,662151,2323,36971,2970,28555,2554,8416,1819,625180,3720,326691,6026,298489,6357,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,310223,1692,14075,1576,9337,1299,4738,1076,296148,2385,146411,2945,149737,3311,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,816618,1989,43283,3107,34709,2666,8574,1442,773335,3637,401826,6808,371509,6659,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1283636,4377,53871,3504,44230,2844,9641,1896,1229765,5192,573373,8607,656392,8661,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1928839,2985,93408,4705,68509,3765,24899,2754,1835431,5781,936129,10661,899302,9254,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1121080,2092,60618,3324,46994,3005,13624,1726,1060462,4243,544622,7692,515840,7454,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,410579,1997,22649,2481,16389,1978,6260,1445,387930,2954,217543,4541,170387,4566,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1192659,3065,58617,3453,44171,2952,14446,1914,1134042,3909,596298,7395,537744,7319,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,199248,1101,8184,1305,6570,1214,1614,623,191064,1872,100124,3512,90940,3474,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,365906,1346,22183,1995,17864,1784,4319,922,343723,2520,178218,3900,165505,3402,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,348756,1927,17868,1797,13099,1399,4769,1273,330888,2531,165222,4488,165666,5213,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,314220,1251,12818,1606,8946,1255,3872,1036,301402,2078,153345,4304,148057,4455,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
