GEO_ID,B14001H_001E,B14001H_001M,B14001H_002E,B14001H_002M,B14001H_003E,B14001H_003M,B14001H_004E,B14001H_004M,B14001H_005E,B14001H_005M,B14001H_006E,B14001H_006M,B14001H_007E,B14001H_007M,NAME,B14001H_001EA,B14001H_001MA,B14001H_002EA,B14001H_002MA,B14001H_003MA,B14001H_003EA,B14001H_004EA,B14001H_004MA,B14001H_005MA,B14001H_005EA,B14001H_006EA,B14001H_006MA,B14001H_007EA,B14001H_007MA,state
0400000US01,3066583,2506,733750,7825,85477,4575,306039,4356,159532,3943,182702,7040,2332833,7732,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,428864,1232,112161,3332,10217,1669,44686,1598,25002,1552,32256,2790,316703,3424,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3551569,4346,832921,9532,85765,4042,314038,4964,171449,3572,261669,9333,2718648,10214,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2070687,2782,492002,6914,62570,2932,200789,3275,107481,3145,121162,5037,1578685,7336,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15153286,13537,3676148,21689,361763,9193,1299906,9231,777808,7811,1236671,17785,11477138,21216,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3284155,3462,828944,8005,95055,3660,308999,3594,172674,3583,252216,6830,2455211,8508,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2536297,4369,641614,5927,71656,3639,246350,3162,143270,3055,180338,5377,1894683,5997,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,567453,1749,138174,3158,14205,1824,52591,1519,28918,1117,42460,2837,429279,3147,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,178280,828,39418,3298,3231,853,6552,581,2420,360,27215,3137,138862,3234,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10732208,10772,2219285,16179,248506,8536,899418,7531,481310,6882,590051,12957,8512923,16520,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5299127,6000,1345665,10214,166955,5758,551673,5853,285945,5055,341092,8849,3953462,10486,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,307026,1083,63732,2869,5480,990,23509,1682,11710,726,23033,2342,243294,2826,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1210167,2002,324960,5093,33440,2293,132603,2604,76815,2573,82102,4086,885207,5355,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
