GEO_ID,B15002D_001E,B15002D_001M,B15002D_002E,B15002D_002M,B15002D_003E,B15002D_003M,B15002D_004E,B15002D_004M,B15002D_005E,B15002D_005M,B15002D_006E,B15002D_006M,B15002D_007E,B15002D_007M,B15002D_008E,B15002D_008M,B15002D_009E,B15002D_009M,B15002D_010E,B15002D_010M,B15002D_011E,B15002D_011M,B15002D_012E,B15002D_012M,B15002D_013E,B15002D_013M,B15002D_014E,B15002D_014M,B15002D_015E,B15002D_015M,B15002D_016E,B15002D_016M,B15002D_017E,B15002D_017M,NAME,B15002D_001EA,B15002D_001MA,B15002D_002EA,B15002D_002MA,B15002D_003MA,B15002D_003EA,B15002D_004MA,B15002D_004EA,B15002D_005EA,B15002D_005MA,B15002D_006EA,B15002D_006MA,B15002D_007EA,B15002D_007MA,B15002D_008MA,B15002D_008EA,B15002D_009MA,B15002D_009EA,B15002D_010MA,B15002D_010EA,B15002D_011EA,B15002D_011MA,B15002D_012EA,B15002D_012MA,B15002D_013EA,B15002D_013MA,B15002D_014MA,B15002D_014EA,B15002D_015MA,B15002D_015EA,B15002D_016EA,B15002D_016MA,B15002D_017EA,B15002D_017MA,state
0400000US01,28848,2186,13329,1570,1016,711,1131,593,2198,971,1276,584,42,48,3128,715,4538,1085,15519,1258,1118,425,1719,550,2787,801,1791,538,939,432,4804,998,2361,683,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,20286,1124,9036,966,1536,671,926,358,1753,805,2444,736,164,160,1716,564,497,257,11250,857,1352,459,1006,492,2216,643,2564,658,1005,484,2617,764,490,263,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,99453,1623,45702,989,2296,753,2476,905,6742,1650,7560,1433,2497,712,10917,1727,13214,1989,53751,1176,3124,777,4942,1021,11729,1841,7058,1192,3847,1299,14652,1635,8399,1493,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,17486,1414,7354,1022,469,339,196,199,1362,568,1784,791,432,360,1206,469,1905,557,10132,850,1565,751,1437,695,1819,703,913,490,743,429,2701,740,954,335,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3094983,8284,1444868,5116,95027,5146,78824,5676,222337,8076,219782,8174,113625,5964,449005,9997,266268,7643,1650115,5437,179469,6821,91033,5316,276624,9609,212337,7719,142961,6559,541849,10580,205842,6530,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,87948,2449,40513,1814,1504,687,3023,904,7022,1441,5546,1244,1894,729,10970,1798,10554,1490,47435,1621,4218,1068,3540,909,10520,1452,6544,1175,2865,741,11880,1399,7868,1315,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,77310,1760,37292,1403,1590,610,1860,619,6418,1431,2363,720,998,370,11042,1389,13021,1602,40018,990,2925,814,2154,711,5282,1132,4172,1072,2507,877,12243,1525,10735,1677,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,16445,750,7844,523,225,205,177,178,1080,816,652,297,377,275,2622,563,2711,693,8601,440,594,337,334,244,971,453,972,452,735,399,2021,475,2974,590,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,14873,582,6704,683,383,338,423,396,852,566,432,488,0,292,1993,975,2621,994,8169,394,660,392,158,169,1053,578,566,334,185,183,2382,651,3165,715,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,269581,3626,123072,2224,6056,1440,8439,1335,23135,2781,15338,2171,9081,1711,33092,2598,27931,2612,146509,2307,13357,1843,12900,1727,30094,2521,16815,2061,11184,1667,41530,2676,20629,2280,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
