GEO_ID,B15002H_001E,B15002H_001M,B15002H_002E,B15002H_002M,B15002H_003E,B15002H_003M,B15002H_004E,B15002H_004M,B15002H_005E,B15002H_005M,B15002H_006E,B15002H_006M,B15002H_007E,B15002H_007M,B15002H_008E,B15002H_008M,B15002H_009E,B15002H_009M,B15002H_010E,B15002H_010M,B15002H_011E,B15002H_011M,B15002H_012E,B15002H_012M,B15002H_013E,B15002H_013M,B15002H_014E,B15002H_014M,B15002H_015E,B15002H_015M,B15002H_016E,B15002H_016M,B15002H_017E,B15002H_017M,NAME,B15002H_001MA,B15002H_001EA,B15002H_002MA,B15002H_002EA,B15002H_003EA,B15002H_003MA,B15002H_004EA,B15002H_004MA,B15002H_005MA,B15002H_005EA,B15002H_006MA,B15002H_006EA,B15002H_007EA,B15002H_007MA,B15002H_008EA,B15002H_008MA,B15002H_009EA,B15002H_009MA,B15002H_010EA,B15002H_010MA,B15002H_011MA,B15002H_011EA,B15002H_012MA,B15002H_012EA,B15002H_013MA,B15002H_013EA,B15002H_014EA,B15002H_014MA,B15002H_015EA,B15002H_015MA,B15002H_016MA,B15002H_016EA,B15002H_017MA,B15002H_017EA,state
0400000US01,2195747,2641,1048031,2086,61640,3837,124195,5272,327904,6611,203390,7012,68641,3612,166157,4930,96104,3954,1147716,1160,61311,3523,135928,5623,377967,8118,242790,6833,82924,3941,155175,5377,91621,4259,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,297450,650,153858,565,2365,731,8238,1576,42168,2309,42895,2470,11609,1429,27931,2240,18652,1846,143592,362,1308,559,6799,1661,35312,2725,39554,2775,12447,1406,32416,2809,15756,1582,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2636542,2081,1275860,1287,25267,3028,77959,4773,320980,10219,333050,8442,95192,4871,263850,7725,159562,5371,1360682,1324,23087,2171,83030,4047,365511,8909,374948,7437,117190,5350,259501,7430,137415,4696,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1479962,1910,708020,1404,47621,3107,78064,4096,253573,5822,148274,4212,33427,3044,97594,4098,49467,3125,771942,1323,43330,2561,84923,4438,287163,6562,164208,4857,47761,2588,93821,3939,50736,3481,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,11252889,7305,5485470,3632,101824,5361,297942,8742,1176501,13520,1271623,15185,452024,8558,1306143,14970,879413,10617,5767419,4657,127644,6078,319738,7869,1339431,15717,1443375,16626,533303,11355,1291446,14970,712482,11363,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2366177,2665,1159771,1626,16031,1975,58749,3430,260420,7309,256619,7338,89068,3727,298863,6671,180021,4972,1206406,1626,17256,2109,56105,3428,286708,6027,284643,6298,101943,4038,300067,5756,159684,5465,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1848126,2507,875932,1388,28033,2483,51146,2958,252695,7230,148487,5256,55024,3476,194052,6510,146495,5074,972194,1302,32226,2197,55752,2866,286485,6288,169450,5022,84277,4012,197597,5164,146407,4822,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,412821,778,196030,723,6938,1279,17008,1663,65292,3490,35268,2291,13172,2086,35050,2599,23302,1997,216791,215,5761,1198,18576,1943,75040,3540,40871,2808,17155,2046,36669,2480,22719,1697,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,135583,434,68046,412,517,354,1200,500,2473,870,4960,1059,688,319,24631,1905,33577,2083,67537,146,465,296,414,285,2624,757,4837,904,1992,690,22104,2070,35101,1809,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8183958,6579,3926532,4598,107466,4429,340495,9708,1142280,13855,831223,13231,313009,8406,747307,11886,444752,9798,4257426,3817,107889,5075,335135,9027,1430088,15349,916544,13654,399027,8187,702480,11620,366263,9456,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
