GEO_ID,C19001A_001E,C19001A_001M,C19001A_002E,C19001A_002M,C19001A_003E,C19001A_003M,C19001A_004E,C19001A_004M,C19001A_005E,C19001A_005M,C19001A_006E,C19001A_006M,C19001A_007E,C19001A_007M,C19001A_008E,C19001A_008M,C19001A_009E,C19001A_009M,C19001A_010E,C19001A_010M,C19001A_011E,C19001A_011M,NAME,C19001A_001MA,C19001A_001EA,C19001A_002EA,C19001A_002MA,C19001A_003MA,C19001A_003EA,C19001A_004EA,C19001A_004MA,C19001A_005EA,C19001A_005MA,C19001A_006MA,C19001A_006EA,C19001A_007EA,C19001A_007MA,C19001A_008MA,C19001A_008EA,C19001A_009EA,C19001A_009MA,C19001A_010EA,C19001A_010MA,C19001A_011EA,C19001A_011MA,state
0400000US01,1300598,7693,113936,5730,85601,3611,162574,5345,154432,5711,196718,6927,251656,7439,146546,5324,120440,5094,34247,2446,34448,2650,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,171704,2821,5938,1074,7321,1202,11177,1468,14854,1625,23594,2082,36305,2500,27816,2359,27591,2093,10674,1275,6434,944,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1825775,10426,116380,5725,93552,5027,208028,7143,210705,7149,290746,7557,354253,9138,216362,6486,206415,5708,68285,3909,61049,3516,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,887577,6840,77897,4980,64912,3997,131351,5084,117522,5653,149813,5136,163767,5446,87612,4216,62014,2807,16675,1864,16014,1603,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8048560,20064,417005,11122,400085,9498,774045,14568,734509,12231,1041538,15110,1468708,14709,1038428,14117,1190662,14800,472544,9604,511036,10351,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1585708,8879,98731,4428,73343,4997,158026,5564,162616,6273,231563,7583,306606,7221,210362,7157,207542,5620,70322,3628,66597,3283,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1100308,6712,49130,2949,45511,3210,84974,4070,90391,3874,132139,5120,203727,6143,163686,5401,178316,5763,69273,3469,83161,3705,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,243361,3102,12213,2089,9818,1279,24600,2323,24298,2272,36889,2541,48740,3159,34254,2389,34350,2416,9591,1253,8608,1283,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,99845,2582,6093,1420,1164,520,4483,995,5271,1260,9747,1624,16382,1641,12800,1915,17656,1826,9586,1412,16663,1817,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5718584,21712,384693,10031,323987,8616,679627,12240,677011,12521,901650,15213,1110699,14382,650175,13288,597947,12905,182446,6776,210349,5973,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2208250,11303,140605,5980,111661,4909,215235,7491,228848,7581,319301,10846,440475,9608,285277,6876,279853,7369,97965,4761,89030,4273,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,144536,3209,9693,1471,6099,1237,11181,1757,11221,1628,18446,2108,29995,2911,19953,2035,20538,2290,7840,1041,9570,1183,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,518039,4243,35444,2908,31808,2602,68008,3316,71555,3278,85926,3708,110584,4344,55224,3088,40470,2589,10321,1582,8699,1202,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3567775,13227,202293,5859,174162,6371,344564,7885,347494,8942,503031,9189,716378,10829,479208,10085,473726,8839,164531,5167,162388,6262,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2137621,9923,143061,6469,120382,5259,254039,7256,257112,6826,347502,9371,459546,9013,265989,7845,199273,5903,50564,3340,40153,2129,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1143713,5777,78024,4204,72871,3661,137033,4975,144000,4708,198127,5748,240230,5322,133912,4319,94716,3391,22934,1821,21866,1644,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,956453,6209,63769,3092,56439,3150,114956,5081,115783,4371,155063,5263,190601,4967,118450,4326,92817,3493,25162,2497,23413,1795,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1488576,7787,160941,6955,112690,4520,203857,6484,171453,5795,236038,7035,276595,6121,151373,5068,120054,5140,30496,2536,25079,2405,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1071671,6890,85266,4380,69030,4188,125517,5065,124672,5066,161691,6144,206983,6865,130446,3967,106733,3810,31748,2969,29585,2463,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,532129,4062,41667,2386,38163,2798,67727,3367,65682,3567,85403,3913,108488,4363,61175,3552,43305,2418,11940,1309,8579,1114,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1352932,7376,51232,2851,45946,3094,92131,4526,98106,4732,161670,6041,260610,6397,202299,6985,245632,6008,98768,4999,96538,3865,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,2090307,10601,128811,5542,107784,5208,176254,6541,169769,5966,251310,7278,386806,8981,290280,7507,341565,7322,121474,4999,116254,4375,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,3181299,10018,204249,6364,177723,5473,350709,8407,361046,8113,485529,7687,657070,9917,399906,6814,359004,6940,103154,4164,82909,3505,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1860437,7068,97888,4239,92564,3526,167160,4728,188950,5121,275552,6223,398312,7674,269835,5558,236480,5521,71044,3040,62652,3304,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,681878,6257,60297,3785,46320,3306,90593,5192,85803,5118,101928,4319,125949,5128,79420,3954,62489,3595,15424,1635,13655,1655,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1972941,8944,143818,5618,124810,5249,243369,6562,246889,7276,320654,7929,395649,8005,224035,6746,179041,4815,50522,3256,44154,2964,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,342915,3310,27418,2354,22720,2011,47357,2980,44176,2869,59843,3191,70018,3443,35833,2104,24527,1986,6802,1078,4221,686,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,636552,3922,43175,2829,38563,2282,78510,3835,76495,3116,104250,3786,132148,4437,76138,3066,60992,2908,13262,1224,13019,1316,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,730841,6255,40690,3369,30942,2894,69772,3689,76330,4964,109440,5641,158124,5794,102485,5084,88903,4027,30294,2598,23861,2202,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,485537,4074,24399,2206,22549,1914,42931,2506,45516,3248,65001,3527,103028,4262,73797,3899,69772,4043,22020,1881,16524,1675,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,2295939,10205,101300,5187,91572,5092,182578,6803,173402,5688,263904,8577,412581,8909,334470,8568,396440,9708,166744,4686,172948,4632,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,531273,5375,48355,3665,37344,3065,66195,3755,60383,3543,82663,4225,98859,3565,59132,3172,51401,3161,15466,1713,11475,1452,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,5026741,16339,331854,8750,267829,7029,480748,8763,483299,9251,644987,11008,927958,12504,645925,12872,679094,10210,255699,7107,309348,7993,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,2540575,11427,187128,6320,145324,6244,290267,7994,297251,8953,390796,9103,514435,11347,305834,6084,254635,6781,78281,3514,76624,4125,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,254089,2516,20509,1835,19079,1770,30420,2658,31564,2407,43661,2305,53706,2557,28363,1841,18313,1510,4149,780,4325,860,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,3830302,12134,267463,7480,226450,7535,449404,8656,452522,10241,607932,9726,782971,11580,468385,8201,379529,6722,103700,4245,91946,3710,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
