GEO_ID,B06004A_001E,B06004A_001M,B06004A_002E,B06004A_002M,B06004A_003E,B06004A_003M,B06004A_004E,B06004A_004M,B06004A_005E,B06004A_005M,NAME,B06004A_001EA,B06004A_001MA,B06004A_002MA,B06004A_002EA,B06004A_003MA,B06004A_003EA,B06004A_004EA,B06004A_004MA,B06004A_005MA,B06004A_005EA,state
0400000US01,3237958,4503,2197379,15015,953852,14326,23007,2560,63720,4624,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,460170,2621,135425,4907,301122,4853,7859,1500,15764,2108,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4741310,21386,1497125,23503,2607716,20798,52459,4366,584010,17705,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2208224,5887,1321863,12730,826960,13177,13219,1914,46182,4897,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,21810156,62036,12079635,54896,5587353,35096,212851,8182,3930317,47308,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3934971,14748,1659079,19820,1958716,18841,49261,3749,267915,10547,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2800344,9041,1650400,14303,844925,12332,62194,4562,242825,10893,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,615638,3832,291711,7074,287628,6606,7061,1478,29238,3935,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,200395,3340,26937,2574,144846,2963,3460,839,25152,3640,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13767248,25188,4149237,30375,7128126,30674,360036,12067,2129849,27531,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5816513,13245,3216707,19971,2231367,21057,56029,5038,312410,12036,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,337507,2426,72104,4505,236052,5346,7531,1440,21820,2895,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1357129,5032,623735,9045,667875,9092,10691,1520,54828,4873,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9074653,23238,6424406,26414,1786594,18529,60761,4458,802892,20779,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5427561,9032,3861177,16283,1423833,16325,25041,2610,117510,6569,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2772535,4142,2078764,11502,634228,10921,10368,1333,49175,4641,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2361047,6941,1454395,14211,814938,11751,15221,1830,76493,5678,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3762571,4258,2745231,15760,941832,14719,20060,2323,55448,5130,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2760233,4740,2121221,13486,563631,12196,16302,2082,59079,4978,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1265541,3360,837025,9110,389623,7884,11971,1469,26922,2746,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3441497,11054,1781430,17722,1394376,15597,40968,3511,224723,11775,Maryland,null,null,null,null,null,null,null,null,null,null,24
0400000US25,5329576,13209,3710095,18480,1094896,18408,79599,6350,444986,16014,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
0400000US26,8026545,7876,6296384,19335,1347233,17893,44765,3431,338163,12917,Michigan,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4538957,7496,3324007,16627,1078673,14594,21981,2083,114296,7160,Minnesota,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1749296,2792,1153507,10387,566131,10370,8359,1652,21299,2803,Mississippi,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4905832,6447,3308823,21807,1480377,20059,27182,2569,89450,7078,Missouri,null,null,null,null,null,null,null,null,null,null,29
0400000US30,847192,1984,443459,7575,386721,7558,5381,1041,11631,1558,Montana,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1566980,4653,1078925,9323,436088,8861,9024,1409,42943,3655,Nebraska,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1837860,12559,409476,12480,1156498,12712,19920,2249,251966,10604,Nevada,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1250231,2808,533626,9463,662277,9255,9888,1828,44440,4851,New Hampshire,null,null,null,null,null,null,null,null,null,null,33
0400000US34,6073160,16554,3509890,24072,1725027,20134,95079,6180,743164,18900,New Jersey,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1325762,11738,570156,13154,611534,8495,18178,2370,125894,8651,New Mexico,null,null,null,null,null,null,null,null,null,null,35
