GEO_ID,B16009_001E,B16009_001M,B16009_002E,B16009_002M,B16009_003E,B16009_003M,B16009_004E,B16009_004M,B16009_005E,B16009_005M,B16009_006E,B16009_006M,B16009_007E,B16009_007M,B16009_008E,B16009_008M,B16009_009E,B16009_009M,B16009_010E,B16009_010M,B16009_011E,B16009_011M,B16009_012E,B16009_012M,B16009_013E,B16009_013M,B16009_014E,B16009_014M,B16009_015E,B16009_015M,B16009_016E,B16009_016M,B16009_017E,B16009_017M,B16009_018E,B16009_018M,B16009_019E,B16009_019M,B16009_020E,B16009_020M,B16009_021E,B16009_021M,B16009_022E,B16009_022M,B16009_023E,B16009_023M,B16009_024E,B16009_024M,B16009_025E,B16009_025M,B16009_026E,B16009_026M,B16009_027E,B16009_027M,NAME,B16009_001EA,B16009_001MA,B16009_002MA,B16009_002EA,B16009_003MA,B16009_003EA,B16009_004MA,B16009_004EA,B16009_005MA,B16009_005EA,B16009_006MA,B16009_006EA,B16009_007MA,B16009_007EA,B16009_008EA,B16009_008MA,B16009_009MA,B16009_009EA,B16009_010MA,B16009_010EA,B16009_011MA,B16009_011EA,B16009_012EA,B16009_012MA,B16009_013MA,B16009_013EA,B16009_014MA,B16009_014EA,B16009_015MA,B16009_015EA,B16009_016MA,B16009_016EA,B16009_017EA,B16009_017MA,B16009_018MA,B16009_018EA,B16009_019MA,B16009_019EA,B16009_020MA,B16009_020EA,B16009_021MA,B16009_021EA,B16009_022MA,B16009_022EA,B16009_023EA,B16009_023MA,B16009_024MA,B16009_024EA,B16009_025MA,B16009_025EA,B16009_026MA,B16009_026EA,B16009_027MA,B16009_027EA,state
0400000US15,1166282,1879,106697,8360,23705,3578,18138,3277,301,240,286,334,4980,1608,0,267,82992,6219,56842,5374,1470,595,1726,778,22882,3720,72,87,1059585,8318,182162,3385,154621,4407,1964,683,2549,1760,23028,2938,0,267,877423,6402,662076,9269,12142,2032,12766,2021,189796,8262,643,461,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1321051,1799,160863,7140,39127,4079,30578,3971,7760,1662,353,391,157,199,279,370,121736,5210,102373,5195,15279,2508,1829,729,1048,518,1207,627,1160188,7624,237654,4541,214157,4286,19022,2138,3346,1090,562,301,567,305,922534,5341,840648,6122,59085,3457,12339,1674,7601,1515,2861,1008,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,11638150,4011,1369990,29080,374330,13973,275738,11671,80947,7736,10331,2401,2684,949,4630,2000,995660,18562,738698,14780,168795,11768,50849,5155,23334,3060,13984,3873,10268160,29527,1920778,14237,1506447,14074,281235,8005,82915,6308,33807,2819,16374,3187,8347382,19145,6560429,24523,961846,12410,532385,17588,228675,8308,64047,6829,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5699321,3580,685542,20609,184780,10573,161129,9861,17054,2822,5117,2365,787,475,693,542,500762,13174,444390,12808,36847,3296,10587,2025,6466,1794,2472,1819,5013779,20870,937543,10583,865709,11152,45167,4099,17796,2577,6991,1365,1880,1066,4076236,13310,3795098,14188,149829,5598,82613,6224,37261,2976,11435,2443,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2690560,2254,284432,10670,64006,4810,54626,4485,7134,1559,828,450,1105,667,313,421,220426,8030,200155,7728,11964,1923,3398,1054,3410,1143,1499,902,2406128,10924,446169,5092,415181,5113,19612,2097,6949,1468,3550,808,877,514,1959959,8248,1849501,9000,55272,3366,31332,4007,19327,1933,4527,1317,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2487801,2316,292650,11003,68319,5761,54487,4464,11973,2470,1184,953,477,248,198,196,224331,6953,189611,6360,25884,3532,4296,1044,3181,911,1359,636,2195151,11347,424291,6038,382474,5937,29898,2759,5099,1389,5313,995,1507,771,1770860,7513,1604071,8459,97554,4675,33879,3869,28450,2348,6906,1786,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3815901,3206,622079,17207,151896,7288,143599,7194,4956,1264,2420,1349,642,417,279,437,470183,12700,447532,12561,14019,2036,3765,1189,3379,1138,1488,765,3193822,17335,555053,7408,535273,7360,11688,1667,6015,1279,1857,627,220,174,2638769,12880,2536676,12918,46008,3544,34730,3349,16612,2099,4743,1397,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,3868567,3680,699660,21433,204665,11415,196235,10914,3978,1154,1823,749,1749,961,880,1335,494995,13815,450354,13112,13925,2000,23959,2652,5264,1556,1493,874,3168907,21152,572531,10530,541002,11122,15039,1973,10382,1695,4861,1308,1247,1360,2596376,14183,2354286,14760,70276,3419,139575,6256,26903,3070,5336,2198,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1216584,1242,149294,8177,31830,3104,28110,2896,291,243,1323,1018,178,211,1928,1352,117464,6071,104016,5409,1757,540,8238,1272,1798,839,1655,917,1067290,8190,174649,3380,165232,3444,2534,611,5555,1231,748,380,580,405,892641,6063,825871,6649,7097,1023,53720,3662,3338,1008,2615,1389,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,5112356,2699,388783,14758,89989,7387,78366,7243,6458,1571,2928,1321,1217,630,1020,734,298794,10408,246103,8353,20549,3133,15835,2529,10355,2482,5952,1693,4723573,14893,883914,8050,761242,9196,59904,4009,27612,3356,22851,2463,12305,2791,3839659,10629,3261323,14700,205583,7128,174683,9847,138256,6055,59814,5498,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
