C17017_009M,C17017_010E,C17017_010M,C17017_011E,C17017_011M,C17017_012E,C17017_012M,C17017_013E,C17017_013M,C17017_014E,C17017_014M,C17017_015E,C17017_015M,C17017_016E,C17017_016M,C17017_017E,C17017_017M,C17017_018E,C17017_018M,C17017_019E,C17017_019M,GEO_ID,C17017_001E,C17017_001M,C17017_002E,C17017_002M,C17017_003E,C17017_003M,C17017_004E,C17017_004M,C17017_005E,C17017_005M,C17017_006E,C17017_006M,C17017_007E,C17017_007M,C17017_008E,C17017_008M,C17017_009E,C17017_009MA,C17017_010EA,C17017_010MA,C17017_011EA,C17017_011MA,C17017_012MA,C17017_012EA,C17017_013MA,C17017_013EA,C17017_014EA,C17017_014MA,C17017_015MA,C17017_015EA,C17017_016EA,C17017_016MA,C17017_017EA,C17017_017MA,C17017_018MA,C17017_018EA,C17017_019EA,C17017_019MA,NAME,C17017_001EA,C17017_001MA,C17017_002MA,C17017_002EA,C17017_003EA,C17017_003MA,C17017_004EA,C17017_004MA,C17017_005EA,C17017_005MA,C17017_006EA,C17017_006MA,C17017_007MA,C17017_007EA,C17017_008EA,C17017_008MA,C17017_009EA,state
3986,95444,4794,1487998,11726,1068890,11900,840721,11014,228169,7381,62735,4137,165434,5957,419108,8973,195385,6171,223723,6864,0400000US01,1796058,10547,308060,9522,153968,6153,47888,3128,106080,5137,12032,2086,94048,4885,154092,7063,58648,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
899,3531,869,208694,3445,145047,3941,113020,3529,32027,2440,10967,1304,21060,2155,63647,3669,36024,2660,27623,2248,0400000US02,229878,2779,21184,2104,12892,1711,4309,864,8583,1667,1581,520,7002,1605,8292,1261,4761,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
3837,69301,4503,1952828,11946,1327890,11552,1038933,11051,288957,7380,101444,4667,187513,6137,624938,10506,314541,8192,310397,7224,0400000US04,2224992,11475,272164,8396,148379,6609,65875,4341,82504,4471,13633,1977,68871,4418,123785,5657,54484,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
3009,55306,3470,913400,7843,659201,9520,532170,8393,127031,5447,39473,3476,87558,4328,254199,6952,115404,4265,138795,5315,0400000US05,1103428,7576,190028,6808,98994,5334,35059,2914,63935,4413,9348,1651,54587,4208,91034,4649,35728,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
8043,339583,10009,10757258,27109,7495071,27100,5697694,26800,1797377,19504,616902,13764,1180475,13628,3262187,24950,1583104,18530,1679083,17624,0400000US06,12151227,18090,1393969,19334,808722,15542,354007,9617,454715,11295,81530,5386,373185,9741,585247,12986,245664,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
3582,62552,4025,1636007,8720,1095371,10184,893795,11607,201576,6652,70333,4269,131243,5243,540636,9380,270027,7019,270609,5751,0400000US08,1846988,9333,210981,7162,100852,5718,40353,3230,60499,4498,10096,1962,50403,3914,110129,5762,47577,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
2741,38851,2597,1211432,7123,841970,8324,665808,7636,176162,5527,49082,3648,127080,5207,369462,8306,167964,5537,201498,5850,0400000US09,1325443,5814,114011,4832,52378,3369,14848,1731,37530,2746,4106,938,33424,2619,61633,3929,22782,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
1288,9945,1723,287711,4158,197311,4638,152854,4240,44457,3088,13472,1884,30985,2492,90400,3992,42385,2416,48015,3074,0400000US10,320110,3955,32399,3026,16254,2392,4355,1108,11899,2094,1737,894,10162,1883,16145,2265,6200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
1677,14485,1803,207957,4051,91069,3784,52688,3527,38381,2511,8335,1429,30046,2249,116888,4597,53802,3416,63086,3026,0400000US11,250456,3518,42499,3603,17690,2103,3183,1018,14507,1841,1066,499,13441,1743,24809,2652,10324,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
7334,273700,8892,6241778,22544,4215868,21877,3293558,19523,922310,15734,278739,8719,643571,12902,2025910,19566,982480,15564,1043430,12804,0400000US12,7106042,22495,864264,14597,417106,11793,158569,6618,258537,9427,40871,3866,217666,8310,447158,11332,173458,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
4308,136823,4652,2903672,15470,2042247,16550,1561800,17647,480447,11130,140115,5580,340332,8360,861425,14458,422564,12713,438861,10020,0400000US13,3376763,13781,473091,11405,254447,8999,77579,5080,176868,7016,24868,2993,152000,6255,218644,6181,81821,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
1318,14811,1933,388840,5255,279726,5264,214132,4338,65594,3376,22678,2130,42916,2891,109114,4819,54338,3776,54776,3362,0400000US15,432632,4384,43792,3390,21376,2564,8593,1588,12783,1967,1588,644,11195,1834,22416,2189,7605,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
1857,19735,2104,479780,4792,347084,5517,295696,5972,51388,3713,17674,1916,33714,3100,132696,4602,68797,4228,63899,3376,0400000US16,548555,3560,68775,3727,35602,2629,18299,2010,17303,1875,3887,1059,13416,1742,33173,2650,13438,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
4399,161569,5389,4168216,15390,2860610,18614,2263392,16515,597218,13032,176406,6155,420812,10658,1307606,13979,620602,10863,687004,11187,0400000US17,4724252,12168,556036,10250,285732,8528,92059,5082,193673,6502,27116,2645,166557,5649,270304,6786,108735,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
3949,88593,4178,2141870,12552,1496321,12215,1202048,11005,294273,8588,96840,6228,197433,6555,645549,10988,316302,8593,329247,7096,0400000US18,2435274,11216,293404,8389,148710,6770,46577,3366,102133,6312,15712,1975,86421,5756,144694,6432,56101,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
2605,44532,3056,1072694,7669,738786,7218,621438,7583,117348,4319,38951,2643,78397,3809,333908,6088,156980,4258,176928,4014,0400000US19,1208765,6039,136071,5119,58184,3653,19896,2154,38288,3104,6116,1085,32172,2844,77887,3651,33355,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
2745,42856,2491,954566,7022,662224,8195,548976,7458,113248,4750,36368,2695,76880,3582,292342,7138,142689,5724,149653,4390,0400000US20,1088288,6040,133722,4469,62329,3366,22713,2277,39616,2585,4622,954,34994,2924,71393,3782,28537,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
3442,85926,4318,1364961,10959,961876,11068,772589,11194,189287,6054,55488,3433,133799,5154,403085,9473,192689,6094,210396,6675,0400000US21,1651911,8409,286950,8134,144528,5686,59915,3679,84613,5107,12872,1909,71741,4537,142422,5248,56496,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
