GEO_ID,B23004_001E,B23004_001M,B23004_002E,B23004_002M,B23004_003E,B23004_003M,B23004_004E,B23004_004M,B23004_005E,B23004_005M,B23004_006E,B23004_006M,B23004_007E,B23004_007M,B23004_008E,B23004_008M,B23004_009E,B23004_009M,B23004_010E,B23004_010M,B23004_011E,B23004_011M,B23004_012E,B23004_012M,B23004_013E,B23004_013M,B23004_014E,B23004_014M,B23004_015E,B23004_015M,B23004_016E,B23004_016M,B23004_017E,B23004_017M,B23004_018E,B23004_018M,B23004_019E,B23004_019M,NAME,B23004_001MA,B23004_001EA,B23004_002EA,B23004_002MA,B23004_003EA,B23004_003MA,B23004_004EA,B23004_004MA,B23004_005EA,B23004_005MA,B23004_006MA,B23004_006EA,B23004_007MA,B23004_007EA,B23004_008EA,B23004_008MA,B23004_009EA,B23004_009MA,B23004_010EA,B23004_010MA,B23004_011MA,B23004_011EA,B23004_012MA,B23004_012EA,B23004_013EA,B23004_013MA,B23004_014EA,B23004_014MA,B23004_015EA,B23004_015MA,B23004_016MA,B23004_016EA,B23004_017MA,B23004_017EA,B23004_018EA,B23004_018MA,B23004_019EA,B23004_019MA,state
0400000US01,610371,2183,96343,4477,79473,3701,66152,3214,64309,3194,1843,579,13321,1704,16870,1843,13168,1628,12990,1600,178,157,3702,746,514028,4669,246386,4244,917,445,245469,4302,267642,2999,393,268,267249,2977,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,44035,987,10065,1185,8205,1044,6406,934,6241,941,165,127,1799,498,1860,500,1429,479,1357,485,72,90,431,235,33970,1558,17912,1158,70,74,17842,1168,16058,1047,0,235,16058,1047,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,789751,1291,121824,4764,97696,3947,77387,3558,76013,3544,1374,478,20309,1833,24128,2613,17857,2134,17588,2112,269,194,6271,1223,667927,5014,307338,4378,1008,335,306330,4319,360589,3242,222,202,360367,3202,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,388860,1797,65125,3073,53565,2720,44162,2271,43215,2263,947,387,9403,1182,11560,1319,8860,1150,8625,1139,235,201,2700,762,323735,3020,149587,2806,760,397,148827,2788,174148,1746,61,116,174087,1755,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3927830,3373,671624,12022,544476,9709,459868,9015,446400,9175,13468,1583,84608,4450,127148,4676,97061,3968,94823,3931,2238,626,30087,2214,3256206,12708,1458461,10291,7817,1519,1450644,10222,1797745,5223,2117,632,1795628,5157,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,476885,1893,99478,3594,82552,2946,66904,2784,65766,2763,1138,510,15648,1398,16926,1717,12377,1627,12377,1627,0,271,4549,798,377407,4009,174190,3500,621,343,173569,3509,203217,2327,169,148,203048,2344,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,470465,1346,94778,3419,75921,3079,64735,2795,63441,2800,1294,436,11186,1348,18857,1819,15416,1636,15169,1604,247,184,3441,682,375687,3605,149951,3396,1416,427,148535,3442,225736,2175,378,251,225358,2225,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,114554,674,19683,1797,15907,1518,12432,1370,11814,1322,618,286,3475,823,3776,1004,2974,966,2933,963,41,70,802,271,94871,1881,44716,1581,197,176,44519,1588,50155,1232,46,76,50109,1227,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,71455,454,15946,1505,12893,1230,11486,1149,11433,1140,53,88,1407,516,3053,738,2780,762,2780,762,0,292,273,195,55509,1571,23445,1363,203,205,23242,1400,32064,955,64,107,32000,963,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3034117,3207,474975,9264,375611,8540,307418,8294,298939,8090,8479,1559,68193,3229,99364,4787,76798,4425,75237,4330,1561,502,22566,1835,2559142,9714,1076397,9034,6018,1115,1070379,8966,1482745,5204,1626,565,1481119,5177,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
