GEO_ID,B12002G_001E,B12002G_001M,B12002G_002E,B12002G_002M,B12002G_003E,B12002G_003M,B12002G_004E,B12002G_004M,B12002G_005E,B12002G_005M,B12002G_006E,B12002G_006M,B12002G_007E,B12002G_007M,B12002G_008E,B12002G_008M,B12002G_009E,B12002G_009M,B12002G_010E,B12002G_010M,B12002G_011E,B12002G_011M,B12002G_012E,B12002G_012M,B12002G_013E,B12002G_013M,NAME,B12002G_001EA,B12002G_001MA,B12002G_002EA,B12002G_002MA,B12002G_003MA,B12002G_003EA,B12002G_004EA,B12002G_004MA,B12002G_005MA,B12002G_005EA,B12002G_006MA,B12002G_006EA,B12002G_007EA,B12002G_007MA,B12002G_008EA,B12002G_008MA,B12002G_009MA,B12002G_009EA,B12002G_010MA,B12002G_010EA,B12002G_011MA,B12002G_011EA,B12002G_012EA,B12002G_012MA,B12002G_013EA,B12002G_013MA,state
0400000US01,30569,2635,13262,1586,4289,829,6116,1055,188,179,199,161,2470,716,17307,1864,5425,1000,7234,1172,560,378,1737,511,2351,694,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,30603,3178,15748,1982,9026,1514,5111,1057,0,235,159,156,1452,566,14855,1804,7117,1406,4526,994,437,328,627,456,2148,777,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,81569,5175,40317,3142,19005,2476,15959,1963,786,414,721,361,3846,1198,41252,3681,17802,2209,15105,1931,1163,579,1476,549,5706,1293,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,24889,2715,12569,1727,3710,1065,5462,1112,274,223,281,178,2842,867,12320,1690,2831,776,5771,1222,201,182,1641,509,1876,568,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,712594,15989,349056,10886,190350,8010,113476,5214,9377,2019,5692,1214,30161,3178,363538,9299,173414,6774,123366,5800,9795,1437,17522,2069,39441,3121,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,68474,4784,33194,3059,16509,2308,11576,1712,363,273,488,367,4258,919,35280,3127,15942,2339,12282,1508,1029,447,1626,479,4401,1105,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,36078,3884,16774,2489,8251,1585,6241,1423,160,199,355,241,1767,633,19304,2244,8973,1338,6335,1191,625,434,854,475,2517,815,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6033,1243,1954,668,862,417,914,411,0,261,85,102,93,123,4079,958,1666,647,1433,482,93,109,314,268,573,299,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,6412,1613,2506,974,1542,639,802,516,70,118,50,81,42,72,3906,1053,2257,746,914,432,296,303,166,164,273,235,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,196758,9087,100229,5848,40495,4286,45376,3378,2532,788,1323,592,10503,1801,96529,5422,31454,2782,40965,3260,2864,945,7625,1353,13621,1930,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
