GEO_ID,B19001_001E,B19001_001M,B19001_002E,B19001_002M,B19001_003E,B19001_003M,B19001_004E,B19001_004M,B19001_005E,B19001_005M,B19001_006E,B19001_006M,B19001_007E,B19001_007M,B19001_008E,B19001_008M,B19001_009E,B19001_009M,B19001_010E,B19001_010M,B19001_011E,B19001_011M,B19001_012E,B19001_012M,B19001_013E,B19001_013M,B19001_014E,B19001_014M,B19001_015E,B19001_015M,B19001_016E,B19001_016M,B19001_017E,B19001_017M,NAME,B19001_001EA,B19001_001MA,B19001_002EA,B19001_002MA,B19001_003EA,B19001_003MA,B19001_004MA,B19001_004EA,B19001_005MA,B19001_005EA,B19001_006EA,B19001_006MA,B19001_007EA,B19001_007MA,B19001_008EA,B19001_008MA,B19001_009MA,B19001_009EA,B19001_010MA,B19001_010EA,B19001_011MA,B19001_011EA,B19001_012EA,B19001_012MA,B19001_013EA,B19001_013MA,B19001_014MA,B19001_014EA,B19001_015MA,B19001_015EA,B19001_016MA,B19001_016EA,B19001_017EA,B19001_017MA,state
0400000US01,1796058,10547,214471,8004,136134,5090,128229,5829,123505,4899,112295,4942,109806,5351,94035,4785,89554,4874,79726,3648,144276,5053,172800,6148,177151,6444,94671,4830,44473,3227,38257,2631,36675,2733,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,229878,2779,10857,1359,12156,1723,9335,1442,10056,1439,10574,1217,10394,1587,11189,1281,12131,1593,9747,1545,19725,1811,26900,2211,34928,2426,19601,1956,13207,1561,11942,1368,7136,1001,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2224992,11475,157970,6649,119346,5838,120557,5561,141566,6188,124707,5523,138454,6410,132073,6370,122478,5444,106917,5045,191687,6740,238774,7189,254497,7645,156422,5432,78364,3561,75164,4328,66016,3680,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1103428,7576,123334,5625,87520,4520,87067,4378,81959,5160,77503,4441,71052,3384,63315,3388,62288,3766,54711,3062,93643,4318,98903,4036,100180,4745,43346,2763,24239,2308,18148,2026,16220,1591,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12151227,18090,725384,13327,635741,13013,601854,12958,626004,10625,572109,13403,601231,10771,564086,12698,554908,11588,511439,9704,951527,14302,1271484,15277,1540744,16791,1071998,15110,624675,14082,649855,11116,648188,10594,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1846988,9333,126996,5116,91361,5569,84744,5242,104865,4594,92812,5538,106003,5672,94450,5585,98844,5649,82569,4770,153436,5949,198541,6196,236793,7383,150165,5668,78332,3754,77150,3709,69927,3273,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1325443,5814,75192,3815,58495,3816,52046,3669,58524,3735,54285,3479,59895,3384,57676,3660,58309,3932,49250,3351,102354,4591,144304,5735,186681,5706,127005,4541,75589,3705,76751,3762,89087,3567,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,320110,3955,19502,2389,14270,1556,16095,1971,18289,1787,15806,1957,15778,2103,19072,2069,15719,2079,16224,2043,28371,2736,35268,3058,42746,2986,25937,2102,15461,2254,11434,1430,10138,1290,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,250456,3518,32514,3303,11341,1635,11029,1903,12023,1909,9673,1782,12079,1388,11123,1471,11085,1616,9383,1706,18550,1713,21001,2282,26368,2398,18584,1976,10748,1534,14437,1847,20518,2022,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7106042,22495,543202,12079,423588,9471,429752,11067,452816,11257,441899,9965,437182,11949,400251,10457,386057,11271,342090,10583,623051,11980,737238,13382,776410,14189,454378,10655,225905,7728,204551,7386,227672,6377,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
