GEO_ID,B25098_001E,B25098_001M,B25098_002E,B25098_002M,B25098_003E,B25098_003M,B25098_004E,B25098_004M,B25098_005E,B25098_005M,B25098_006E,B25098_006M,B25098_007E,B25098_007M,B25098_008E,B25098_008M,B25098_009E,B25098_009M,B25098_010E,B25098_010M,B25098_011E,B25098_011M,B25098_012E,B25098_012M,B25098_013E,B25098_013M,B25098_014E,B25098_014M,B25098_015E,B25098_015M,B25098_016E,B25098_016M,B25098_017E,B25098_017M,B25098_018E,B25098_018M,B25098_019E,B25098_019M,NAME,B25098_001MA,B25098_001EA,B25098_002MA,B25098_002EA,B25098_003EA,B25098_003MA,B25098_004MA,B25098_004EA,B25098_005MA,B25098_005EA,B25098_006MA,B25098_006EA,B25098_007MA,B25098_007EA,B25098_008EA,B25098_008MA,B25098_009EA,B25098_009MA,B25098_010EA,B25098_010MA,B25098_011MA,B25098_011EA,B25098_012MA,B25098_012EA,B25098_013EA,B25098_013MA,B25098_014EA,B25098_014MA,B25098_015EA,B25098_015MA,B25098_016MA,B25098_016EA,B25098_017MA,B25098_017EA,B25098_018MA,B25098_018EA,B25098_019EA,B25098_019MA,state
0400000US01,1289272,11970,789058,11033,30905,3056,86799,3938,79586,3870,119055,5035,185633,6387,124882,5822,106931,4158,55267,2746,500214,8788,63201,3895,137942,5386,72557,4111,77066,3297,76240,4325,34014,2243,23133,2112,16061,1624,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,148249,3302,102554,3334,2146,626,6514,1135,4664,890,9866,1197,22262,1904,20907,1971,22693,1858,13502,1507,45695,2226,2927,779,7053,952,5257,857,7105,1192,8658,981,5925,950,5319,869,3451,752,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1523041,12956,1084174,13330,26505,2602,87392,4586,89561,5035,162665,6016,248116,7203,181306,5746,178270,5730,110359,5434,438867,6668,39137,3073,109139,4803,63691,3882,74723,3374,69878,3311,32293,2176,28274,2452,21732,1755,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,753412,8763,439018,9299,15777,2111,49153,3410,47208,3142,77347,4354,107498,4727,69837,3996,48217,2785,23981,1974,314394,6698,31722,2419,92927,3976,48514,2937,52410,2788,47681,3158,18950,1883,14161,1728,8029,1222,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7102197,26399,5431478,25319,103611,5074,304756,8613,300146,7448,563793,10763,1047813,14907,926149,14876,1184607,14984,1000603,14522,1670719,15863,108438,4801,356017,9043,211073,5179,250666,6923,281662,7509,166099,4931,162240,4975,134524,5003,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1269421,10162,980544,9125,19859,2252,63044,3298,69115,4236,127601,5345,215767,6729,177277,6876,187467,5401,120414,4410,288877,5949,21848,1907,63459,3284,34611,2266,49424,3497,49467,2784,28089,2139,22065,1824,19914,1884,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,921382,7687,665431,8070,8717,1200,26599,2410,29610,2197,62356,3283,133382,5006,126363,4794,152803,5995,125601,4450,255951,5671,9964,1403,44606,2467,31417,2328,37547,2449,45084,2498,30330,2427,29323,2150,27680,1907,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,238194,3604,158699,3796,2191,665,9559,1592,10692,1651,21203,2267,37262,2761,28908,2528,32408,2747,16476,1712,79495,3215,4746,1143,18409,1938,12636,1368,14107,1473,12956,1237,6796,1033,5939,964,3906,752,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,114586,3453,87339,3430,3103,908,4371,964,4364,1091,7566,1395,12856,1515,13760,1617,16051,2063,25268,2043,27247,2073,1927,643,4466,964,2164,662,4171,950,4327,1001,2442,803,3997,894,3753,931,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4994101,23446,3283171,21249,97550,4489,316167,8123,300835,8407,494101,11390,758759,14224,518589,9793,489311,10850,307859,9526,1710930,16837,152060,7177,426687,8901,239968,7137,271792,7860,278324,7901,130704,5763,115136,4658,96259,3959,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2285179,17167,1656735,15936,47799,3494,128042,5655,134026,6044,232229,8479,384003,9174,283908,8455,272670,8047,174058,5664,628444,9440,61783,4014,155522,5044,85046,4345,95547,4719,105628,5072,50082,2978,43885,3042,30951,2703,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,257599,4950,176714,5060,2646,838,8958,1406,7140,1247,19297,2192,34434,2786,32461,2665,43349,3241,28429,2392,80885,3025,5683,1230,12887,1395,8277,1170,10778,1260,14597,1495,10471,1298,9531,1157,8661,1120,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,390982,4444,274449,4960,6332,937,26086,2494,30203,2390,47590,2891,74910,3426,42378,3096,32577,2411,14373,1713,116533,3352,9918,1406,30554,2025,17578,1461,18406,1900,19814,1873,8724,1385,7034,1088,4505,887,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3301367,17286,2297517,15198,46276,3641,141443,5495,149828,6051,296718,7431,538085,9900,411255,8976,431177,8696,282735,7744,1003850,12741,63654,2760,222859,5789,130492,4590,158027,4747,178291,5542,97861,4611,85657,3418,67009,3421,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1756328,13334,1237171,11421,26829,2479,96273,4587,112068,4133,195252,6917,336172,8200,223927,6740,169728,5054,76922,3803,519157,8753,37376,2330,135026,4935,80156,3877,89847,3542,86407,3473,42586,2604,29511,2650,18248,1739,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,885969,8474,561392,7808,9525,1254,40509,2716,52104,2978,94095,3971,156960,4716,100178,4006,76394,3044,31627,2227,324577,5097,20713,2062,81017,2973,49973,2361,60343,2664,56725,2823,26640,1767,17349,1745,11817,1292,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,761022,7416,495047,7294,8316,1126,37163,2267,42256,3076,74591,3651,126510,4366,89688,3868,76943,3308,39580,2755,265975,5350,20288,1719,65334,3254,39127,2663,45017,2333,45477,2212,24660,2115,16333,1632,9739,1211,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
