GEO_ID,B19001G_001E,B19001G_001M,B19001G_002E,B19001G_002M,B19001G_003E,B19001G_003M,B19001G_004E,B19001G_004M,B19001G_005E,B19001G_005M,B19001G_006E,B19001G_006M,B19001G_007E,B19001G_007M,B19001G_008E,B19001G_008M,B19001G_009E,B19001G_009M,B19001G_010E,B19001G_010M,B19001G_011E,B19001G_011M,B19001G_012E,B19001G_012M,B19001G_013E,B19001G_013M,B19001G_014E,B19001G_014M,B19001G_015E,B19001G_015M,B19001G_016E,B19001G_016M,B19001G_017E,B19001G_017M,NAME,B19001G_001MA,B19001G_001EA,B19001G_002EA,B19001G_002MA,B19001G_003EA,B19001G_003MA,B19001G_004EA,B19001G_004MA,B19001G_005MA,B19001G_005EA,B19001G_006MA,B19001G_006EA,B19001G_007MA,B19001G_007EA,B19001G_008EA,B19001G_008MA,B19001G_009EA,B19001G_009MA,B19001G_010MA,B19001G_010EA,B19001G_011MA,B19001G_011EA,B19001G_012MA,B19001G_012EA,B19001G_013EA,B19001G_013MA,B19001G_014EA,B19001G_014MA,B19001G_015MA,B19001G_015EA,B19001G_016MA,B19001G_016EA,B19001G_017MA,B19001G_017EA,state
0400000US01,13979,1681,2928,830,1683,587,1057,479,737,388,908,524,1045,492,737,332,395,233,461,297,635,316,990,369,1431,619,539,340,248,182,103,116,82,119,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,10696,1644,735,355,756,417,446,288,656,432,545,391,531,256,854,474,530,334,398,365,1169,537,652,360,1758,620,857,407,484,386,143,118,182,177,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,31961,2538,4415,1201,1943,720,1693,542,1021,460,1677,627,1993,739,2026,653,1917,824,1976,765,2265,763,3521,873,3298,810,1857,731,824,466,1056,539,479,367,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,12950,1404,2161,739,1418,568,1393,554,1114,644,1353,548,881,361,647,518,583,374,623,413,860,375,893,482,544,282,331,253,78,95,18,35,53,79,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,252043,6517,17400,2152,15292,1919,12091,1809,11903,1709,11014,1423,13615,1757,13395,1737,10700,1503,11811,2082,23164,2149,24985,2198,34023,2912,21116,2660,10651,1559,11724,1300,9159,1657,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,29776,2939,3323,1023,1376,659,1496,523,1872,583,1607,580,2425,1000,1437,759,1937,690,959,344,2905,906,3232,910,4055,1143,1521,630,827,363,335,297,469,344,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,14261,1937,1699,781,989,469,514,301,727,492,306,231,664,543,825,456,842,460,661,425,1223,533,1919,760,1526,653,846,357,387,268,741,442,392,269,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,3434,881,469,371,46,78,116,138,304,240,113,140,378,331,36,62,303,224,0,292,442,447,259,228,295,258,105,135,207,204,361,346,0,292,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,86789,4743,7827,1476,4761,1013,5784,1290,5472,1244,5749,1216,6403,1277,5541,1428,5505,1251,3372,949,7026,1376,8760,1391,10104,1666,5739,1177,1460,514,1447,487,1839,626,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,27705,2652,2983,694,1308,534,1621,626,1314,604,2052,795,1680,531,1941,762,2013,700,1081,575,3277,1001,3017,1124,2381,769,1309,444,915,417,255,194,558,468,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,60928,3301,4936,1064,2119,713,2233,896,3159,1009,3293,940,2656,807,3359,878,3624,1020,2954,863,5001,1105,6766,1349,7364,1412,5915,1247,3274,930,2546,697,1729,667,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,7659,1029,768,392,1094,539,455,362,404,228,659,428,827,434,419,282,303,218,475,295,664,358,440,254,790,428,284,205,0,253,0,253,77,128,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
