GEO_ID,B18020C_001E,B18020C_001M,B18020C_002E,B18020C_002M,B18020C_003E,B18020C_003M,B18020C_004E,B18020C_004M,B18020C_005E,B18020C_005M,B18020C_006E,B18020C_006M,B18020C_007E,B18020C_007M,B18020C_008E,B18020C_008M,B18020C_009E,B18020C_009M,B18020C_010E,B18020C_010M,B18020C_011E,B18020C_011M,B18020C_012E,B18020C_012M,B18020C_013E,B18020C_013M,B18020C_014E,B18020C_014M,B18020C_015E,B18020C_015M,B18020C_016E,B18020C_016M,B18020C_017E,B18020C_017M,B18020C_018E,B18020C_018M,B18020C_019E,B18020C_019M,B18020C_020E,B18020C_020M,B18020C_021E,B18020C_021M,B18020C_022E,B18020C_022M,B18020C_023E,B18020C_023M,B18020C_024E,B18020C_024M,B18020C_025E,B18020C_025M,B18020C_026E,B18020C_026M,B18020C_027E,B18020C_027M,B18020C_028E,B18020C_028M,B18020C_029E,B18020C_029M,B18020C_030E,B18020C_030M,B18020C_031E,B18020C_031M,NAME,B18020C_001EA,B18020C_001MA,B18020C_002EA,B18020C_002MA,B18020C_003EA,B18020C_003MA,B18020C_004MA,B18020C_004EA,B18020C_005MA,B18020C_005EA,B18020C_006MA,B18020C_006EA,B18020C_007EA,B18020C_007MA,B18020C_008EA,B18020C_008MA,B18020C_009MA,B18020C_009EA,B18020C_010MA,B18020C_010EA,B18020C_011MA,B18020C_011EA,B18020C_012EA,B18020C_012MA,B18020C_013EA,B18020C_013MA,B18020C_014MA,B18020C_014EA,B18020C_015MA,B18020C_015EA,B18020C_016MA,B18020C_016EA,B18020C_017EA,B18020C_017MA,B18020C_018EA,B18020C_018MA,B18020C_019MA,B18020C_019EA,B18020C_020MA,B18020C_020EA,B18020C_021MA,B18020C_021EA,B18020C_022EA,B18020C_022MA,B18020C_023EA,B18020C_023MA,B18020C_024EA,B18020C_024MA,B18020C_025EA,B18020C_025MA,B18020C_026EA,B18020C_026MA,B18020C_027MA,B18020C_027EA,B18020C_028MA,B18020C_028EA,B18020C_029EA,B18020C_029MA,B18020C_030EA,B18020C_030MA,B18020C_031EA,B18020C_031MA,state
0400000US01,14344,1607,3931,873,1642,606,136,132,24,41,112,123,1506,582,593,307,913,465,2289,599,461,328,194,180,267,270,1828,458,413,297,1415,489,10413,1297,5069,903,2107,623,1511,529,596,267,2962,622,2787,617,175,165,5344,983,2358,663,1132,499,1226,532,2986,665,2362,626,624,341,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,56733,2114,10163,1309,5447,925,1448,562,527,327,921,491,3999,755,1232,328,2767,643,4716,833,1165,498,232,201,933,488,3551,754,1198,471,2353,663,46570,1957,21843,1460,10605,901,4501,716,6104,974,11238,1092,6793,798,4445,848,24727,1748,12049,1265,5475,672,6574,1237,12678,944,8436,852,4242,719,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,170818,4473,22350,2200,10682,1404,2742,856,546,455,2196,766,7940,1180,3377,871,4563,870,11668,1649,2042,784,834,401,1208,669,9626,1336,1858,660,7768,1272,148468,4125,69323,2747,38835,2396,19508,2285,19327,2088,30488,1944,21331,1887,9157,1435,79145,2780,42472,2050,17793,1934,24679,2269,36673,1856,23477,1895,13196,1749,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,15118,1434,4836,1004,2612,732,838,377,290,189,548,315,1774,645,362,312,1412,610,2224,704,488,285,84,107,404,249,1736,612,382,226,1354,588,10282,1359,4928,910,2819,705,2369,720,450,245,2109,657,1852,640,257,188,5354,891,3278,885,1849,653,1429,757,2076,469,1568,437,508,266,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,182460,7005,39002,3437,17908,2393,5040,1545,2310,908,2730,1217,12868,1748,3963,946,8905,1392,21094,2280,4305,1198,1422,710,2883,868,16789,2035,4252,968,12537,1876,143458,6260,71709,4415,32650,3035,22362,2806,10288,1918,39059,3121,30939,2690,8120,1425,71749,3598,34020,2787,16931,2028,17089,2135,37729,2561,27049,2199,10680,1523,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,29337,2750,6516,1294,3639,948,910,507,417,398,493,302,2729,762,659,340,2070,768,2877,819,533,396,384,372,149,130,2344,674,870,376,1474,549,22821,2317,11684,1610,6156,1376,4129,1098,2027,689,5528,1140,4639,1077,889,421,11137,1391,4661,938,2735,745,1926,662,6476,1291,5070,1213,1406,562,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,40654,4112,11226,2250,5589,1457,1251,645,598,497,653,456,4338,1314,1597,660,2741,1077,5637,1387,727,365,62,101,665,357,4910,1332,1115,579,3795,1138,29428,3276,14316,2472,5193,1308,3564,1002,1629,717,9123,1939,7709,1710,1414,784,15112,2026,7283,1337,4146,1072,3137,952,7829,1340,5676,1235,2153,674,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
