GEO_ID,B25081_001E,B25081_001M,B25081_002E,B25081_002M,B25081_003E,B25081_003M,B25081_004E,B25081_004M,B25081_005E,B25081_005M,B25081_006E,B25081_006M,B25081_007E,B25081_007M,B25081_008E,B25081_008M,NAME,B25081_001EA,B25081_001MA,B25081_002MA,B25081_002EA,B25081_003MA,B25081_003EA,B25081_004MA,B25081_004EA,B25081_005EA,B25081_005MA,B25081_006EA,B25081_006MA,B25081_007EA,B25081_007MA,B25081_008MA,B25081_008EA,state
0400000US01,1289272,11970,789058,11033,160157,5075,40327,2492,119830,4461,8127,1304,620774,10205,500214,8788,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,148249,3302,102554,3334,20488,1733,5618,995,14870,1782,665,416,81401,2969,45695,2226,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1523041,12956,1084174,13330,283897,6892,71751,4081,212146,5973,11513,2032,788764,11981,438867,6668,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,753412,8763,439018,9299,54666,3168,21023,2256,33643,2409,1921,671,382431,9135,314394,6698,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7102197,26399,5431478,25319,1653436,17719,408417,10067,1245019,14361,111248,5834,3666794,23923,1670719,15863,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1269421,10162,980544,9125,324867,7156,119711,4396,205156,6016,15501,1851,640176,8924,288877,5949,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,921382,7687,665431,8070,202114,6855,34943,2503,167171,6437,6909,1489,456408,8099,255951,5671,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,238194,3604,158699,3796,44849,2883,9167,1261,35682,2545,1298,525,112552,4059,79495,3215,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,114586,3453,87339,3430,23386,1869,4849,889,18537,1767,1762,634,62191,3114,27247,2073,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4994101,23446,3283171,21249,818924,14156,182027,6631,636897,12930,37530,3011,2426717,19664,1710930,16837,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2285179,17167,1656735,15936,415302,9065,123860,5715,291442,7117,15224,2384,1226209,13509,628444,9440,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,257599,4950,176714,5060,48292,2937,11084,1542,37208,2725,2497,779,125925,4725,80885,3025,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,390982,4444,274449,4960,75341,3398,24065,2168,51276,2786,2992,917,196116,4288,116533,3352,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3301367,17286,2297517,15198,573433,9627,111317,5479,462116,8351,20913,2224,1703171,15804,1003850,12741,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1756328,13334,1237171,11421,312440,8059,75440,4202,237000,6767,10279,1410,914452,11469,519157,8753,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,885969,8474,561392,7808,131140,4452,38204,2653,92936,3756,4891,1050,425361,7506,324577,5097,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,761022,7416,495047,7294,103597,3770,32313,2408,71284,2945,5409,1196,386041,7468,265975,5350,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1167081,10490,727606,8390,177484,5472,40037,2593,137447,4394,5656,1221,544466,8041,439475,6964,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1071667,10774,603964,9975,98882,4716,30418,2556,68464,3702,3840,1002,501242,10253,467703,8460,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,399076,5723,259926,5287,67471,3137,10856,1360,56615,2806,2221,655,190234,4780,139150,4037,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1450411,12170,1116382,12573,328941,7721,73061,3981,255880,6737,14697,2219,772744,13152,334029,6141,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1588359,10560,1144780,10855,347627,8092,53100,3287,294527,7049,13654,1709,783499,9944,443579,6770,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2908273,13927,2008547,14038,566840,9350,98502,4608,468338,8194,17436,1892,1424271,12416,899726,9380,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1558206,8771,1118573,9743,342705,6514,84553,3583,258152,5479,15797,1504,760071,9389,439633,5793,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,760318,9031,433951,8347,59993,3331,19945,2089,40048,3135,2468,718,371490,8055,326367,6633,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1628838,12691,1087651,10809,225578,6093,62582,3353,162996,5311,9490,1594,852583,10711,541187,8301,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,260137,4603,155331,4086,33516,2120,9563,1077,23953,1855,1555,503,120260,3941,104806,3756,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,475899,6003,308112,5675,74926,3229,23711,1773,51215,2746,3041,748,230145,5753,167787,4212,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,580705,7586,453471,7044,125414,5641,44179,3521,81235,3994,4866,1100,323191,6637,127234,4547,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,363652,5321,258769,4866,73550,3313,11878,1496,61672,3197,2741,825,182478,4626,104883,3834,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,2110308,15499,1504931,13704,427005,8266,62087,3510,364918,7685,20049,2114,1057877,11631,605377,8574,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,505915,5858,314458,6199,54485,3502,18127,1984,36358,2766,3360,959,256613,6142,191457,5265,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,3940942,17812,2583675,16271,600346,10236,82613,4005,517733,9879,23196,2111,1960133,17181,1357267,13841,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,2350798,17193,1590612,17071,445914,9873,89075,5017,356839,7975,17888,2093,1126810,12817,760186,10210,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,181666,3052,99022,3045,17686,1630,6030,865,11656,1446,558,295,80778,3067,82644,2599,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,3150239,16219,2164919,15701,637384,10057,137619,6136,499765,8559,22565,2010,1504970,14887,985320,11901,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,950407,8873,570396,8414,89779,3931,37663,2986,52116,2672,3760,984,476857,8295,380011,6807,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,939123,9326,665086,8771,197004,6848,64478,4393,132526,5354,9134,1418,458948,7868,274037,6518,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,3475105,13987,2179484,14721,589514,8550,110044,4825,479470,7522,23745,2138,1566225,14609,1295621,12661,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,255495,5187,180009,5326,53011,3032,8845,1429,44166,2867,1572,548,125426,5003,75486,2793,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,1165464,11139,756519,10922,165166,5016,42234,3517,122932,4423,5512,1143,585841,11684,408945,7227,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,216212,3987,126239,3991,27964,2316,8129,1356,19835,1981,967,562,97308,3603,89973,3285,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,1660152,13597,1053410,12356,213303,6765,64911,3304,148392,5808,7715,1491,832392,12575,606742,8931,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,5291045,25916,3368890,22263,369986,8085,173269,5416,196717,6162,11508,1740,2987396,21568,1922155,15913,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,585929,6614,435186,6524,139354,4413,52966,3014,86388,3532,4135,792,291697,6011,150743,3826,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,182389,3488,123706,3280,30672,1951,4625,774,26047,2029,545,280,92489,3408,58683,2280,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,2030284,16101,1483836,14119,449327,9234,102333,4584,346994,7679,19689,2194,1014820,11759,546448,9160,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,1620052,11516,1193804,11749,359911,8532,106528,5519,253383,7198,17059,2151,816834,10981,426248,7691,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,554791,7537,273458,6514,49663,3265,9003,1323,40660,2956,1662,570,222133,6199,281333,6304,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,1571129,10169,1081631,9230,328120,6542,75325,3471,252795,5639,14483,1629,739028,9182,489498,6075,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,144117,3462,87345,3352,18870,2499,8602,1644,10268,1471,596,377,67879,3757,56772,2878,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,919418,7934,362646,6916,19608,1923,14715,1629,4893,872,1640,548,341398,6546,556772,7040,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
