GEO_ID,B21003_001E,B21003_001M,B21003_002E,B21003_002M,B21003_003E,B21003_003M,B21003_004E,B21003_004M,B21003_005E,B21003_005M,B21003_006E,B21003_006M,B21003_007E,B21003_007M,B21003_008E,B21003_008M,B21003_009E,B21003_009M,B21003_010E,B21003_010M,B21003_011E,B21003_011M,NAME,B21003_001EA,B21003_001MA,B21003_002MA,B21003_002EA,B21003_003MA,B21003_003EA,B21003_004MA,B21003_004EA,B21003_005EA,B21003_005MA,B21003_006EA,B21003_006MA,B21003_007MA,B21003_007EA,B21003_008MA,B21003_008EA,B21003_009EA,B21003_009MA,B21003_010EA,B21003_010MA,B21003_011EA,B21003_011MA,state
0400000US01,3015366,4745,402543,8034,47740,2871,128470,5011,132714,5549,93619,4077,2612823,8866,553010,12140,856633,14332,663543,12609,539637,11341,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,408283,2520,67863,2970,5573,1331,19374,2031,26201,2277,16715,1619,340420,3693,37165,3085,98867,4449,111348,4421,93040,4714,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3942732,4184,550497,9098,44287,3157,136402,5463,215573,7688,154235,5003,3392235,9600,597384,11964,917869,19716,1028208,14906,848774,16829,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1842256,3733,252582,6146,37179,2729,86594,4107,80471,3912,48338,3008,1589674,6185,322870,7217,584324,10777,395896,8198,286584,7673,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23064312,6868,2095470,21269,158411,6295,475189,10124,818711,13508,643159,10022,20968842,22736,4446403,32895,4878819,40118,5600761,35157,6042859,34796,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3105412,4210,409406,8486,27658,2536,97352,4888,146620,5860,137776,4952,2696006,9068,345109,9321,666507,12512,757006,11581,927384,10052,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2362649,2177,256882,5697,27103,2371,83395,4051,69475,3133,76909,3476,2105767,6146,256081,6930,620605,11898,510112,9143,718969,11913,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,564393,1257,78106,2879,8430,1124,27357,2479,23984,2157,18335,1961,486287,3416,73516,4373,164336,5892,114199,5121,134236,5015,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,393187,888,37731,2801,4760,838,10332,1711,7778,1588,14861,1651,355456,2978,57193,3900,71245,4116,61588,3860,165430,4993,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,12426863,7876,1719412,18150,152598,5467,497747,11108,594687,12841,474380,8891,10707451,16352,1772719,25362,3377801,32618,2890788,27967,2666143,27118,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5936060,8549,716083,11187,68516,3999,216389,6596,240207,7521,190971,6257,5219977,14183,994346,16047,1588429,19938,1250189,17187,1387013,17595,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,842084,2299,112411,4090,7649,1094,33249,2657,37851,2632,33662,2424,729673,4514,86837,4870,217445,7092,210715,6487,214676,6721,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,915408,2456,130211,3778,11583,1148,39827,2378,48206,2841,30595,1969,785197,4822,105237,4931,236838,6530,260702,7322,182420,5619,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8317613,5172,827910,11214,84992,3707,270257,6347,273532,8013,199129,5468,7489703,12287,1160544,17755,2134067,23921,1991920,20111,2203172,19672,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
