GEO_ID,C19037A_001E,C19037A_001M,C19037A_002E,C19037A_002M,C19037A_003E,C19037A_003M,C19037A_004E,C19037A_004M,C19037A_005E,C19037A_005M,C19037A_006E,C19037A_006M,C19037A_007E,C19037A_007M,C19037A_008E,C19037A_008M,C19037A_009E,C19037A_009M,C19037A_010E,C19037A_010M,C19037A_011E,C19037A_011M,C19037A_012E,C19037A_012M,C19037A_013E,C19037A_013M,C19037A_014E,C19037A_014M,C19037A_015E,C19037A_015M,C19037A_016E,C19037A_016M,C19037A_017E,C19037A_017M,C19037A_018E,C19037A_018M,C19037A_019E,C19037A_019M,C19037A_020E,C19037A_020M,C19037A_021E,C19037A_021M,C19037A_022E,C19037A_022M,C19037A_023E,C19037A_023M,C19037A_024E,C19037A_024M,C19037A_025E,C19037A_025M,C19037A_026E,C19037A_026M,C19037A_027E,C19037A_027M,C19037A_028E,C19037A_028M,C19037A_029E,C19037A_029M,C19037A_030E,C19037A_030M,C19037A_031E,C19037A_031M,C19037A_032E,C19037A_032M,C19037A_033E,C19037A_033M,C19037A_034E,C19037A_034M,C19037A_035E,C19037A_035M,C19037A_036E,C19037A_036M,C19037A_037E,C19037A_037M,C19037A_038E,C19037A_038M,C19037A_039E,C19037A_039M,C19037A_040E,C19037A_040M,C19037A_041E,C19037A_041M,C19037A_042E,C19037A_042M,C19037A_043E,C19037A_043M,C19037A_044E,C19037A_044M,C19037A_045E,C19037A_045M,NAME,C19037A_001MA,C19037A_001EA,C19037A_002MA,C19037A_002EA,C19037A_003MA,C19037A_003EA,C19037A_004EA,C19037A_004MA,C19037A_005MA,C19037A_005EA,C19037A_006EA,C19037A_006MA,C19037A_007EA,C19037A_007MA,C19037A_008MA,C19037A_008EA,C19037A_009MA,C19037A_009EA,C19037A_010MA,C19037A_010EA,C19037A_011MA,C19037A_011EA,C19037A_012EA,C19037A_012MA,C19037A_013MA,C19037A_013EA,C19037A_014MA,C19037A_014EA,C19037A_015MA,C19037A_015EA,C19037A_016MA,C19037A_016EA,C19037A_017EA,C19037A_017MA,C19037A_018MA,C19037A_018EA,C19037A_019MA,C19037A_019EA,C19037A_020EA,C19037A_020MA,C19037A_021MA,C19037A_021EA,C19037A_022MA,C19037A_022EA,C19037A_023MA,C19037A_023EA,C19037A_024MA,C19037A_024EA,C19037A_025EA,C19037A_025MA,C19037A_026MA,C19037A_026EA,C19037A_027MA,C19037A_027EA,C19037A_028EA,C19037A_028MA,C19037A_029MA,C19037A_029EA,C19037A_030EA,C19037A_030MA,C19037A_031EA,C19037A_031MA,C19037A_032MA,C19037A_032EA,C19037A_033EA,C19037A_033MA,C19037A_034MA,C19037A_034EA,C19037A_035EA,C19037A_035MA,C19037A_036EA,C19037A_036MA,C19037A_037MA,C19037A_037EA,C19037A_038EA,C19037A_038MA,C19037A_039EA,C19037A_039MA,C19037A_040EA,C19037A_040MA,C19037A_041EA,C19037A_041MA,C19037A_042EA,C19037A_042MA,C19037A_043EA,C19037A_043MA,C19037A_044EA,C19037A_044MA,C19037A_045MA,C19037A_045EA,state
0400000US01,1300598,7693,61237,3882,15806,1877,6605,1332,11790,1832,9572,1658,7995,1419,7337,1542,1528,670,527,270,77,77,0,265,425260,6057,27271,3152,15223,1712,38244,2971,49031,3358,73159,4970,98001,4702,60966,3423,43792,3032,9644,1490,9929,1458,500653,4240,35099,2950,22194,1838,48475,2857,49651,3067,68370,3472,106001,3950,67769,3592,63272,3130,19888,1765,19934,2154,313448,3379,35760,2621,41579,2550,64065,3358,46178,2913,47194,2585,40317,2391,16283,1724,12849,1537,4638,829,4585,951,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,171704,2821,8594,1145,314,257,545,371,1322,576,1663,520,2089,619,1505,544,330,222,654,460,172,294,0,235,66635,2358,1740,719,1576,730,3847,974,6131,1183,10461,1564,16026,1727,12177,1634,9959,1374,3673,905,1045,498,77996,2138,3429,784,3349,769,3655,843,4230,789,8228,1140,15360,1582,13631,1603,15326,1427,5882,821,4906,890,18479,1030,455,227,1851,519,2353,561,2830,673,2816,651,3414,596,1678,482,1652,512,947,430,483,270,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1825775,10426,86920,5025,13721,2012,6689,1509,15534,2157,13504,1723,16077,2112,14787,2186,3984,1048,2053,701,279,252,292,253,644660,9170,31413,3348,20353,2711,61450,4591,69850,4613,109148,5891,142325,6083,87046,4273,80919,4386,23766,2686,18390,2242,659270,6413,38473,3801,23285,2553,52741,3666,56947,4108,91372,3847,132801,4943,94864,4090,98203,4529,35900,2586,34684,2503,434925,4262,32773,3087,43225,3186,78303,3792,70404,3512,74149,3188,64340,3214,30468,2121,25240,1839,8340,1419,7683,1234,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,887577,6840,46704,3085,9709,2138,3912,1220,9216,1765,7819,1506,8624,1526,5263,1213,1815,643,191,219,98,110,57,93,291092,4755,19347,1999,13120,2001,30822,2757,38159,3169,55819,3570,64871,3932,35876,2491,22715,2007,5681,1115,4682,868,330758,3650,23268,2382,19338,2078,40528,3163,38233,3183,53617,2956,66733,3259,38177,3049,32416,2470,9089,1406,9359,1301,219023,3302,25573,2081,28542,2110,50785,2639,33311,2467,31753,2060,26900,1886,11744,1594,6692,1052,1807,513,1916,528,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8048560,20064,325088,9247,44543,3672,25531,3267,54302,4155,46333,3556,57308,3677,55453,4020,22964,2486,14407,2138,2152,789,2095,849,2815519,20086,106095,6433,89382,5942,218628,8581,242121,8605,373893,9547,576305,11075,415107,9880,468775,9621,165066,5807,160147,5886,3145107,14394,136829,6021,105183,4540,211404,6687,210432,5976,345682,9150,566132,9259,451091,9198,576905,10491,253624,6617,287825,7676,1762846,10759,129538,6048,179989,6667,289711,7291,235623,5634,264655,7604,270818,6026,149266,5172,130575,4721,51702,2587,60969,3515,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1585708,8879,84988,4028,15397,1724,7195,1244,17191,2185,14234,2316,15527,2040,10839,1592,2854,1004,1327,713,56,91,368,430,604213,7100,27564,2628,19515,2815,50628,3851,59727,4233,91785,4791,130853,4609,93687,5031,86032,3824,24352,2343,20070,1993,623958,5583,31552,2377,18924,2426,39756,2461,50289,3229,81598,4058,123304,4856,91846,4491,105014,3745,40803,2696,40872,2397,272549,4067,24218,2031,27709,2391,50451,3091,38366,2646,42653,2763,41610,2358,21975,2052,15169,1590,5111,905,5287,822,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1100308,6712,27712,3026,3429,908,1051,449,3696,1115,3784,966,5944,1178,6444,1574,2428,745,849,570,87,101,0,269,356013,5469,10491,1730,6923,1326,15381,1886,24747,2393,44090,3531,76588,3646,62285,3471,67145,3408,22841,2109,25522,2161,460023,4395,19009,2038,10340,1751,19990,2137,26735,2244,43503,2543,83633,3790,76272,3625,92279,3774,40115,3131,48147,2770,256560,3473,16201,1480,27197,1888,45907,3103,35125,2305,38602,2532,37062,2423,22701,1671,18043,1606,6230,816,9492,1133,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,243361,3102,8930,1454,1353,533,716,413,864,379,986,441,1660,721,1761,688,1312,625,261,338,0,261,17,28,80713,2138,3277,1220,1610,558,5793,1363,5801,1401,11276,1714,19771,2446,14282,1720,13313,1801,2878,776,2712,762,94274,1932,3378,828,2267,632,5887,1268,8453,1399,12938,1620,19129,1588,14560,1416,16937,1695,5947,936,4778,922,59444,1321,4205,1166,5225,997,12056,1360,9058,861,11015,1227,8079,1087,4100,659,3839,792,766,302,1101,384,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,99845,2582,8058,999,2020,824,214,189,802,495,903,567,1707,701,939,483,535,262,698,405,122,148,118,180,47737,1949,1694,725,454,296,1522,481,1790,726,4944,998,10394,1307,7043,1350,8260,1136,5328,1111,6308,1172,28328,1151,1383,650,243,248,883,553,1192,501,1588,507,3115,741,3542,994,6105,1223,2856,673,7421,1010,15722,919,996,555,253,257,1276,569,1386,511,1508,522,1934,557,1680,601,2593,671,1280,467,2816,707,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5718584,21712,223736,7891,33330,3030,17428,2347,44770,3478,36786,3851,39873,3541,33228,3395,10693,1844,6270,1472,740,508,618,447,1741814,13831,70291,5102,54445,3602,139311,6635,194010,7753,303408,9289,413493,9587,248031,9104,209554,7694,55185,4318,54086,3483,2088183,12566,125819,6024,73662,4727,176787,6902,201127,6495,301520,8460,420603,9256,282406,9039,292231,8844,97708,4661,116320,4430,1664851,10052,155253,6149,178452,6323,318759,6859,245088,6799,256849,6741,243375,6397,109045,4204,89892,4208,28813,2173,39325,2447,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
