GEO_ID,C14006_001E,C14006_001M,C14006_002E,C14006_002M,C14006_003E,C14006_003M,C14006_004E,C14006_004M,C14006_005E,C14006_005M,C14006_006E,C14006_006M,C14006_007E,C14006_007M,C14006_008E,C14006_008M,C14006_009E,C14006_009M,C14006_010E,C14006_010M,C14006_011E,C14006_011M,C14006_012E,C14006_012M,C14006_013E,C14006_013M,C14006_014E,C14006_014M,C14006_015E,C14006_015M,C14006_016E,C14006_016M,C14006_017E,C14006_017M,NAME,C14006_001EA,C14006_001MA,C14006_002MA,C14006_002EA,C14006_003MA,C14006_003EA,C14006_004EA,C14006_004MA,C14006_005MA,C14006_005EA,C14006_006EA,C14006_006MA,C14006_007EA,C14006_007MA,C14006_008MA,C14006_008EA,C14006_009EA,C14006_009MA,C14006_010EA,C14006_010MA,C14006_011EA,C14006_011MA,C14006_012EA,C14006_012MA,C14006_013MA,C14006_013EA,C14006_014EA,C14006_014MA,C14006_015EA,C14006_015MA,C14006_016MA,C14006_016EA,C14006_017EA,C14006_017MA,state
0400000US01,4314923,4517,695486,19304,247707,10066,27425,2939,60725,5340,55100,3855,46130,4230,58327,4320,447779,13769,3619437,19754,884239,12171,103536,4636,182585,5695,198906,6727,207669,5304,191543,7306,2735198,16322,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,624290,1908,65895,6361,25003,3890,3529,943,5764,1478,5866,1342,5736,1495,4108,1526,40892,3700,558395,6855,155242,4667,16280,1809,31814,2434,31470,2278,39427,2552,36251,2871,403153,5091,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5772084,14165,792823,25786,291034,11530,34081,3615,66161,5163,57592,4911,61116,4594,72084,5471,501789,18175,4979261,23581,1291971,16119,135508,5221,275033,7739,285678,7847,284970,6048,310782,9186,3687290,16665,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2617108,4212,436750,15172,149043,7829,24173,2819,36004,3128,29769,3385,28197,2606,30900,3690,287707,10655,2180358,15482,517736,11192,67984,3748,109605,4584,111042,4223,120465,3977,108640,5630,1662622,12115,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,34106509,13563,4386145,65581,1760706,37420,180110,7476,376556,12447,374789,13165,376188,12159,453063,14736,2625439,36456,29720364,67621,8341179,45840,910632,15068,1605885,18165,1740616,18386,1910138,18283,2173908,22876,21379185,45765,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4459921,5280,520013,16619,191541,8616,21231,2552,38606,3507,32902,3279,29686,3105,69116,5086,328472,11121,3939908,16993,999206,11785,123564,4631,207504,5782,210173,6017,224060,4577,233905,7719,2940702,14383,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3277529,3499,265401,12261,93550,7447,11602,1930,19624,2613,20022,2705,19723,2545,22579,3300,171851,7597,3012128,12150,781882,9073,91492,3843,156074,5348,169697,5373,183900,4424,180719,6072,2230246,9523,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,793388,2075,85896,8108,33420,4587,3974,1341,6775,1928,6781,1648,7368,1687,8522,2015,52476,5162,707492,8120,172881,6104,19868,2039,35582,2637,36579,2758,36979,1992,43873,3258,534611,5898,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,529417,1688,102165,7193,42622,3945,4470,1196,8780,1807,8955,2043,8906,1749,11511,1867,59543,5116,427252,7747,90748,5400,11372,2336,13551,1967,16859,2418,18027,1789,30939,3078,336504,5087,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17032441,9988,2088129,40033,678617,20242,82278,5912,144162,9197,138245,7293,141414,7952,172518,8817,1409512,27982,14944312,40259,3467264,29621,414233,11726,701812,11353,734306,12689,784189,11739,832724,18189,11477048,32855,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
