GEO_ID,C16001_001E,C16001_001M,C16001_002E,C16001_002M,C16001_003E,C16001_003M,C16001_004E,C16001_004M,C16001_005E,C16001_005M,C16001_006E,C16001_006M,C16001_007E,C16001_007M,C16001_008E,C16001_008M,C16001_009E,C16001_009M,C16001_010E,C16001_010M,C16001_011E,C16001_011M,C16001_012E,C16001_012M,C16001_013E,C16001_013M,NAME,C16001_001EA,C16001_001MA,C16001_002MA,C16001_002EA,C16001_003MA,C16001_003EA,C16001_004EA,C16001_004MA,C16001_005MA,C16001_005EA,C16001_006EA,C16001_006MA,C16001_007MA,C16001_007EA,C16001_008MA,C16001_008EA,C16001_009EA,C16001_009MA,C16001_010MA,C16001_010EA,C16001_011EA,C16001_011MA,C16001_012EA,C16001_012MA,C16001_013MA,C16001_013EA,state
0400000US01,4305303,2767,4124326,7640,107806,5011,8932,1836,9180,1519,2529,849,12780,2468,5384,1516,7221,2330,6983,1920,1497,642,10072,2406,8593,2678,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,622572,1070,526829,5516,22649,2978,2470,969,4716,1461,4837,2003,2210,775,3179,1105,875,477,1491,834,12990,1752,9126,1873,31200,2599,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5687173,1432,4094302,19622,1244012,17002,14946,2213,23855,2636,31229,5631,46828,5700,7072,1834,21515,3621,19988,3906,13949,2440,24611,3756,144866,7820,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2616131,1982,2456301,5533,116396,3233,4352,1335,5050,1409,2019,817,5051,1601,1959,1037,3611,1032,2279,1179,1974,727,10653,2370,6486,3020,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,33784883,2490,19414977,61768,9588622,46828,136449,6754,150299,7430,214447,12814,952667,29933,358390,18374,936113,24095,455367,19579,684120,19666,606714,19568,286718,15263,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4414382,1529,3653462,14328,545112,13003,19827,2936,33463,3727,22368,3707,26872,3991,18302,3324,20839,3407,16257,3327,6480,2255,23923,3358,27477,4143,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3302738,762,2639307,14370,308863,7072,46702,4998,11837,1629,73214,7903,138285,9410,8302,2341,21772,3260,5262,1734,8652,2175,20087,2864,20455,3370,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,796385,442,700255,4691,51762,3004,6214,2197,4391,1434,2774,1331,10592,2383,1249,650,4490,1413,845,665,1895,631,3353,1060,8565,2783,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,546550,609,462774,4554,45023,3139,9791,1803,2325,695,2054,780,8006,2084,562,370,3022,1214,935,663,1350,710,2878,1232,7830,1738,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16972259,2858,12610892,34428,3171968,21740,413484,19448,83489,5451,88712,7181,280308,16236,18644,2348,47727,4559,44752,6070,46377,4065,60548,6195,105358,7893,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,8665006,2726,7633572,13682,610402,7966,51396,6131,26723,3165,25820,4967,93412,8346,39614,4821,32902,4657,39439,5591,9238,2055,42744,4997,59744,6952,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1198319,360,917085,10069,17442,2408,4917,1430,3875,1094,1358,724,7594,2649,16101,2920,28201,4169,8061,2669,55082,8300,137621,8013,982,604,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1354099,1199,1217344,5405,103686,4021,2365,821,5356,1364,5728,1756,4701,1026,867,409,2488,909,762,486,1249,564,4420,1347,5133,1366,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,11942632,1830,9341064,25235,1516560,12134,36856,4085,60726,4905,316225,15771,274154,16111,46061,4964,81702,6589,18604,4226,77381,6657,71157,6704,102142,10239,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5879940,2459,5434897,12308,254219,7919,17184,2508,52813,5340,21620,3389,28036,3746,6509,1270,17662,2383,6177,1827,5492,1607,17990,2938,17341,3764,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
