GEO_ID,C23002I_001E,C23002I_001M,C23002I_002E,C23002I_002M,C23002I_003E,C23002I_003M,C23002I_004E,C23002I_004M,C23002I_005E,C23002I_005M,C23002I_006E,C23002I_006M,C23002I_007E,C23002I_007M,C23002I_008E,C23002I_008M,C23002I_009E,C23002I_009M,C23002I_010E,C23002I_010M,C23002I_011E,C23002I_011M,C23002I_012E,C23002I_012M,C23002I_013E,C23002I_013M,C23002I_014E,C23002I_014M,C23002I_015E,C23002I_015M,C23002I_016E,C23002I_016M,C23002I_017E,C23002I_017M,C23002I_018E,C23002I_018M,C23002I_019E,C23002I_019M,C23002I_020E,C23002I_020M,C23002I_021E,C23002I_021M,C23002I_022E,C23002I_022M,C23002I_023E,C23002I_023M,C23002I_024E,C23002I_024M,C23002I_025E,C23002I_025M,C23002I_026E,C23002I_026M,C23002I_027E,C23002I_027M,NAME,C23002I_001MA,C23002I_001EA,C23002I_002MA,C23002I_002EA,C23002I_003EA,C23002I_003MA,C23002I_004MA,C23002I_004EA,C23002I_005MA,C23002I_005EA,C23002I_006MA,C23002I_006EA,C23002I_007MA,C23002I_007EA,C23002I_008EA,C23002I_008MA,C23002I_009EA,C23002I_009MA,C23002I_010EA,C23002I_010MA,C23002I_011MA,C23002I_011EA,C23002I_012MA,C23002I_012EA,C23002I_013MA,C23002I_013EA,C23002I_014EA,C23002I_014MA,C23002I_015MA,C23002I_015EA,C23002I_016MA,C23002I_016EA,C23002I_017MA,C23002I_017EA,C23002I_018EA,C23002I_018MA,C23002I_019EA,C23002I_019MA,C23002I_020EA,C23002I_020MA,C23002I_021EA,C23002I_021MA,C23002I_022MA,C23002I_022EA,C23002I_023EA,C23002I_023MA,C23002I_024MA,C23002I_024EA,C23002I_025EA,C23002I_025MA,C23002I_026EA,C23002I_026MA,C23002I_027MA,C23002I_027EA,state
0400000US01,74267,1887,41557,1677,40808,1704,35752,1764,585,399,35167,1780,33338,1768,1829,656,5056,1111,749,365,221,238,221,238,0,265,528,276,32710,1522,30825,1411,17200,1732,95,117,17105,1704,15381,1594,1724,686,13625,1890,1885,572,194,196,143,140,51,82,1691,597,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,25557,945,13654,902,13340,929,11474,972,1332,644,10142,890,8775,921,1367,687,1866,598,314,177,85,103,85,103,0,235,229,167,11903,631,11564,654,7810,937,138,166,7672,941,7051,1069,621,387,3754,813,339,256,0,235,0,235,0,235,339,256,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1191800,2528,623403,1957,588183,2070,475319,4722,1614,847,473705,4614,450137,5266,23568,2965,112864,5324,35220,638,7901,1230,7762,1241,139,208,27319,1278,568397,1875,522314,2037,312452,7087,719,529,311733,7118,289641,6728,22092,2358,209862,7105,46083,580,3926,862,3910,863,16,29,42157,1017,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,90175,1599,51770,1721,50330,1779,43735,2122,105,111,43630,2117,41630,2237,2000,797,6595,1415,1440,486,302,262,302,262,0,257,1138,493,38405,1531,37165,1469,22276,1643,101,123,22175,1616,19350,1687,2825,1111,14889,1704,1240,570,256,333,108,170,148,257,984,517,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8934918,6717,4606669,5132,4331051,5304,3517037,12334,19807,1851,3497230,12279,3260798,13597,236432,8398,814014,13568,275618,1045,49291,3641,46754,3687,2537,813,226327,3718,4328249,4679,3951619,4724,2407705,15389,3919,1059,2403786,15438,2180712,15215,223074,8789,1543914,15014,376630,933,33486,2495,30676,2492,2810,802,343144,2565,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,638194,1952,339525,1460,318499,1642,262066,4526,1900,525,260166,4591,242749,5231,17417,2941,56433,4199,21026,845,3394,709,3288,714,106,138,17632,999,298669,1374,272973,1435,173904,4732,205,258,173699,4732,156744,4354,16955,2169,99069,4979,25696,772,2932,672,2754,646,178,178,22764,964,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,278124,1073,140883,1054,133476,938,105959,2480,361,227,105598,2486,95015,2711,10583,1854,27517,2544,7407,440,1612,650,1612,650,0,269,5795,649,137241,967,127019,926,86261,3055,0,269,86261,3055,74875,2977,11386,1752,40758,3078,10222,412,1159,561,1053,545,106,173,9063,596,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,35370,421,18839,550,18231,677,14769,1040,0,261,14769,1040,13996,1063,773,436,3462,1099,608,318,0,261,0,261,0,261,608,318,16531,495,15455,678,8948,1159,108,136,8840,1153,8368,1133,472,309,6507,1187,1076,431,0,261,0,261,0,261,1076,431,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,37917,231,20053,171,19137,171,16271,864,160,152,16111,831,14784,1185,1327,749,2866,878,916,0,447,241,447,241,0,292,469,241,17864,155,16215,154,12369,891,196,265,12173,894,11721,994,452,409,3846,941,1649,0,395,282,395,282,0,292,1254,282,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,11
0400000US12,2785005,3425,1403032,3360,1249278,3329,1037286,6426,5151,1066,1032135,6721,987386,7749,44749,4281,211992,6250,153754,1165,33164,3292,31312,3225,1852,711,120590,3187,1381973,3352,1167145,3554,772795,8663,319,234,772476,8653,719615,9155,52861,3636,394350,9208,214828,1020,19570,2216,18706,2219,864,429,195258,2316,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
