GEO_ID,B19201_001E,B19201_001M,B19201_002E,B19201_002M,B19201_003E,B19201_003M,B19201_004E,B19201_004M,B19201_005E,B19201_005M,B19201_006E,B19201_006M,B19201_007E,B19201_007M,B19201_008E,B19201_008M,B19201_009E,B19201_009M,B19201_010E,B19201_010M,B19201_011E,B19201_011M,B19201_012E,B19201_012M,B19201_013E,B19201_013M,B19201_014E,B19201_014M,B19201_015E,B19201_015M,B19201_016E,B19201_016M,B19201_017E,B19201_017M,NAME,B19201_001MA,B19201_001EA,B19201_002EA,B19201_002MA,B19201_003EA,B19201_003MA,B19201_004MA,B19201_004EA,B19201_005MA,B19201_005EA,B19201_006MA,B19201_006EA,B19201_007MA,B19201_007EA,B19201_008EA,B19201_008MA,B19201_009MA,B19201_009EA,B19201_010MA,B19201_010EA,B19201_011MA,B19201_011EA,B19201_012MA,B19201_012EA,B19201_013EA,B19201_013MA,B19201_014EA,B19201_014MA,B19201_015MA,B19201_015EA,B19201_016MA,B19201_016EA,B19201_017MA,B19201_017EA,state
0400000US13,1080069,14520,185849,5591,110863,4677,87798,4576,80566,4722,76438,4830,77972,5085,66266,4309,58861,4292,42076,3524,80494,4831,76713,4647,65035,4165,31221,2995,15632,2016,13760,1770,10525,1512,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,131530,4424,18569,2107,10574,1746,9016,1636,9254,1427,7082,1391,9342,1374,6890,1268,7556,1524,5982,1215,11548,1661,12464,1689,10725,1593,5278,949,2357,931,2568,663,2325,850,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,165869,4903,25659,2292,19907,2245,17419,1803,15646,1888,15173,2070,15173,2275,8085,1497,8983,1495,6830,1469,10922,1467,9464,1622,8118,1520,1876,563,1149,421,568,302,897,445,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1577910,15041,229684,6050,161864,6098,134111,4761,120835,6131,102363,4855,98263,4623,88211,4844,91542,4496,68010,3952,126368,5676,129893,5229,105807,5564,54812,3797,24138,2487,22050,2273,19959,2078,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,790243,11665,121174,5446,96948,4320,82192,4711,81195,3838,59800,3816,62423,3874,46718,3804,42722,3133,32080,2417,55298,3613,48470,3055,35058,2513,13259,1585,4607,1090,3904,1075,4395,992,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,411795,5606,61303,3243,55921,2916,41337,2519,38788,2584,36570,2432,32036,2397,25181,2073,25778,2207,19011,2078,28018,2565,20697,1945,14056,1469,7061,1366,2326,624,2009,645,1703,518,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,363735,7229,57705,3410,45425,2484,37039,2473,33344,2578,31867,2573,28587,2583,21497,2006,18661,1805,16402,1890,22984,2344,21987,2284,15328,1815,5212,1018,2890,807,2686,888,2121,605,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,545507,9641,123725,4722,72763,3944,53298,3788,50999,3302,37608,2687,34569,2635,29221,2810,28862,3023,18802,2129,28774,2687,29149,2251,19114,2041,9911,1577,3775,1034,2135,733,2802,617,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,492410,9663,116496,5673,69239,3804,43929,3007,40823,3236,34570,3217,33343,3158,22524,2149,22813,2791,15714,1955,25312,2628,27387,2531,20166,2153,9750,1412,3435,1004,3913,1117,2996,814,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,189933,5185,32028,2216,27801,2620,19144,2200,17171,1900,13821,1784,13604,1857,9662,1422,8870,1343,8884,1528,12044,1637,10183,1468,9561,1576,3578,917,1812,615,1182,412,588,267,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,683376,11593,71142,3973,51960,3162,42644,3702,41369,2895,42017,3295,43223,3220,35538,2902,40461,3478,32421,2846,64254,4332,70853,4715,68782,4232,38842,3290,16598,2087,13806,2005,9466,1537,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,880512,10736,129852,4708,89421,4513,62217,4330,61281,3879,46462,3378,51231,3571,44383,3577,44424,3425,36206,3489,72941,3994,75347,5013,75572,5060,39125,3965,20674,2130,16955,2411,14421,1886,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1289916,13531,203005,5949,143315,4904,120888,5165,119472,5946,96472,4360,96804,4318,70364,3568,67091,3407,56360,3464,93028,4337,94101,4361,71511,3631,25683,2229,12845,1724,10156,1311,8821,1235,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,711846,8886,88798,3775,75044,3163,56788,2939,53171,2941,53132,2929,54688,3417,44620,3271,44011,2945,34768,2500,57104,3402,58851,3524,47434,2808,19839,2067,9524,1397,7526,1266,6548,1168,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,333533,7485,86736,4945,50369,3263,33040,2935,30890,2856,24550,2433,19206,2109,14994,1689,13560,2136,10834,1751,15393,2075,14177,2154,10273,1553,5081,1331,1350,635,1262,651,1818,604,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,786167,10150,134146,5319,96341,4579,78022,4219,78137,3571,65734,4371,57291,3644,39708,2904,40672,3180,33625,3086,51097,3339,47133,3242,34703,3026,15808,1802,4734,816,5056,1012,3960,929,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,131778,4384,25318,2375,17929,2100,13964,1771,13082,1961,11183,1533,8342,1235,7826,1326,6903,1087,4244,1001,8852,1244,6388,1182,3666,686,2039,733,910,403,573,318,559,270,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,238480,5590,37606,3165,30951,2249,22410,2078,26352,2011,21911,1898,15816,1637,14076,1555,13531,1474,10365,1261,13345,1545,13468,1499,9426,1210,5234,1003,1864,582,758,299,1367,483,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,324479,8108,36457,2982,26140,2408,26761,2861,22245,2500,23405,2458,23073,2474,17765,1784,20172,2581,13752,2005,26350,2902,34749,3296,25955,2722,12474,1741,4821,1265,4724,1050,5636,1227,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,168994,4654,19865,1917,16679,1812,14008,1839,12320,1630,11064,1557,11676,1691,9717,1512,10256,1598,7229,1164,13878,1818,13724,1640,14039,1861,6615,1505,2600,786,3394,1003,1930,690,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,955086,12276,115811,5681,88594,5001,74852,3493,66866,3748,59011,4081,54167,3405,45860,3510,53688,4133,44168,3251,78709,4641,81932,4480,85763,4595,45639,3938,22917,2501,19139,1873,17970,2102,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,248603,6534,48804,3729,30522,2913,20875,2339,21177,2083,18895,2476,15747,1904,13176,1906,12295,1570,8092,1323,17312,1925,16880,2126,12071,1542,5761,1111,3383,1031,1827,571,1786,636,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,2514435,21095,407131,9519,257109,8110,197120,6506,170334,5939,159416,5781,148097,6412,122405,5794,118633,5995,104660,4734,178873,6606,196766,6902,193420,7637,105956,5007,45934,3359,50637,3727,57944,3775,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,1143612,15215,213631,7659,138367,6430,100966,5808,105804,5490,86867,4752,83175,5060,66729,4349,58486,3438,46999,3692,71216,4708,67469,3883,51669,4251,24906,2817,8258,1472,9612,1486,9458,1564,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,103330,3627,18731,1734,16433,1906,10924,1362,8746,1273,8878,1732,7437,1278,6401,1122,5068,773,4539,929,5150,928,5602,1000,3317,778,1203,521,619,340,195,137,87,87,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,1546145,15907,257054,7448,190830,5962,158325,5878,145762,5627,118569,5406,117943,5571,89116,3642,80143,3494,62564,3934,103515,4853,96480,3859,66011,3665,30727,2385,11424,1630,8865,1641,8817,1318,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
