GEO_ID,B14005_001E,B14005_001M,B14005_002E,B14005_002M,B14005_003E,B14005_003M,B14005_004E,B14005_004M,B14005_005E,B14005_005M,B14005_006E,B14005_006M,B14005_007E,B14005_007M,B14005_008E,B14005_008M,B14005_009E,B14005_009M,B14005_010E,B14005_010M,B14005_011E,B14005_011M,B14005_012E,B14005_012M,B14005_013E,B14005_013M,B14005_014E,B14005_014M,B14005_015E,B14005_015M,B14005_016E,B14005_016M,B14005_017E,B14005_017M,B14005_018E,B14005_018M,B14005_019E,B14005_019M,B14005_020E,B14005_020M,B14005_021E,B14005_021M,B14005_022E,B14005_022M,B14005_023E,B14005_023M,B14005_024E,B14005_024M,B14005_025E,B14005_025M,B14005_026E,B14005_026M,B14005_027E,B14005_027M,B14005_028E,B14005_028M,B14005_029E,B14005_029M,NAME,B14005_001MA,B14005_001EA,B14005_002EA,B14005_002MA,B14005_003EA,B14005_003MA,B14005_004MA,B14005_004EA,B14005_005MA,B14005_005EA,B14005_006MA,B14005_006EA,B14005_007MA,B14005_007EA,B14005_008EA,B14005_008MA,B14005_009EA,B14005_009MA,B14005_010MA,B14005_010EA,B14005_011MA,B14005_011EA,B14005_012MA,B14005_012EA,B14005_013EA,B14005_013MA,B14005_014EA,B14005_014MA,B14005_015MA,B14005_015EA,B14005_016MA,B14005_016EA,B14005_017EA,B14005_017MA,B14005_018MA,B14005_018EA,B14005_019EA,B14005_019MA,B14005_020EA,B14005_020MA,B14005_021MA,B14005_021EA,B14005_022EA,B14005_022MA,B14005_023MA,B14005_023EA,B14005_024EA,B14005_024MA,B14005_025EA,B14005_025MA,B14005_026MA,B14005_026EA,B14005_027MA,B14005_027EA,B14005_028EA,B14005_028MA,B14005_029EA,B14005_029MA,state
0400000US01,270890,5563,139647,3410,109795,3225,26671,2544,11235,1848,71889,3226,29852,2983,15341,1999,10329,1864,1730,558,3282,1349,14511,2214,5769,1263,3322,1169,5420,1196,131243,4194,107113,4114,30143,2677,7370,1399,69600,3222,24130,2479,14692,1982,6566,1194,3303,993,4823,1346,9438,1486,2578,696,1667,741,5193,1177,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,46730,2116,24183,1792,18617,1719,5455,1054,2970,925,10192,1506,5566,1204,3711,963,2539,841,644,438,528,282,1855,917,907,756,503,529,445,234,22547,1756,19058,1927,7549,1325,2002,783,9507,1548,3489,925,2090,710,1498,666,311,207,281,166,1399,533,228,232,454,307,717,401,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,343556,4412,178372,3299,137076,3956,43894,3134,9043,1540,84139,4382,41296,2820,23055,2234,15953,2013,2031,704,5071,1197,18241,2445,9637,1849,2651,853,5953,1315,165184,3681,133046,4498,45686,2756,7660,1546,79700,4046,32138,2440,19200,2336,11476,1858,1652,755,6072,1322,12938,1883,4817,1212,1237,542,6884,1353,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,161464,4621,84163,3182,67737,2760,20054,2034,6959,1228,40724,2525,16426,2205,11130,1835,8059,1555,1884,815,1187,464,5296,1212,2127,787,1374,674,1795,638,77301,3337,63126,3169,22517,2283,5442,1083,35167,2638,14175,1681,9571,1361,4813,903,2075,855,2683,961,4604,1055,1694,683,617,373,2293,736,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2183461,11755,1124671,8356,911431,10656,218852,7690,69974,3953,622605,11123,213240,6643,129417,4904,83273,4908,18725,2384,27419,2650,83823,5181,37934,4069,13580,2098,32309,2962,1058790,8313,903699,10447,256754,8256,69373,4671,577572,9457,155091,6390,98100,4870,55917,3483,11495,1991,30688,2842,56991,4374,17261,2390,7772,1559,31958,2773,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,256659,4312,132626,3179,104423,3624,36340,2486,8762,1391,59321,3573,28203,2467,14056,1968,9896,1675,2457,929,1703,677,14147,1631,6759,1320,2060,674,5328,1185,124033,3101,105228,3310,43058,2795,9379,1520,52791,3000,18805,2148,9849,1517,6612,1393,1174,507,2063,639,8956,1605,3046,1018,1889,840,4021,991,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,197895,3495,100952,2494,88725,2755,30131,2050,9810,1552,48784,2278,12227,1216,7988,1271,5304,1106,981,430,1703,610,4239,853,1321,572,480,337,2438,798,96943,2121,87058,2495,35544,2245,6791,1319,44723,2653,9885,1616,6474,1315,4424,1109,1244,587,806,472,3411,1078,753,541,1246,669,1412,598,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,48474,1492,24051,1122,19347,1332,6365,1283,1527,636,11455,1358,4704,1012,1986,681,1514,547,227,276,245,235,2718,899,1061,526,577,481,1080,662,24423,1327,21195,1528,7673,1235,1839,587,11683,1395,3228,870,2586,841,1613,708,431,374,542,419,642,456,383,335,259,284,0,261,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,32873,2008,15898,1300,12469,1549,2031,755,911,431,9527,1301,3429,1277,2567,1217,1868,1003,328,233,371,326,862,389,44,74,157,180,661,363,16975,1693,14412,1882,2820,883,663,365,10929,1754,2563,749,1029,466,605,408,149,149,275,232,1534,557,247,185,249,178,1038,508,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,932643,8845,483262,6174,380874,7106,116170,5589,30403,2496,234301,6725,102388,4757,59262,4048,40408,3262,6485,1508,12369,1948,43126,3345,18930,2558,6349,1260,17847,1989,449381,5801,369058,6502,121695,6078,23557,2218,223806,6212,80323,5131,49573,4212,29793,3499,6790,1640,12990,2308,30750,3295,8402,1648,4589,1295,17759,2793,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
