GEO_ID,B19101I_001E,B19101I_001M,B19101I_002E,B19101I_002M,B19101I_003E,B19101I_003M,B19101I_004E,B19101I_004M,B19101I_005E,B19101I_005M,B19101I_006E,B19101I_006M,B19101I_007E,B19101I_007M,B19101I_008E,B19101I_008M,B19101I_009E,B19101I_009M,B19101I_010E,B19101I_010M,B19101I_011E,B19101I_011M,B19101I_012E,B19101I_012M,B19101I_013E,B19101I_013M,B19101I_014E,B19101I_014M,B19101I_015E,B19101I_015M,B19101I_016E,B19101I_016M,B19101I_017E,B19101I_017M,NAME,B19101I_001MA,B19101I_001EA,B19101I_002MA,B19101I_002EA,B19101I_003EA,B19101I_003MA,B19101I_004MA,B19101I_004EA,B19101I_005EA,B19101I_005MA,B19101I_006MA,B19101I_006EA,B19101I_007EA,B19101I_007MA,B19101I_008EA,B19101I_008MA,B19101I_009MA,B19101I_009EA,B19101I_010MA,B19101I_010EA,B19101I_011MA,B19101I_011EA,B19101I_012MA,B19101I_012EA,B19101I_013EA,B19101I_013MA,B19101I_014MA,B19101I_014EA,B19101I_015MA,B19101I_015EA,B19101I_016MA,B19101I_016EA,B19101I_017MA,B19101I_017EA,state
0400000US01,19043,1896,2664,1042,2047,887,1951,629,1093,516,1617,496,2052,725,1164,687,978,393,1292,673,624,350,887,533,1174,501,318,231,394,224,337,244,451,358,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,6867,1032,172,211,425,325,464,390,414,374,491,385,454,352,339,313,199,187,267,275,522,329,906,354,1273,558,275,242,198,180,390,345,78,89,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,365209,6437,27430,3300,19790,2715,27908,2654,33111,3548,26510,2675,29284,2789,27010,3041,22975,2917,18502,2135,30637,3043,37863,3424,31600,2812,16912,2036,7034,1455,5084,1242,3559,950,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,30166,1835,1936,827,1779,688,3901,1151,3645,1058,3113,939,2829,997,2772,1014,1592,594,2112,782,2440,785,2163,612,1192,494,552,375,111,134,0,257,29,50,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2615496,15511,146794,6200,141495,5460,179364,7588,190644,7288,181814,8131,178533,7521,163596,6565,156999,7491,136602,5562,238114,7204,279504,7902,282579,7891,161972,7134,74715,4599,64338,4125,38433,3430,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,206259,5273,17663,2415,15063,1941,13526,2187,17085,2423,15049,2458,15778,2379,13742,1948,15105,2094,9618,1647,16223,1936,19600,2433,20004,2555,9186,1603,3210,843,3743,958,1664,649,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,87833,3050,9684,1726,6065,1281,6640,1430,7333,1369,5260,1273,5143,1318,4883,1233,5134,1456,3666,1023,6091,1361,8451,1671,8973,1566,4142,876,2014,642,1736,664,2618,779,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,10191,1092,1354,752,541,368,393,273,962,451,573,385,574,347,789,567,662,490,526,389,790,490,556,372,1093,562,1021,499,44,70,126,209,187,173,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8111,1147,273,257,722,431,264,272,827,564,290,261,908,491,508,359,213,202,579,516,618,507,918,460,487,351,396,304,297,314,343,252,468,291,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,877231,10246,47696,3430,52517,4500,60571,4765,60824,4669,60348,4540,61223,4342,59434,4675,52204,3819,46954,3336,81131,5252,89805,5403,92899,4786,46673,3199,25400,2637,18717,1910,20835,2084,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,128238,5251,7767,1778,9016,1965,9621,1867,12869,1980,10408,1579,10735,1636,9776,1541,9246,1684,5910,1294,9966,1788,11056,1942,9847,1810,5890,1270,2815,888,1965,752,1351,605,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,17972,1677,874,481,491,376,721,422,715,396,1109,529,817,430,1140,411,1220,753,1184,468,1433,513,3209,814,2070,629,1436,533,699,318,418,296,436,355,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,29938,1725,1923,878,2562,814,1607,673,3662,1187,3687,885,2266,689,1957,607,1521,475,1029,461,3066,915,2254,677,2580,805,929,500,312,240,331,261,252,197,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,394636,7329,24567,3056,19713,2734,23629,2826,27733,3205,22896,2388,27259,2675,26071,2306,27761,2881,23911,2419,41108,3164,43051,3508,44092,3417,22984,2514,9109,1397,7514,1670,3238,872,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,63433,2832,5844,1286,3547,851,4697,1205,6156,1247,4326,1097,6178,1205,3557,841,3380,947,3019,802,6066,1466,5959,1074,6096,1306,2102,766,1678,632,686,390,142,154,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,24203,1514,1226,576,1491,703,1524,654,2725,954,2778,896,1862,714,3265,997,1820,548,706,438,2250,674,1595,566,1408,506,668,304,331,238,354,274,200,229,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,49870,2445,4212,1161,3203,1013,3934,1032,4924,1470,4002,1123,4202,958,2493,789,2995,920,2193,766,4887,1224,4613,1053,5141,1161,1453,448,598,253,587,386,433,323,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,17280,1574,1574,649,1108,461,1114,624,2391,819,1393,534,1044,656,1116,638,1530,729,567,261,1247,597,991,518,1601,719,707,430,547,418,227,207,123,122,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,26792,2276,1781,630,1497,556,1870,795,720,407,2390,848,2290,856,1719,642,1360,540,1484,519,2696,999,3010,915,3209,981,1431,546,592,369,504,331,239,212,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,3127,584,441,275,269,304,542,297,120,119,192,251,175,151,202,148,134,153,282,280,135,122,252,188,225,201,84,96,42,79,0,223,32,60,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
