GEO_ID,C25072_001E,C25072_001M,C25072_002E,C25072_002M,C25072_003E,C25072_003M,C25072_004E,C25072_004M,C25072_005E,C25072_005M,C25072_006E,C25072_006M,C25072_007E,C25072_007M,C25072_008E,C25072_008M,C25072_009E,C25072_009M,C25072_010E,C25072_010M,C25072_011E,C25072_011M,C25072_012E,C25072_012M,C25072_013E,C25072_013M,C25072_014E,C25072_014M,C25072_015E,C25072_015M,C25072_016E,C25072_016M,C25072_017E,C25072_017M,NAME,C25072_001EA,C25072_001MA,C25072_002EA,C25072_002MA,C25072_003EA,C25072_003MA,C25072_004EA,C25072_004MA,C25072_005MA,C25072_005EA,C25072_006MA,C25072_006EA,C25072_007EA,C25072_007MA,C25072_008EA,C25072_008MA,C25072_009EA,C25072_009MA,C25072_010EA,C25072_010MA,C25072_011MA,C25072_011EA,C25072_012EA,C25072_012MA,C25072_013EA,C25072_013MA,C25072_014EA,C25072_014MA,C25072_015MA,C25072_015EA,C25072_016MA,C25072_016EA,C25072_017MA,C25072_017EA,state
0400000US01,506786,9952,69333,4515,22369,2699,37191,3176,9773,1965,137648,5449,67914,4465,53652,4154,16082,1930,235521,6779,111458,5314,91253,3953,32810,2638,64284,3712,22448,2132,25879,2465,15957,1986,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,81629,2772,10232,1496,4168,962,4376,1049,1688,552,24380,2034,12289,1635,9123,1544,2968,730,42549,2481,21596,1961,14972,1957,5981,1128,4468,858,1361,448,2387,634,720,278,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,701951,12863,91569,5146,35038,3356,50743,3778,5788,1369,206050,7197,110628,5777,85300,5528,10122,1682,322903,9382,165070,6736,136291,6747,21542,2451,81429,4757,25133,2589,44693,3375,11603,1708,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,350016,7559,51368,3340,17904,2156,28818,3033,4646,1356,92517,4265,44934,3228,37481,3137,10102,1886,162194,5490,76865,4507,63601,4434,21728,2580,43937,2817,14844,1469,18173,1927,10920,1427,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5049030,24989,468873,10082,142671,6598,293273,8352,32929,3109,1353254,14855,636482,13117,665584,13235,51188,4496,2655369,21889,1231562,17256,1305649,15989,118158,6035,571534,9159,168672,6255,353656,8132,49206,3250,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,577567,10807,90824,4170,31697,2738,53915,3396,5212,1364,169684,6670,87078,5031,74934,4620,7672,1429,258887,8110,127087,5520,113661,4914,18139,2485,58172,3644,21762,2249,29686,2537,6724,1256,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,404061,6979,34028,3080,13622,2037,18912,2287,1494,633,97983,5232,51777,3934,42897,4147,3309,1004,202371,6577,101007,5323,93147,5176,8217,1336,69679,3237,25500,1911,37318,2959,6861,1103,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,81916,3849,9094,1542,2572,884,5640,1378,882,522,24185,2104,12162,1807,10921,1688,1102,506,38681,2734,20613,2035,16000,1696,2068,602,9956,1246,3900,861,5080,912,976,364,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,135870,4564,13563,1523,3857,910,8476,1230,1230,649,38564,2184,19627,1978,16391,1880,2546,924,64855,3361,35348,2572,27255,2640,2252,665,18888,1876,8511,1416,9427,1504,950,511,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2111941,22368,261613,9105,86036,5588,151784,7899,23793,3279,534018,12105,242650,9410,260740,9510,30628,3527,1020754,14956,450548,11332,505942,13564,64264,4363,295556,7453,79344,5105,178905,5812,37307,3107,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1091584,16605,137987,6903,49491,4649,77224,4601,11272,1878,323427,8587,161215,6958,141962,5817,20250,2480,531222,11987,255549,9360,226656,8762,49017,3595,98948,4805,32855,2550,51838,4026,14255,1639,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,175033,4748,16701,1957,4453,1392,9727,1544,2521,815,41626,2593,17079,1842,19670,2476,4877,1124,94919,4343,44427,3396,40579,3304,9913,1291,21787,1669,8927,1112,9951,1446,2909,725,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,157573,4661,32909,2521,15359,1842,15262,1896,2288,839,44851,2745,27641,2351,14140,1686,3070,759,63836,3530,33034,2728,23556,2289,7246,1365,15977,1795,5314,1091,8079,1398,2584,575,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1422885,14359,166468,5441,60629,4348,94985,3860,10854,1722,392489,8846,206369,7436,164625,5944,21495,2549,674181,10782,339173,9555,289057,8295,45951,3383,189747,6721,66271,3726,105962,4988,17514,1702,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,678946,11714,99639,4109,39049,3377,52743,3419,7847,1450,181501,6271,95179,5174,77815,4029,8507,1391,310841,8333,158532,6115,127126,5547,25183,2074,86965,3595,32548,2557,44375,2604,10042,1596,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,322796,6591,65507,3248,28920,2832,32743,2600,3844,961,75222,4390,42504,2926,28147,2843,4571,987,130727,4782,70652,3495,45723,2808,14352,1446,51340,2499,21682,1603,23622,1916,6036,829,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,327266,6238,63658,3250,24545,2319,34945,2612,4168,1169,83363,3531,47110,3014,30667,2465,5586,1294,138536,5091,77091,4005,48492,3272,12953,1593,41709,2713,17135,1645,19546,1885,5028,1068,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,484830,8729,62366,3757,25127,2371,30342,2591,6897,1317,130578,5579,68905,4374,48475,4056,13198,2199,232037,7253,113708,5382,87239,5416,31090,2767,59849,3354,22136,1771,27693,2597,10020,1539,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,493311,9057,65726,4062,22701,2371,35693,3002,7332,1746,123364,5845,56014,4303,52791,4112,14559,2010,244381,7863,105798,5573,96122,4855,42461,3448,59840,3394,18738,2136,25193,2416,15909,2075,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,149171,5616,20441,1708,8172,1327,10717,1396,1552,567,36743,2705,20272,2168,13725,1832,2746,807,65524,4000,32272,2933,27359,2183,5893,1124,26463,1998,12176,1395,11180,1588,3107,654,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,638620,10342,64997,3530,25762,2604,35186,3261,4049,988,165338,5608,92225,4647,64864,4881,8249,1596,319985,8953,169810,6418,131120,5309,19055,2605,88300,3680,33700,3048,48126,3040,6474,1076,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,858126,11260,73032,4337,24857,2933,44082,3938,4093,1114,218471,6381,113511,5681,97763,4866,7197,1355,413032,8967,199751,7076,192197,6957,21084,2632,153591,5434,58096,3635,83232,4293,12263,1422,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,960844,12074,130920,5336,44780,3358,75853,4237,10287,1462,252995,6569,121847,5247,114218,5480,16930,2112,436598,9302,208076,7508,191900,5896,36622,3416,140331,4362,51920,2762,77088,3812,11323,1181,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,484091,8037,86122,3681,36251,2923,45570,2890,4301,961,119299,4577,67616,4078,47107,3240,4576,939,194553,6255,103592,5716,78762,4263,12199,1475,84117,3492,32336,1933,44231,2795,7550,973,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,315203,7259,42163,3864,11414,1830,22925,2692,7824,1705,80233,4455,35623,3492,32980,2815,11630,2113,157621,6058,60683,3488,63970,4056,32968,2761,35186,2636,10485,1658,14816,1771,9885,1577,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,676189,11052,102717,5225,42183,3313,53667,4022,6867,1300,173230,6329,93946,4451,64669,4027,14615,1939,302755,8930,157599,6471,118524,5670,26632,2431,97487,4638,36479,2766,49371,3168,11637,1570,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,112053,4325,16818,1733,7208,1399,8323,1491,1287,561,27162,1979,13804,1712,10057,1275,3301,745,50606,2919,25728,2316,17833,2060,7045,1025,17467,1739,5345,1053,8621,1284,3501,785,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
