GEO_ID,B24031_001E,B24031_001M,B24031_002E,B24031_002M,B24031_003E,B24031_003M,B24031_004E,B24031_004M,B24031_005E,B24031_005M,B24031_006E,B24031_006M,B24031_007E,B24031_007M,B24031_008E,B24031_008M,B24031_009E,B24031_009M,B24031_010E,B24031_010M,B24031_011E,B24031_011M,B24031_012E,B24031_012M,B24031_013E,B24031_013M,B24031_014E,B24031_014M,B24031_015E,B24031_015M,B24031_016E,B24031_016M,B24031_017E,B24031_017M,B24031_018E,B24031_018M,B24031_019E,B24031_019M,B24031_020E,B24031_020M,B24031_021E,B24031_021M,B24031_022E,B24031_022M,B24031_023E,B24031_023M,B24031_024E,B24031_024M,B24031_025E,B24031_025M,B24031_026E,B24031_026M,B24031_027E,B24031_027M,NAME,B24031_001MA,B24031_001EA,B24031_002MA,B24031_002EA,B24031_003EA,B24031_003MA,B24031_004MA,B24031_004EA,B24031_005MA,B24031_005EA,B24031_006MA,B24031_006EA,B24031_007MA,B24031_007EA,B24031_008EA,B24031_008MA,B24031_009MA,B24031_009EA,B24031_010MA,B24031_010EA,B24031_011MA,B24031_011EA,B24031_012MA,B24031_012EA,B24031_013MA,B24031_013EA,B24031_014EA,B24031_014MA,B24031_015MA,B24031_015EA,B24031_016MA,B24031_016EA,B24031_017MA,B24031_017EA,B24031_018MA,B24031_018EA,B24031_019EA,B24031_019MA,B24031_020MA,B24031_020EA,B24031_021MA,B24031_021EA,B24031_022MA,B24031_022EA,B24031_023MA,B24031_023EA,B24031_024MA,B24031_024EA,B24031_025EA,B24031_025MA,B24031_026MA,B24031_026EA,B24031_027MA,B24031_027EA,state
0400000US01,27106,275,30931,1651,21448,1879,51194,2519,26410,698,31472,554,32424,2094,18773,915,38955,2283,36505,1234,48908,4216,35598,3321,31354,673,32124,875,27431,2736,31338,1171,46903,2154,56985,15430,19930,1490,27862,895,31320,956,26121,702,10892,413,12820,2637,10586,472,19643,1322,40433,1875,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,34713,1429,51830,4009,41128,2496,61446,9880,41015,2624,25904,4420,42335,7609,21462,1173,43369,4134,42321,3874,53939,17277,37736,4203,37610,4063,38965,5660,33611,12309,42083,3149,52840,7121,59167,25263,30483,4085,35311,2193,36348,2723,34215,3106,16229,1468,16750,3218,16070,1744,24476,2399,45067,3144,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,30163,226,25886,3296,19545,2874,45562,5373,29493,978,39459,1845,36833,1378,21656,583,40641,1035,37100,1780,53283,3856,37212,1984,37479,1610,39239,2599,35958,1941,31944,970,46539,1756,42051,7482,21658,1088,30579,574,30843,960,30419,645,15869,494,21672,1013,14601,738,21293,1204,40478,869,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,24885,352,23367,1264,22226,770,38323,5253,26280,843,28793,899,30845,1941,18434,905,35619,1940,34300,2656,39117,2409,36450,3662,26737,1010,27180,1365,25505,2944,26567,1711,33473,3127,31339,4773,19231,2049,24221,1080,30364,826,21512,730,9733,965,10235,2913,9660,973,19737,1953,31960,995,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,32017,102,18955,694,17597,661,60004,7250,32418,453,37657,705,36596,454,22016,252,41185,402,38066,1405,62144,1358,51218,666,43156,1099,46674,720,38389,1745,40159,450,57286,1057,48452,9390,22261,428,33606,576,36137,497,31907,318,16787,250,22080,526,15589,303,20745,398,53282,1618,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,31858,227,32405,2586,22187,2063,56019,5862,31953,672,41883,1052,40200,3155,22068,564,40662,808,37291,2158,54620,3871,46154,2170,39972,1285,41314,921,35810,1702,41202,917,54996,1978,64223,12860,22317,1276,30906,499,31060,778,30788,652,15106,795,17544,2329,14504,1130,22178,875,47731,1588,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,37541,674,32255,12301,23534,8624,44574,24109,41283,1579,49200,2447,45531,3483,22093,937,45027,2290,40742,1982,66585,7791,49414,4603,54438,2173,60961,1580,39730,4566,45825,1956,59131,3041,83605,32510,25735,1907,35259,683,38165,1946,33435,1362,16581,801,21573,1601,15277,1046,24762,1834,54777,2252,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,33627,1131,21990,7593,21538,8246,27411,2103,37403,2647,47189,2695,36011,4293,23666,1612,43256,4074,41443,1406,62385,15599,39257,8736,40898,1595,42139,2048,35315,8110,40143,3827,52148,4575,56222,20847,25264,4440,32956,1976,36391,1663,31000,1317,14760,1764,23645,4435,13001,1763,22152,2366,41207,1226,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,41286,777,23262,13705,22791,14353,100001,0,36681,5258,39315,23532,49167,15366,20733,3434,30329,6522,28686,7055,49295,12245,51945,7952,60085,8994,70783,13641,45101,11675,50344,3588,62045,3393,40132,36431,26501,1993,32063,2377,33200,3821,31452,2225,24087,2077,34107,7638,22256,3267,36878,3064,60849,6380,District of Columbia,null,null,null,null,null,null,***,"100,000+",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,28871,257,18417,1434,16824,877,42206,3161,29263,680,32779,956,36151,962,21309,368,36578,578,35672,635,45987,1785,39036,2039,36317,538,38965,1490,31911,566,31421,446,42339,945,44421,12883,21927,438,30460,286,32224,453,29109,565,16435,304,21940,793,15383,312,21113,501,40274,538,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
