GEO_ID,B12002H_001E,B12002H_001M,B12002H_002E,B12002H_002M,B12002H_003E,B12002H_003M,B12002H_004E,B12002H_004M,B12002H_005E,B12002H_005M,B12002H_006E,B12002H_006M,B12002H_007E,B12002H_007M,B12002H_008E,B12002H_008M,B12002H_009E,B12002H_009M,B12002H_010E,B12002H_010M,B12002H_011E,B12002H_011M,B12002H_012E,B12002H_012M,B12002H_013E,B12002H_013M,NAME,B12002H_001MA,B12002H_001EA,B12002H_002MA,B12002H_002EA,B12002H_003MA,B12002H_003EA,B12002H_004EA,B12002H_004MA,B12002H_005EA,B12002H_005MA,B12002H_006EA,B12002H_006MA,B12002H_007MA,B12002H_007EA,B12002H_008MA,B12002H_008EA,B12002H_009EA,B12002H_009MA,B12002H_010EA,B12002H_010MA,B12002H_011EA,B12002H_011MA,B12002H_012MA,B12002H_012EA,B12002H_013MA,B12002H_013EA,state
0400000US01,2603491,1127,1259559,1103,304291,6502,757131,9274,18540,1945,34053,2562,145544,6269,1343932,1145,237133,5479,745860,9448,28647,2468,161707,4331,170585,5683,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,361157,747,188988,633,62119,2750,101172,3438,2339,685,2879,634,20479,2195,172169,391,41848,2145,95843,3322,2071,605,9531,1235,22876,2580,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3069758,1763,1500123,1104,427127,8293,820518,9736,20215,2795,47747,3703,184516,6238,1569635,1140,329487,6531,810885,10671,24041,2966,171963,5351,233259,7283,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1757851,956,852273,1312,204347,5606,511854,7567,13300,1639,23045,2070,99727,4933,905578,1333,154244,4338,500252,8328,18519,2142,112649,4374,119914,4897,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,13220775,8884,6503791,5167,2146287,17526,3386608,18631,100641,4898,188124,5346,682131,12067,6716984,4884,1677177,14515,3219665,21924,127475,5700,731626,12223,961041,14521,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2808441,2106,1387249,1444,427302,7756,768279,10469,13945,2069,30218,2363,147505,6203,1421192,1504,331675,5560,755190,8591,24901,2729,115860,3826,193566,6375,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2171683,3119,1040535,1602,315733,4842,593233,5924,8793,1689,33297,2385,89479,4827,1131148,1708,276187,5143,593535,7695,14045,2117,123967,4024,123414,5096,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,489435,820,234368,767,68428,2511,131106,3312,2908,775,7728,1171,24198,2013,255067,215,62465,2730,127867,3901,6177,1248,27897,1641,30661,2099,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,167706,471,82419,413,47868,2039,28041,1931,1211,572,740,374,4559,848,85287,234,44809,1790,28219,1998,832,402,4192,863,7235,1186,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9407441,6055,4555599,4829,1203387,12624,2563775,15492,65531,5296,173845,6302,549061,11491,4851842,3387,916768,11032,2530405,14714,83856,5101,664754,9698,656059,12751,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
