GEO_ID,B15002G_001E,B15002G_001M,B15002G_002E,B15002G_002M,B15002G_003E,B15002G_003M,B15002G_004E,B15002G_004M,B15002G_005E,B15002G_005M,B15002G_006E,B15002G_006M,B15002G_007E,B15002G_007M,B15002G_008E,B15002G_008M,B15002G_009E,B15002G_009M,B15002G_010E,B15002G_010M,B15002G_011E,B15002G_011M,B15002G_012E,B15002G_012M,B15002G_013E,B15002G_013M,B15002G_014E,B15002G_014M,B15002G_015E,B15002G_015M,B15002G_016E,B15002G_016M,B15002G_017E,B15002G_017M,NAME,B15002G_001MA,B15002G_001EA,B15002G_002MA,B15002G_002EA,B15002G_003MA,B15002G_003EA,B15002G_004EA,B15002G_004MA,B15002G_005MA,B15002G_005EA,B15002G_006EA,B15002G_006MA,B15002G_007MA,B15002G_007EA,B15002G_008MA,B15002G_008EA,B15002G_009EA,B15002G_009MA,B15002G_010EA,B15002G_010MA,B15002G_011MA,B15002G_011EA,B15002G_012MA,B15002G_012EA,B15002G_013MA,B15002G_013EA,B15002G_014EA,B15002G_014MA,B15002G_015EA,B15002G_015MA,B15002G_016MA,B15002G_016EA,B15002G_017MA,B15002G_017EA,state
0400000US01,23247,2252,10099,1490,1090,531,1790,594,2976,771,1824,512,767,384,649,338,1003,621,13148,1452,1212,403,2583,758,3245,719,2894,715,915,423,1656,546,643,417,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,18465,2170,9310,1467,380,211,492,255,4063,1090,3012,1020,257,208,916,452,190,165,9155,1278,413,321,911,543,2489,697,3296,989,352,333,1088,529,606,421,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,55711,3608,27721,2331,2038,736,2478,732,6967,1485,7915,1536,2531,825,3007,876,2785,916,27990,2748,1700,545,2768,806,7047,1887,8317,1462,2457,781,4162,1087,1539,615,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,20778,2385,10555,1515,661,346,1919,623,4288,1117,1930,626,946,416,574,352,237,209,10223,1479,930,442,1592,630,3179,797,2906,723,534,321,846,371,236,199,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,469112,11527,227674,8403,11398,1329,26309,2884,56447,4100,62475,4458,18146,2296,36710,2955,16189,1880,241438,7326,11685,1845,24516,2712,51300,3967,66364,4314,23995,2845,41261,2935,22317,2457,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,44807,3529,22089,2234,1372,651,1402,520,7171,1398,4863,1092,1268,611,4573,1022,1440,592,22718,2412,454,277,1816,882,5276,1040,7265,1396,2000,633,4250,986,1657,590,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,24775,3229,11494,2018,544,305,926,484,3008,1028,2756,900,1007,590,1630,581,1623,668,13281,2009,614,427,905,454,3132,864,3462,902,1226,509,2113,678,1829,701,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,4438,940,1405,515,82,105,188,169,414,288,181,141,114,141,307,189,119,139,3033,756,19,31,377,277,761,363,726,286,468,327,550,364,132,137,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,4687,1232,1652,677,57,92,305,236,163,192,203,157,228,299,365,333,331,225,3035,868,80,135,129,158,572,385,392,253,66,111,688,401,1108,492,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,148106,7754,75276,4743,5435,1477,8487,1575,20463,2787,16102,1890,7237,1524,12642,2119,4910,1110,72830,4714,5487,1175,7685,1522,19608,2391,15723,2414,7527,1334,11427,1562,5373,966,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
