GEO_ID,C17009_001E,C17009_001M,C17009_002E,C17009_002M,C17009_003E,C17009_003M,C17009_004E,C17009_004M,C17009_005E,C17009_005M,C17009_006E,C17009_006M,C17009_007E,C17009_007M,C17009_008E,C17009_008M,C17009_009E,C17009_009M,NAME,C17009_001EA,C17009_001MA,C17009_002EA,C17009_002MA,C17009_003EA,C17009_003MA,C17009_004EA,C17009_004MA,C17009_005EA,C17009_005MA,C17009_006EA,C17009_006MA,C17009_007EA,C17009_007MA,C17009_008MA,C17009_008EA,C17009_009EA,C17009_009MA,state
0400000US01,738543,14726,234453,9793,10285,1823,81034,4742,143134,7155,504090,11356,250592,8542,104746,5229,148752,5636,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,121274,6833,23354,2740,920,480,12670,1715,9764,1752,97920,6114,44160,4067,38726,3204,15034,1796,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1141091,21177,265240,11732,13149,2185,108022,7432,144069,7820,875851,16923,482796,13200,193616,7507,199439,6279,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,459958,10759,144695,6708,5903,1213,53397,5085,85395,4713,315263,8127,147307,6799,71617,3859,96339,3980,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6304706,41884,1449262,25611,69555,5875,566973,14548,812734,17035,4855444,38076,2488093,30784,1285755,21529,1081596,14411,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,938139,17237,207841,7892,10528,2000,103032,6648,94281,5240,730298,14305,403781,11154,202506,7309,124011,4066,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,598176,11296,109964,5791,4098,1261,42195,3901,63671,3849,488212,10531,252205,8292,114473,6889,121534,3810,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,156518,6310,34532,3385,1272,506,13596,1612,19664,2582,121986,5776,67236,4691,25692,2541,29058,2130,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,198347,6451,41521,3607,1492,638,15766,2187,24263,2768,156826,5638,97811,4926,36814,2857,22201,1906,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3533692,29855,803842,15736,36390,3445,279902,10462,487550,11370,2729850,26274,1414915,22267,577941,11150,736994,12162,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1572043,22467,411453,12406,25507,3353,154088,7638,231858,8181,1160590,19418,681937,14963,265232,9964,213421,6724,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,213812,7885,45717,4496,2088,904,14895,2278,28734,3519,168095,6687,91569,5218,40734,2999,35792,2718,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,239850,8582,63227,4343,4042,984,31384,3356,27801,2602,176623,6549,89518,5314,47266,3355,39839,2628,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2173269,23501,496130,10616,19693,2492,201343,8161,275094,8492,1677139,21031,897070,16117,384118,11401,395951,6986,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1091475,16028,271441,9020,10729,1651,122970,6098,137742,5425,820034,13695,420556,10205,190667,6670,208811,5404,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,552527,7857,135898,6360,7167,1226,72511,5149,56220,3620,416629,7154,208895,6431,97986,3864,109748,4191,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,494109,10621,128452,5742,8288,1627,67458,4633,52706,3546,365657,9783,199634,8005,76689,4385,89334,3429,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,723236,14449,220596,6717,9060,1550,71702,4876,139834,5375,502640,12388,252859,9111,110095,5316,139686,5351,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,682590,14993,221137,8040,12611,2014,84550,5122,123976,5245,461453,11323,226352,8977,120354,5865,114747,4920,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,273559,7778,71937,4009,2624,820,28536,2758,40777,2915,201622,7081,100610,5288,48217,3185,52795,3038,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
