GEO_ID,B15002F_001E,B15002F_001M,B15002F_002E,B15002F_002M,B15002F_003E,B15002F_003M,B15002F_004E,B15002F_004M,B15002F_005E,B15002F_005M,B15002F_006E,B15002F_006M,B15002F_007E,B15002F_007M,B15002F_008E,B15002F_008M,B15002F_009E,B15002F_009M,B15002F_010E,B15002F_010M,B15002F_011E,B15002F_011M,B15002F_012E,B15002F_012M,B15002F_013E,B15002F_013M,B15002F_014E,B15002F_014M,B15002F_015E,B15002F_015M,B15002F_016E,B15002F_016M,B15002F_017E,B15002F_017M,NAME,B15002F_001MA,B15002F_001EA,B15002F_002MA,B15002F_002EA,B15002F_003MA,B15002F_003EA,B15002F_004EA,B15002F_004MA,B15002F_005EA,B15002F_005MA,B15002F_006MA,B15002F_006EA,B15002F_007MA,B15002F_007EA,B15002F_008MA,B15002F_008EA,B15002F_009MA,B15002F_009EA,B15002F_010EA,B15002F_010MA,B15002F_011EA,B15002F_011MA,B15002F_012MA,B15002F_012EA,B15002F_013MA,B15002F_013EA,B15002F_014MA,B15002F_014EA,B15002F_015EA,B15002F_015MA,B15002F_016EA,B15002F_016MA,B15002F_017MA,B15002F_017EA,state
0400000US01,16568,2232,9679,1611,2995,948,1493,712,2540,850,1408,522,382,262,510,331,351,294,6889,1039,1554,545,1273,718,1747,534,888,439,348,222,997,470,82,100,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7821,1529,3697,1101,70,84,475,328,1668,682,949,556,0,235,228,200,307,342,4124,1082,756,721,173,168,1555,542,368,261,246,246,593,398,433,404,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,341081,10420,177068,6960,34327,3191,33051,3364,54625,3946,30981,3070,10498,2121,10031,1636,3555,1173,164013,5237,30143,2385,26937,3074,51404,3413,29212,2800,11782,1675,9741,1571,4794,1140,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,34592,3511,20200,2646,7195,1461,4792,1397,4880,1483,2011,838,99,140,781,549,442,351,14392,1657,4114,937,2797,814,3779,1143,2189,741,147,137,1045,458,321,198,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3410981,29302,1754324,16858,460584,12981,323418,11739,522133,13953,237413,8323,74572,4807,97255,5887,38949,3188,1656657,16487,452534,10926,269207,9045,452727,11660,251446,8254,88678,4685,105916,5972,36149,3419,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,190639,8135,103175,5489,20975,2615,20840,2453,32950,3313,14347,2081,5482,1266,5980,1304,2601,669,87464,3992,16496,1915,15628,1796,26895,2819,13707,1688,4537,1017,7666,1364,2535,672,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,102653,5988,53004,3837,10173,2246,9130,1715,19939,2709,7312,1520,2051,935,2992,872,1407,676,49649,3378,7308,1382,7655,1346,16931,2216,8735,1618,3221,912,4062,1012,1737,683,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,11882,2274,6730,1473,2886,1054,777,388,1633,886,821,503,214,250,208,192,191,192,5152,1144,1151,743,704,397,1883,674,283,227,255,206,635,433,241,210,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,17656,2122,10485,1223,3982,1318,1544,815,1923,942,782,487,179,250,542,461,1533,758,7171,1197,2245,768,708,414,934,647,303,245,403,430,1105,553,1473,859,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,449537,15719,234198,9226,45769,4717,29708,3208,72321,4897,34257,3445,14605,2573,25905,3171,11633,2018,215339,8668,36091,3635,22810,2771,62448,4686,35051,3298,17922,2170,29445,3361,11572,2000,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,190076,7486,119117,5257,36712,3643,21127,3146,32198,3486,11792,2128,4421,1411,9017,2212,3850,1165,70959,4091,15461,2252,15940,2237,18931,2658,7338,1589,2555,1091,7574,2093,3160,1257,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
