GEO_ID,B06004G_001E,B06004G_001M,B06004G_002E,B06004G_002M,B06004G_003E,B06004G_003M,B06004G_004E,B06004G_004M,B06004G_005E,B06004G_005M,NAME,B06004G_001EA,B06004G_001MA,B06004G_002MA,B06004G_002EA,B06004G_003MA,B06004G_003EA,B06004G_004EA,B06004G_004MA,B06004G_005MA,B06004G_005EA,state
0400000US01,47043,4036,29333,3343,14777,2127,1423,630,1510,572,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,54509,4888,35801,3877,16809,2511,1304,456,595,388,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,150271,10832,76166,6918,60890,5747,4087,1029,9128,1811,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,43704,4292,25730,3145,16052,2696,945,473,977,533,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1211445,26548,908046,22446,181360,8437,27252,2514,94787,6380,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,125077,7048,72047,5619,43657,4103,3699,1257,5674,1579,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,63188,5676,40941,4774,13753,1827,2858,923,5636,1558,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,12290,2043,7383,1591,3943,965,409,316,555,510,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8970,2349,3208,1263,4737,1688,233,229,792,455,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,316887,13353,125493,7643,102942,5873,20496,2977,67956,7481,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,117895,9171,55110,5950,46775,5903,5319,1340,10691,2171,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,276780,11664,233264,11206,31422,3245,7094,1454,5000,1891,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,31453,2359,13993,1816,15492,1716,1230,662,738,572,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,199857,10350,143077,7701,34145,3233,4536,1255,18099,3222,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,89236,5312,58325,4057,25970,2398,1348,544,3593,1156,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,41207,3522,26075,2823,13105,2045,612,313,1415,652,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,70125,4491,46563,3758,19240,1999,1106,444,3216,1016,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,49373,5034,31488,4175,14946,2039,1048,589,1891,933,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,41526,4168,30957,3543,8892,1621,670,418,1007,520,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,18778,2275,10693,1478,6957,1426,699,459,429,276,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,106194,6638,54388,4054,38302,4050,4265,1187,9239,1978,Maryland,null,null,null,null,null,null,null,null,null,null,24
0400000US25,110023,7015,64751,4953,22170,3233,5685,1477,17417,3066,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
0400000US26,178944,7401,137800,6559,31547,2682,3620,1096,5977,1615,Michigan,null,null,null,null,null,null,null,null,null,null,26
0400000US27,84361,5366,61500,4392,18140,2356,1063,414,3658,1022,Minnesota,null,null,null,null,null,null,null,null,null,null,27
0400000US28,20929,3035,11128,1967,8452,1684,489,395,860,507,Mississippi,null,null,null,null,null,null,null,null,null,null,28
0400000US29,102895,6432,62416,4789,35453,3835,1438,635,3588,1551,Missouri,null,null,null,null,null,null,null,null,null,null,29
0400000US30,18884,2764,10201,1867,8121,1645,458,290,104,110,Montana,null,null,null,null,null,null,null,null,null,null,30
0400000US31,26530,2825,15713,2167,9430,1414,685,457,702,348,Nebraska,null,null,null,null,null,null,null,null,null,null,31
0400000US32,79581,7193,31907,3952,40434,4608,2813,915,4427,1141,Nevada,null,null,null,null,null,null,null,null,null,null,32
0400000US33,11013,1491,6016,1198,4384,1015,238,205,375,307,New Hampshire,null,null,null,null,null,null,null,null,null,null,33
0400000US34,128776,8233,71247,6056,29488,3098,5664,1386,22377,3564,New Jersey,null,null,null,null,null,null,null,null,null,null,34
0400000US35,62880,5738,42697,4280,17129,2661,741,381,2313,1178,New Mexico,null,null,null,null,null,null,null,null,null,null,35
0400000US36,335893,13493,221320,9326,41906,3701,15792,2321,56875,6140,New York,null,null,null,null,null,null,null,null,null,null,36
