GEO_ID,B05003I_001E,B05003I_001M,B05003I_002E,B05003I_002M,B05003I_003E,B05003I_003M,B05003I_004E,B05003I_004M,B05003I_005E,B05003I_005M,B05003I_006E,B05003I_006M,B05003I_007E,B05003I_007M,B05003I_008E,B05003I_008M,B05003I_009E,B05003I_009M,B05003I_010E,B05003I_010M,B05003I_011E,B05003I_011M,B05003I_012E,B05003I_012M,B05003I_013E,B05003I_013M,B05003I_014E,B05003I_014M,B05003I_015E,B05003I_015M,B05003I_016E,B05003I_016M,B05003I_017E,B05003I_017M,B05003I_018E,B05003I_018M,B05003I_019E,B05003I_019M,B05003I_020E,B05003I_020M,B05003I_021E,B05003I_021M,B05003I_022E,B05003I_022M,B05003I_023E,B05003I_023M,NAME,B05003I_001MA,B05003I_001EA,B05003I_002MA,B05003I_002EA,B05003I_003EA,B05003I_003MA,B05003I_004MA,B05003I_004EA,B05003I_005EA,B05003I_005MA,B05003I_006EA,B05003I_006MA,B05003I_007MA,B05003I_007EA,B05003I_008MA,B05003I_008EA,B05003I_009EA,B05003I_009MA,B05003I_010MA,B05003I_010EA,B05003I_011EA,B05003I_011MA,B05003I_012MA,B05003I_012EA,B05003I_013MA,B05003I_013EA,B05003I_014EA,B05003I_014MA,B05003I_015MA,B05003I_015EA,B05003I_016EA,B05003I_016MA,B05003I_017EA,B05003I_017MA,B05003I_018MA,B05003I_018EA,B05003I_019MA,B05003I_019EA,B05003I_020EA,B05003I_020MA,B05003I_021EA,B05003I_021MA,B05003I_022EA,B05003I_022MA,B05003I_023MA,B05003I_023EA,state
0400000US01,111432,1722,61200,2117,21450,1841,17077,1829,4373,1219,340,321,4033,1203,39750,1597,10669,1313,29081,1582,2411,806,26670,1555,50232,2071,18976,1535,15764,1688,3212,869,217,223,2995,902,31256,1377,11294,1740,19962,1514,2156,739,17806,1571,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,37498,854,19913,1200,6560,706,6183,632,377,295,67,115,310,267,13353,875,8194,1158,5159,1152,2041,824,3118,902,17585,976,6511,873,6023,870,488,433,0,235,488,433,11074,506,6960,1136,4114,929,1359,377,2755,927,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1803377,0,935846,1259,345794,1222,304302,4041,41492,3982,3149,1049,38343,4088,590052,442,270400,7089,319652,7052,61070,4222,258582,7647,867531,1259,329519,1224,289700,4549,39819,4326,3235,1118,36584,3970,538012,444,279144,7560,258868,7608,66911,4422,191957,6494,Arizona,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,138283,1791,75752,2189,26249,1343,22612,1306,3637,996,51,86,3586,992,49503,1675,12122,1815,37381,2148,6734,1331,30647,1900,62531,1946,26309,1148,22592,1507,3717,937,418,339,3299,830,36222,1411,12355,1381,23867,1482,4084,896,19783,1680,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,13074155,0,6720061,2237,2351188,1891,2133559,11585,217629,11558,17645,2717,199984,10921,4368873,1188,1744968,19906,2623905,19944,724318,14945,1899587,20797,6354094,2237,2247515,1893,2044673,9163,202842,8991,18364,2691,184478,8739,4106579,1174,1760466,19583,2346113,19599,760054,15070,1586059,21279,California,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,934410,0,490850,1528,165452,1398,147520,2822,17932,2371,746,483,17186,2196,325398,721,183170,6075,142228,6070,22447,3078,119781,6149,443560,1527,158954,1474,141251,2773,17703,2302,438,230,17265,2268,284606,792,179705,4307,104901,4354,19793,2279,85108,4268,Colorado,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,391935,0,197790,946,64807,668,59756,1308,5051,1149,1217,679,3834,990,132983,632,79011,3450,53972,3436,16840,2375,37132,3398,194145,946,62759,668,57295,1370,5464,1252,1885,721,3579,1115,131386,631,89996,2790,41390,2657,15796,2015,25594,2197,Connecticut,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,53836,0,28843,907,10806,760,9778,1064,1028,704,176,211,852,675,18037,388,6303,1071,11734,936,2948,1152,8786,1261,24993,906,9236,759,8332,862,904,475,77,139,827,478,15757,387,7227,1050,8530,1029,1647,645,6883,1036,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,47775,0,25075,0,5673,0,4101,904,1572,904,152,186,1420,862,19402,0,4394,1088,15008,1088,2305,803,12703,1316,22700,0,5399,0,4500,605,899,605,0,292,899,605,17301,0,5963,972,11338,973,3274,618,8064,1124,District of Columbia,*****,null,*****,null,null,*****,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,*****,null,null,*****,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,11
0400000US12,3642989,1791,1842989,3011,490983,2254,416354,5047,74629,4921,8392,1510,66237,4930,1352006,2826,454560,10874,897446,11218,344679,8592,552767,11954,1800000,2608,466154,2149,394075,5225,72079,4744,8979,1634,63100,4565,1333846,2160,474990,9406,858856,9824,410830,10039,448026,11942,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
