GEO_ID,B20017I_001E,B20017I_001M,B20017I_002E,B20017I_002M,B20017I_003E,B20017I_003M,B20017I_004E,B20017I_004M,B20017I_005E,B20017I_005M,B20017I_006E,B20017I_006M,B20017I_007E,B20017I_007M,NAME,B20017I_001EA,B20017I_001MA,B20017I_002MA,B20017I_002EA,B20017I_003MA,B20017I_003EA,B20017I_004MA,B20017I_004EA,B20017I_005EA,B20017I_005MA,B20017I_006EA,B20017I_006MA,B20017I_007MA,B20017I_007EA,state
0400000US01,15680,760,16579,894,19415,1199,9084,1459,13690,1527,18205,2061,6847,1365,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,22889,3665,27346,4211,31637,4003,20571,6237,16783,3033,26165,8924,11017,3369,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,21119,332,23926,623,27969,774,10529,826,16556,351,24704,942,8407,558,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,17849,912,19217,995,21367,877,12078,1433,14308,1603,20533,739,6006,1442,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,20900,144,23375,240,29061,450,12493,266,16588,179,25342,336,9296,176,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,20961,436,23284,973,29537,1328,12205,700,16263,791,26650,749,8612,701,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,22013,692,25454,1090,32053,1406,11688,842,19617,1143,29959,2061,11108,653,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,20840,1336,22374,2183,27702,7538,9763,3225,16800,1720,23518,5103,7467,3528,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,26083,1197,26889,1298,32091,5118,13012,4492,23510,4508,30603,9418,13331,4423,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,22275,220,25170,318,29319,599,12874,874,18925,450,25246,511,10557,233,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,19505,750,21059,594,23850,1104,12153,827,15483,625,21278,931,9417,908,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,24508,1847,27298,2740,36291,2913,15193,3492,20855,1458,26841,1977,9458,1908,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,18088,1645,22300,1396,25667,1342,11662,1432,12374,1269,21345,2202,8364,877,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,21683,343,25050,609,29082,1196,13462,856,17005,526,24742,926,8613,585,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,18893,935,20900,947,26288,831,11295,548,15379,990,23662,1402,7193,801,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,19149,1134,21268,870,26267,734,10269,1883,15411,1584,23059,1847,7944,2012,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,19816,1125,22236,1106,25699,849,10121,1336,15092,1244,25389,1535,7716,1095,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,17443,1770,18304,2146,24616,2774,9434,1754,13913,3694,26558,1794,6940,1718,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,20280,1328,22348,2771,30231,3806,12295,1983,14703,1974,26069,3987,7458,1833,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,17797,2797,18360,5244,33701,6289,8108,5082,16551,4593,33767,17216,12101,5576,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,25010,1312,27589,2043,32301,2710,15094,1330,19981,1679,28393,3678,10912,1064,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
