GEO_ID,C15002D_001E,C15002D_001M,C15002D_002E,C15002D_002M,C15002D_003E,C15002D_003M,C15002D_004E,C15002D_004M,C15002D_005E,C15002D_005M,C15002D_006E,C15002D_006M,C15002D_007E,C15002D_007M,C15002D_008E,C15002D_008M,C15002D_009E,C15002D_009M,C15002D_010E,C15002D_010M,C15002D_011E,C15002D_011M,NAME,C15002D_001MA,C15002D_001EA,C15002D_002MA,C15002D_002EA,C15002D_003EA,C15002D_003MA,C15002D_004MA,C15002D_004EA,C15002D_005MA,C15002D_005EA,C15002D_006EA,C15002D_006MA,C15002D_007MA,C15002D_007EA,C15002D_008EA,C15002D_008MA,C15002D_009MA,C15002D_009EA,C15002D_010MA,C15002D_010EA,C15002D_011EA,C15002D_011MA,state
0400000US01,28848,2186,13329,1570,2147,962,2198,971,1318,598,7666,1223,15519,1258,2837,694,2787,801,2730,708,7165,1039,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,20286,1124,9036,966,2462,758,1753,805,2608,765,2213,603,11250,857,2358,722,2216,643,3569,832,3107,828,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,99453,1623,45702,989,4772,1147,6742,1650,10057,1593,24131,2288,53751,1176,8066,1242,11729,1841,10905,1610,23051,1977,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,17486,1414,7354,1022,665,372,1362,568,2216,850,3111,750,10132,850,3002,734,1819,703,1656,557,3655,812,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3094983,8284,1444868,5116,173851,6280,222337,8076,333407,9812,715273,9115,1650115,5437,270502,8469,276624,9609,355298,9633,747691,10688,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,87948,2449,40513,1814,4527,1100,7022,1441,7440,1375,21524,2074,47435,1621,7758,1288,10520,1452,9409,1323,19748,1698,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,77310,1760,37292,1403,3450,869,6418,1431,3361,842,24063,1921,40018,990,5079,992,5282,1132,6679,1425,22978,1601,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,16445,750,7844,523,402,266,1080,816,1029,362,5333,863,8601,440,928,396,971,453,1707,572,4995,692,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,14873,582,6704,683,806,479,852,566,432,488,4614,1028,8169,394,818,392,1053,578,751,369,5547,677,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,269581,3626,123072,2224,14495,1972,23135,2781,24419,2466,61023,2950,146509,2307,26257,2163,30094,2521,27999,2546,62159,3125,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
