GEO_ID,C19101H_001E,C19101H_001M,C19101H_002E,C19101H_002M,C19101H_003E,C19101H_003M,C19101H_004E,C19101H_004M,C19101H_005E,C19101H_005M,C19101H_006E,C19101H_006M,C19101H_007E,C19101H_007M,C19101H_008E,C19101H_008M,C19101H_009E,C19101H_009M,C19101H_010E,C19101H_010M,C19101H_011E,C19101H_011M,NAME,C19101H_001EA,C19101H_001MA,C19101H_002EA,C19101H_002MA,C19101H_003MA,C19101H_003EA,C19101H_004MA,C19101H_004EA,C19101H_005MA,C19101H_005EA,C19101H_006EA,C19101H_006MA,C19101H_007EA,C19101H_007MA,C19101H_008MA,C19101H_008EA,C19101H_009MA,C19101H_009EA,C19101H_010MA,C19101H_010EA,C19101H_011EA,C19101H_011MA,state
0400000US01,884073,9237,38135,3434,29335,2489,81365,3826,98028,4708,139106,5032,199707,7022,127876,4950,108958,4799,31454,2404,30109,2359,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,112684,3563,2722,751,2127,810,4162,862,7129,1118,13714,1809,24016,1914,21747,2144,22752,1932,8716,1113,5599,945,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,970760,9700,26789,2760,21605,2675,65640,4432,88846,4084,148257,5097,208015,7274,154547,5022,154409,5267,53431,3434,49221,3053,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,598954,7494,27229,2854,24346,2455,71140,3918,77677,4688,105548,4682,131628,4873,75790,3686,55672,2822,15587,1711,14337,1553,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3968795,16536,94743,4812,74210,4816,227632,8236,252032,7873,422892,8771,728176,11803,615592,11248,810470,11798,344860,7320,398188,9079,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,899242,8455,22997,2459,17669,2419,48314,3279,66596,3956,114224,4621,191082,6457,155943,6112,166119,5197,59645,3406,56653,3131,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,690594,6744,10235,1526,9318,1668,26513,2289,41514,2980,68401,3797,128410,3903,124410,4960,149615,5161,59667,3270,72511,3389,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,154227,3678,3664,1066,2048,618,9046,1387,13125,1332,23215,2231,32956,2171,26194,2042,28891,2217,7868,1076,7220,1130,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,29856,2074,391,321,224,145,317,243,610,328,790,356,2119,652,2627,629,6086,1039,5249,981,11443,1443,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2986500,17183,89927,5633,71740,3909,237637,7736,293788,8686,463582,9454,673675,10572,437329,9673,425687,10137,135456,6287,157679,4800,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
