GEO_ID,C25093_001E,C25093_001M,C25093_002E,C25093_002M,C25093_003E,C25093_003M,C25093_004E,C25093_004M,C25093_005E,C25093_005M,C25093_006E,C25093_006M,C25093_007E,C25093_007M,C25093_008E,C25093_008M,C25093_009E,C25093_009M,C25093_010E,C25093_010M,C25093_011E,C25093_011M,C25093_012E,C25093_012M,C25093_013E,C25093_013M,C25093_014E,C25093_014M,C25093_015E,C25093_015M,C25093_016E,C25093_016M,C25093_017E,C25093_017M,NAME,C25093_001EA,C25093_001MA,C25093_002EA,C25093_002MA,C25093_003EA,C25093_003MA,C25093_004MA,C25093_004EA,C25093_005MA,C25093_005EA,C25093_006MA,C25093_006EA,C25093_007EA,C25093_007MA,C25093_008EA,C25093_008MA,C25093_009EA,C25093_009MA,C25093_010EA,C25093_010MA,C25093_011MA,C25093_011EA,C25093_012EA,C25093_012MA,C25093_013EA,C25093_013MA,C25093_014EA,C25093_014MA,C25093_015EA,C25093_015MA,C25093_016MA,C25093_016EA,C25093_017MA,C25093_017EA,state
0400000US01,1289272,11970,22836,2479,13971,1900,8550,1562,315,221,139074,5440,103304,4733,34035,3353,1735,980,798363,8300,614708,7155,176975,5484,6680,1245,328999,4828,246640,4616,81248,3681,1111,415,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,148249,3302,2082,716,1278,577,804,361,0,235,15752,1660,10064,1467,5572,1194,116,190,109767,3040,80524,2884,28995,2630,248,217,20648,1135,16021,1026,4595,775,32,54,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1523041,12956,24888,2577,11904,1829,12361,1768,623,415,194645,6847,113049,5016,79882,4632,1714,895,906368,10056,627890,7767,270649,7116,7829,1473,397140,4955,298766,4520,95950,4538,2424,720,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,753412,8763,15887,1919,11028,1583,4796,1053,63,105,82804,3795,64718,3470,17740,2047,346,339,450582,6438,357218,6976,89618,5002,3746,1077,204139,4118,159504,3421,43779,2793,856,400,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7102197,26399,59450,4628,20623,2623,37519,3329,1308,570,698201,11055,275257,8419,420664,9691,2280,705,4676284,24408,2573084,21619,2076314,20281,26886,2819,1668262,11616,1123652,12546,536528,8970,8082,1286,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1269421,10162,15103,1711,6282,1079,8693,1407,128,175,173801,5425,102852,4108,70397,4230,552,427,842978,8664,569897,9370,269589,7144,3492,846,237539,4553,170147,4231,65761,3279,1631,791,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,921382,7687,7417,1562,3297,1092,4120,1120,0,269,87737,4007,51045,3693,36273,2858,419,374,615755,6584,410985,6196,202898,5759,1872,706,210473,3494,132075,3545,77234,3127,1164,522,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,238194,3604,3827,963,2210,785,1617,650,0,261,27045,1789,17659,1863,9386,1542,0,261,147731,3062,110996,3089,36278,2361,457,285,59591,1655,46671,1657,12854,1631,66,91,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,114586,3453,689,355,161,189,528,332,0,292,14213,1450,9115,1300,4992,1155,106,127,68830,3155,45819,2723,22150,2043,861,423,30854,1953,21194,1591,9555,1157,105,89,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4994101,23446,60863,4553,26008,2930,33716,3618,1139,618,477875,9589,258801,7627,215890,7607,3184,1065,2910848,18002,1824596,14717,1058181,13475,28071,2846,1544515,10662,1051299,12354,480838,10681,12378,1896,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2285179,17167,28951,2923,15300,2246,12887,1984,764,486,295296,7111,198943,6448,94971,5166,1382,627,1509706,12167,1083815,12189,413087,9903,12804,1880,451226,6128,326491,6472,122885,4366,1850,566,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,257599,4950,2228,848,648,344,1428,714,152,206,19764,2245,9563,1913,10201,1797,0,267,157346,4511,98002,4008,58400,3569,944,588,78261,2145,58631,2127,19267,1857,363,300,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,390982,4444,9075,1410,6336,1257,2739,693,0,253,53764,2604,35589,2493,18084,2037,91,162,239800,3664,174241,4187,64571,3321,988,453,88343,2227,66244,2301,21318,1598,781,459,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3301367,17286,42012,3419,21116,2554,20298,2238,598,421,413204,7473,251936,7694,159117,6303,2151,722,2092326,11683,1423520,12480,657864,10532,10942,1832,753825,8003,522586,7049,227816,5784,3423,751,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1756328,13334,29489,3023,18287,2030,11070,1866,132,212,229511,5987,173469,5505,54997,3551,1045,518,1093295,9816,851939,10122,235849,7387,5507,1031,404033,4224,305385,4756,96763,3414,1885,600,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,885969,8474,21192,2057,13079,1606,7642,1350,471,485,110078,3444,84168,3411,25820,2141,90,106,530474,4670,426891,5530,102436,4195,1147,411,224225,2954,174353,3062,48776,2737,1096,362,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,761022,7416,16435,1951,10856,1630,5516,947,63,109,89432,3721,65906,3196,23274,2293,252,262,473729,5749,376354,6128,95474,4787,1901,731,181426,2947,140936,2810,39488,2557,1002,441,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1167081,10490,17749,2070,11758,1580,5739,1367,252,189,137982,4880,105383,4516,32021,2842,578,393,730380,7770,569783,7948,155993,6086,4604,1100,280970,4343,217132,4388,62638,3026,1200,464,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
