GEO_ID,B10054_001E,B10054_001M,B10054_002E,B10054_002M,B10054_003E,B10054_003M,B10054_004E,B10054_004M,B10054_005E,B10054_005M,B10054_006E,B10054_006M,B10054_007E,B10054_007M,B10054_008E,B10054_008M,B10054_009E,B10054_009M,B10054_010E,B10054_010M,B10054_011E,B10054_011M,B10054_012E,B10054_012M,B10054_013E,B10054_013M,B10054_014E,B10054_014M,B10054_015E,B10054_015M,B10054_016E,B10054_016M,B10054_017E,B10054_017M,NAME,B10054_001MA,B10054_001EA,B10054_002MA,B10054_002EA,B10054_003EA,B10054_003MA,B10054_004EA,B10054_004MA,B10054_005EA,B10054_005MA,B10054_006MA,B10054_006EA,B10054_007MA,B10054_007EA,B10054_008EA,B10054_008MA,B10054_009EA,B10054_009MA,B10054_010EA,B10054_010MA,B10054_011EA,B10054_011MA,B10054_012MA,B10054_012EA,B10054_013MA,B10054_013EA,B10054_014EA,B10054_014MA,B10054_015EA,B10054_015MA,B10054_016EA,B10054_016MA,B10054_017MA,B10054_017EA,state
0400000US01,112765,6610,109909,6625,63822,4300,44747,3813,19075,2452,46087,4103,2856,856,983,378,567,294,457,270,110,123,416,249,1873,782,271,196,271,196,0,265,1602,778,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15714,2576,10428,2395,3724,1102,2160,884,1564,739,6704,2006,5286,853,1832,435,1017,283,604,197,413,255,815,368,3454,683,1654,563,436,211,1218,552,1800,588,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,132142,7426,66129,5107,29826,3467,19984,2841,9842,1739,36303,4041,66013,4636,27969,3470,13296,1982,9766,1773,3530,874,14673,2656,38044,3802,10840,2287,7084,1933,3756,984,27204,3109,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,66016,4472,62748,4318,39330,3598,28817,3214,10513,1437,23418,2780,3268,1225,905,550,305,250,230,160,75,124,600,423,2363,1051,513,472,408,453,105,121,1850,923,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,956156,16048,334071,11620,134606,6371,81043,5238,53563,4222,199465,8951,622085,13871,138756,7656,44171,4103,28089,3199,16082,2398,94585,6492,483329,12677,94293,6338,61007,5200,33286,4138,389036,11867,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,80235,5178,51561,3910,24428,2817,16524,2277,7904,1671,27133,3015,28674,3237,10761,2039,4964,1265,3107,1014,1857,729,5797,1613,17913,2539,5740,1723,4853,1513,887,556,12173,2166,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,51530,4571,34015,3052,11797,1856,7186,1328,4611,1041,22218,2426,17515,2895,5108,1408,1453,765,1277,748,176,171,3655,1203,12407,2130,3628,1146,2839,1078,789,451,8779,1933,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,16540,2410,13733,2181,5124,1393,3433,1113,1691,823,8609,1567,2807,1006,596,404,392,348,268,273,124,145,204,192,2211,946,91,107,36,68,55,90,2120,935,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,12185,1773,10738,1636,5869,1237,3325,905,2544,767,4869,1054,1447,861,462,351,99,119,0,292,99,119,363,338,985,716,131,165,0,292,131,165,854,699,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,367645,12348,234774,8273,107251,6146,69026,4333,38225,3701,127523,6652,132871,8354,33547,3133,11154,2256,8171,1713,2983,1470,22393,2673,99324,7443,23897,3289,12796,2238,11101,2458,75427,6687,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,204536,9377,180655,8071,90281,5621,63681,5065,26600,3089,90374,6418,23881,3366,6322,1452,2365,866,1880,762,485,429,3957,1326,17559,3111,2692,1104,1707,897,985,564,14867,2693,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,50597,4406,33898,3906,9351,1911,5422,1526,3929,1024,24547,3266,16699,2481,5384,1240,1512,631,912,494,600,332,3872,1036,11315,2260,1867,763,596,396,1271,557,9448,2016,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,19860,2265,17797,2185,9128,1516,6153,1368,2975,742,8669,1681,2063,690,1123,517,465,360,299,303,166,186,658,376,940,509,199,218,199,218,0,253,741,490,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,246604,10465,168897,7632,78354,4830,52846,3854,25508,2575,90543,5556,77707,5503,15290,2167,5017,1201,3797,1131,1220,614,10273,1768,62417,5225,16397,2512,11279,2035,5118,1530,46020,4501,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,103220,5990,95736,5753,48044,4021,34758,3343,13286,1971,47692,4261,7484,1275,2521,769,929,473,870,460,59,93,1592,678,4963,1238,1580,710,1331,613,249,311,3383,975,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,29517,2996,26739,2824,13520,1947,8992,1615,4528,1019,13219,1941,2778,810,758,360,415,273,267,174,148,155,343,239,2020,719,501,289,457,285,44,68,1519,641,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,37430,3102,29399,2556,15798,1747,11929,1527,3869,875,13601,1848,8031,1579,2703,888,1577,737,1379,690,198,239,1126,586,5328,1204,1625,682,1331,594,294,285,3703,1056,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,81726,5750,78591,5473,43761,4464,33001,3522,10760,2009,34830,2965,3135,913,1154,610,612,479,570,466,42,71,542,342,1981,633,931,487,680,376,251,221,1050,533,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,113099,6475,101826,6124,52835,4882,37775,3917,15060,1903,48991,4206,11273,1886,7052,1547,4271,1229,2294,876,1977,1046,2781,923,4221,1011,1123,547,659,373,464,395,3098,907,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,13489,1749,12751,1662,4979,1044,3559,867,1420,518,7772,1226,738,318,444,257,149,148,135,145,14,28,295,185,294,185,179,154,79,71,100,108,115,118,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
