GEO_ID,B18010_001E,B18010_001M,B18010_002E,B18010_002M,B18010_003E,B18010_003M,B18010_004E,B18010_004M,B18010_005E,B18010_005M,B18010_006E,B18010_006M,B18010_007E,B18010_007M,B18010_008E,B18010_008M,B18010_009E,B18010_009M,B18010_010E,B18010_010M,B18010_011E,B18010_011M,B18010_012E,B18010_012M,B18010_013E,B18010_013M,B18010_014E,B18010_014M,B18010_015E,B18010_015M,B18010_016E,B18010_016M,B18010_017E,B18010_017M,B18010_018E,B18010_018M,B18010_019E,B18010_019M,NAME,B18010_001MA,B18010_001EA,B18010_002MA,B18010_002EA,B18010_003MA,B18010_003EA,B18010_004EA,B18010_004MA,B18010_005MA,B18010_005EA,B18010_006MA,B18010_006EA,B18010_007MA,B18010_007EA,B18010_008MA,B18010_008EA,B18010_009EA,B18010_009MA,B18010_010MA,B18010_010EA,B18010_011MA,B18010_011EA,B18010_012MA,B18010_012EA,B18010_013MA,B18010_013EA,B18010_014MA,B18010_014EA,B18010_015EA,B18010_015MA,B18010_016MA,B18010_016EA,B18010_017MA,B18010_017EA,B18010_018MA,B18010_018EA,B18010_019MA,B18010_019EA,state
0400000US01,1019143,4401,98345,6369,18594,2512,6993,1405,11601,2031,79751,5705,31137,2966,28209,3418,17017,2579,3388,953,920798,7167,259626,7682,40435,3284,219191,7653,661172,8580,112627,5401,243906,8074,183402,6840,121237,6073,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,157743,2210,13778,2143,3193,955,1327,603,1866,821,10585,1839,1802,658,4488,1234,3761,1205,534,403,143965,3151,37836,2870,9148,1400,28688,2858,106129,3556,13956,1962,40173,2863,31595,2930,20405,2488,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1446643,4048,81918,4785,18533,2216,5210,1240,13323,1978,63385,4132,15939,2521,26937,2736,16053,2156,4456,1223,1364725,5986,337618,10997,53621,3363,283997,11693,1027107,12469,220291,8755,335847,12071,280408,11358,190561,8698,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,619891,4369,62555,4250,9530,1520,2087,675,7443,1614,53025,3778,14040,2205,27592,2978,9026,1608,2367,936,557336,6278,145569,6266,21854,2135,123715,5694,411767,6048,58847,3378,173916,6169,108619,4775,70385,4770,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8768514,7402,497341,11416,122816,6035,30530,3330,92286,5116,374525,10900,117495,5786,142168,7095,81855,4892,33007,3106,8271173,12827,2390165,21193,322589,8096,2067576,20864,5881008,21537,1305691,21205,1854703,26873,1375546,20854,1345068,17249,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1142203,4340,72137,4025,16186,2345,3275,923,12911,2190,55951,4025,13762,2250,21850,2870,14141,2043,6198,1329,1070066,5849,279404,8355,39205,2748,240199,7882,790662,9313,139544,7128,240791,9027,197188,6420,213139,6052,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,710546,2586,42600,3491,10813,1763,3664,944,7149,1320,31787,2824,5935,1045,13108,2181,8762,1622,3982,939,667946,4211,217749,5278,25585,2269,192164,5366,450197,6545,45684,3318,152685,7140,106556,5259,145272,5768,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,188453,1532,13344,2058,2812,862,806,429,2006,759,10532,1899,3662,1171,4172,1201,1299,502,1399,618,175109,2714,54049,2899,5948,1305,48101,2715,121060,3524,17972,2705,41235,3524,28155,2408,33698,2952,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,168088,4025,10224,1939,3445,1164,1100,788,2345,905,6779,1514,1665,769,2859,865,1077,652,1178,562,157864,4053,49106,4057,5482,1048,43624,4047,108758,3014,11431,2002,20887,2479,12992,1919,63448,2778,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3738983,7294,250581,9612,55564,4502,19525,2279,36039,3362,195017,8077,52644,4668,83259,5620,43093,4196,16021,2085,3488402,11924,922336,17167,144280,6921,778056,16399,2566066,17906,431290,14407,955860,17590,654285,14774,524631,11254,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
