GEO_ID,B19001I_001E,B19001I_001M,B19001I_002E,B19001I_002M,B19001I_003E,B19001I_003M,B19001I_004E,B19001I_004M,B19001I_005E,B19001I_005M,B19001I_006E,B19001I_006M,B19001I_007E,B19001I_007M,B19001I_008E,B19001I_008M,B19001I_009E,B19001I_009M,B19001I_010E,B19001I_010M,B19001I_011E,B19001I_011M,B19001I_012E,B19001I_012M,B19001I_013E,B19001I_013M,B19001I_014E,B19001I_014M,B19001I_015E,B19001I_015M,B19001I_016E,B19001I_016M,B19001I_017E,B19001I_017M,NAME,B19001I_001EA,B19001I_001MA,B19001I_002MA,B19001I_002EA,B19001I_003MA,B19001I_003EA,B19001I_004EA,B19001I_004MA,B19001I_005EA,B19001I_005MA,B19001I_006EA,B19001I_006MA,B19001I_007EA,B19001I_007MA,B19001I_008EA,B19001I_008MA,B19001I_009EA,B19001I_009MA,B19001I_010MA,B19001I_010EA,B19001I_011MA,B19001I_011EA,B19001I_012EA,B19001I_012MA,B19001I_013EA,B19001I_013MA,B19001I_014EA,B19001I_014MA,B19001I_015EA,B19001I_015MA,B19001I_016MA,B19001I_016EA,B19001I_017MA,B19001I_017EA,state
0400000US01,27266,2019,3470,1125,2810,966,2282,693,1507,643,2562,708,2280,740,1944,795,1520,578,1695,564,1814,629,1518,545,2048,660,428,245,372,224,396,252,620,389,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,9024,1129,435,412,460,323,741,453,572,403,387,370,484,360,400,340,370,237,335,346,594,333,1214,479,1746,607,413,281,295,241,450,350,128,122,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,469617,7026,39535,3668,29437,3386,35386,3070,40676,4128,34222,2780,37502,3194,34268,3212,27663,3216,23752,2581,40408,3402,47254,3844,40348,3012,19712,2213,8900,1575,6153,1355,4401,991,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,36920,1849,2749,970,2383,831,4819,1331,4378,1192,3627,1058,3135,1065,2626,899,2654,781,2266,792,2874,853,2731,741,1687,649,464,399,498,383,0,257,29,50,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3185439,15110,191305,6860,192319,6783,213492,8450,228530,7759,212902,8129,208559,7497,197326,7267,185442,7655,166093,6224,288311,8307,340032,8099,346241,9109,198350,8019,89332,5660,78044,4635,49161,4016,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,274600,5442,27734,2921,21781,2181,19526,2648,22421,2791,19218,2813,22874,3118,17359,2052,18545,2563,13005,2112,21616,2486,25244,2430,23931,2661,11952,1789,3627,858,3887,953,1880,673,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,119370,3445,16956,2011,8786,1872,8639,1721,10091,1832,6724,1499,6511,1478,7448,1589,6780,1632,4964,1215,7513,1572,11268,1986,10734,1802,4803,838,2491,783,2631,896,3031,925,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,13699,1224,1894,819,432,301,648,355,1853,742,537,361,765,445,864,462,690,578,706,442,1556,695,703,363,1423,690,1095,484,148,151,198,237,187,173,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,16152,1236,1393,680,851,464,433,371,1365,711,834,384,1526,761,1244,579,516,371,770,516,1269,692,1973,684,939,448,804,445,721,562,861,481,653,328,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1173378,10054,106390,5509,75950,5478,81787,5596,83032,5695,76804,5169,80205,4826,73908,5065,69847,4406,59187,4584,100096,5186,111545,6265,118282,5300,56332,3622,31528,3255,24542,2501,23943,2213,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
