GEO_ID,B08008_001E,B08008_001M,B08008_002E,B08008_002M,B08008_003E,B08008_003M,B08008_004E,B08008_004M,B08008_005E,B08008_005M,B08008_006E,B08008_006M,B08008_007E,B08008_007M,B08008_008E,B08008_008M,B08008_009E,B08008_009M,B08008_010E,B08008_010M,B08008_011E,B08008_011M,B08008_012E,B08008_012M,B08008_013E,B08008_013M,B08008_014E,B08008_014M,B08008_015E,B08008_015M,NAME,B08008_001EA,B08008_001MA,B08008_002EA,B08008_002MA,B08008_003EA,B08008_003MA,B08008_004EA,B08008_004MA,B08008_005EA,B08008_005MA,B08008_006EA,B08008_006MA,B08008_007EA,B08008_007MA,B08008_008EA,B08008_008MA,B08008_009EA,B08008_009MA,B08008_010EA,B08008_010MA,B08008_011EA,B08008_011MA,B08008_012MA,B08008_012EA,B08008_013EA,B08008_013MA,B08008_014EA,B08008_014MA,B08008_015MA,B08008_015EA,state
0400000US01,1964398,13741,1235513,15876,578403,11791,657110,12196,728885,13027,1059709,8879,654991,9035,285843,8062,369148,7631,404718,7756,904689,9095,580522,10479,292560,8177,287962,9033,324167,8057,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,317371,5843,288277,6374,222066,5361,66211,3555,29094,2981,170638,3779,154837,3855,116117,3883,38720,2674,15801,1846,146733,3962,133440,4295,105949,3278,27491,2480,13293,1731,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2731538,15079,2491426,16411,1232179,17026,1259247,18540,240112,10499,1534501,8769,1398733,10817,661135,10712,737598,11312,135768,6600,1197037,12403,1092693,12014,571044,12013,521649,11428,104344,5917,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1223692,11014,793240,12936,435558,12157,357682,10586,430452,11445,657446,7803,415782,8877,216563,8523,199219,7226,241664,6905,566246,7501,377458,7286,218995,6893,158463,5968,188788,6019,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,16335802,38058,15045105,40336,5780860,33831,9264245,38403,1290697,22547,9151822,25905,8415301,27757,3024945,26081,5390356,25297,736521,13845,7183980,27721,6629804,27067,2755915,23074,3873889,28044,554176,12113,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2392520,12946,1986737,14123,874412,11250,1112325,13867,405783,10108,1321983,9567,1098956,10036,451206,8818,647750,10065,223027,6396,1070537,9461,887781,10116,423206,8588,464575,10090,182756,5973,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1714985,11199,993981,11975,314881,8076,679100,12653,721004,10204,906786,7415,522144,8647,154276,5242,367868,8482,384642,6949,808199,8261,471837,7509,160605,5242,311232,7814,336362,6329,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,398315,6047,162990,6009,41352,3135,121638,5431,235325,7235,207409,4015,85449,3814,18663,2082,66786,3429,121960,4286,190906,4681,77541,3923,22689,2602,54852,3594,113365,4776,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,284007,4734,284007,4734,205362,6368,78645,4223,0,292,137849,3207,137849,3207,95981,4027,41868,2749,0,292,146158,3711,146158,3711,109381,4331,36777,2932,0,292,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8143041,27952,6056395,35036,1969068,26522,4087327,36285,2086646,22708,4419938,18469,3273085,22438,1032761,17328,2240324,23636,1146853,16308,3723103,20249,2783310,20532,936307,15853,1847003,19880,939793,13331,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4295479,20805,1856547,21233,783288,14038,1073259,18553,2438932,22198,2340525,13036,997472,13786,398673,10407,598799,14071,1343053,14672,1954954,15006,859075,13148,384615,9982,474460,9931,1095879,14456,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,629113,6949,560889,8312,246996,7826,313893,8741,68224,5235,341734,4650,304405,5295,129511,5223,174894,5591,37329,3067,287379,4551,256484,5049,117485,4596,138999,4969,30895,3083,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,674920,6270,455566,6804,246512,6461,209054,6407,219354,5691,377255,4021,248985,4903,120061,4565,128924,4642,128270,3951,297665,4835,206581,4204,126451,4350,80130,3581,91084,3580,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,5990729,17717,5163989,20553,1981042,21139,3182947,21888,826740,15004,3223562,12957,2768499,14625,995129,15254,1773370,14135,455063,9632,2767167,14719,2395490,14885,985913,14346,1409577,14573,371677,7904,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2951039,15265,1897977,17159,930607,13446,967370,12871,1053062,12979,1584781,10779,1002889,10401,459838,9617,543051,9298,581892,8432,1366258,11616,895088,11471,470769,8488,424319,8076,471170,8324,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1505469,9309,1166360,10841,613626,9701,552734,9616,339109,7920,796759,5605,608424,6515,296303,5413,312121,6677,188335,5077,708710,7271,557936,7101,317323,6394,240613,5844,150774,4198,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
