GEO_ID,B10060_001E,B10060_001M,B10060_002E,B10060_002M,B10060_003E,B10060_003M,B10060_004E,B10060_004M,B10060_005E,B10060_005M,B10060_006E,B10060_006M,B10060_007E,B10060_007M,B10060_008E,B10060_008M,B10060_009E,B10060_009M,B10060_010E,B10060_010M,B10060_011E,B10060_011M,B10060_012E,B10060_012M,B10060_013E,B10060_013M,B10060_014E,B10060_014M,B10060_015E,B10060_015M,B10060_016E,B10060_016M,NAME,B10060_001EA,B10060_001MA,B10060_002EA,B10060_002MA,B10060_003MA,B10060_003EA,B10060_004MA,B10060_004EA,B10060_005EA,B10060_005MA,B10060_006MA,B10060_006EA,B10060_007EA,B10060_007MA,B10060_008EA,B10060_008MA,B10060_009MA,B10060_009EA,B10060_010MA,B10060_010EA,B10060_011MA,B10060_011EA,B10060_012MA,B10060_012EA,B10060_013EA,B10060_013MA,B10060_014EA,B10060_014MA,B10060_015MA,B10060_015EA,B10060_016EA,B10060_016MA,state
0400000US01,112765,6610,88263,5713,50076,3865,34085,3086,15991,2280,38187,3710,5478,949,2959,744,1885,624,1074,451,2519,633,19024,3014,11625,2338,9505,2221,2120,663,7399,1637,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15714,2576,13787,2442,5535,1106,2856,759,2679,779,8252,2153,1375,679,759,481,344,305,415,388,616,393,552,406,101,124,0,235,101,124,451,349,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,132142,7426,108332,6285,42842,4610,28056,3587,14786,2193,65490,4935,9806,2117,4506,1244,3491,1038,1015,535,5300,1710,14004,2416,6614,1544,5287,1386,1327,589,7390,1961,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,66016,4472,51463,3701,29769,3176,21312,2598,8457,1385,21694,2637,3748,1035,2919,952,2430,977,489,266,829,543,10805,1956,7460,1488,5713,1294,1747,596,3345,1133,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,955536,16053,795945,14926,221961,8983,135927,7145,86034,5782,573984,12952,129282,7958,41327,4490,29400,4228,11927,2216,87955,6097,30309,3776,9582,1813,4695,1309,4887,1231,20727,2932,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,80134,5160,68819,4822,29264,3119,19661,2426,9603,2093,39555,3556,6561,1670,3060,973,2537,923,523,482,3501,1299,4754,1282,2707,1127,2286,1112,421,257,2047,783,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,51530,4571,37334,4006,10378,1715,6101,1287,4277,1119,26956,3245,14149,2594,6500,1649,5201,1440,1299,660,7649,2000,47,80,0,269,0,269,0,269,47,80,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,16540,2410,13895,2151,4348,1274,2923,1007,1425,705,9547,1637,819,574,665,555,320,295,345,464,154,154,1826,846,594,388,494,318,100,126,1232,685,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,12138,1762,8674,1424,4166,1018,2134,740,2032,719,4508,1208,3464,1057,1886,744,1191,636,695,419,1578,731,0,292,0,292,0,292,0,292,0,292,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,367593,12345,290016,11838,109650,6668,69014,4890,40636,4207,180366,9211,44615,4089,17726,2541,11629,1924,6097,1603,26889,3377,32962,3251,14874,2362,9350,1550,5524,1721,18088,2401,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
