GEO_ID,C08113_001E,C08113_001M,C08113_002E,C08113_002M,C08113_003E,C08113_003M,C08113_004E,C08113_004M,C08113_005E,C08113_005M,C08113_006E,C08113_006M,C08113_007E,C08113_007M,C08113_008E,C08113_008M,C08113_009E,C08113_009M,C08113_010E,C08113_010M,C08113_011E,C08113_011M,C08113_012E,C08113_012M,C08113_013E,C08113_013M,C08113_014E,C08113_014M,C08113_015E,C08113_015M,C08113_016E,C08113_016M,C08113_017E,C08113_017M,C08113_018E,C08113_018M,C08113_019E,C08113_019M,C08113_020E,C08113_020M,C08113_021E,C08113_021M,C08113_022E,C08113_022M,C08113_023E,C08113_023M,C08113_024E,C08113_024M,C08113_025E,C08113_025M,C08113_026E,C08113_026M,C08113_027E,C08113_027M,C08113_028E,C08113_028M,C08113_029E,C08113_029M,C08113_030E,C08113_030M,NAME,C08113_001MA,C08113_001EA,C08113_002EA,C08113_002MA,C08113_003EA,C08113_003MA,C08113_004MA,C08113_004EA,C08113_005MA,C08113_005EA,C08113_006MA,C08113_006EA,C08113_007EA,C08113_007MA,C08113_008EA,C08113_008MA,C08113_009MA,C08113_009EA,C08113_010MA,C08113_010EA,C08113_011MA,C08113_011EA,C08113_012EA,C08113_012MA,C08113_013EA,C08113_013MA,C08113_014EA,C08113_014MA,C08113_015MA,C08113_015EA,C08113_016MA,C08113_016EA,C08113_017EA,C08113_017MA,C08113_018EA,C08113_018MA,C08113_019EA,C08113_019MA,C08113_020MA,C08113_020EA,C08113_021MA,C08113_021EA,C08113_022EA,C08113_022MA,C08113_023EA,C08113_023MA,C08113_024EA,C08113_024MA,C08113_025MA,C08113_025EA,C08113_026MA,C08113_026EA,C08113_027EA,C08113_027MA,C08113_028EA,C08113_028MA,C08113_029EA,C08113_029MA,C08113_030MA,C08113_030EA,state
0400000US13,4295479,20805,3734420,21944,561059,9657,267266,8694,293793,9195,3360210,23388,3002228,23153,357982,10036,201179,7927,156803,7666,495940,14551,370376,10730,125564,8570,34769,3300,90795,8346,102465,6648,82557,5636,19908,3789,6139,1571,13769,3328,154331,7726,115757,6441,38574,4700,12502,2204,26072,4525,182533,7137,163502,6543,19031,2394,12677,2227,6354,1388,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,629113,6949,486686,8619,142427,6739,80344,4918,62083,5124,421604,8801,339025,8110,82579,5140,51745,4059,30834,3356,100904,6505,72653,5367,28251,3361,14466,2087,13785,2423,33929,3244,19756,2321,14173,2577,5577,1363,8596,2122,45514,3135,31895,2794,13619,2028,5999,1019,7620,1732,27162,2434,23357,2295,3805,1051,2557,870,1248,465,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,674920,6270,607103,6737,67817,4108,39013,3559,28804,2396,521018,7170,471229,7260,49789,3903,29654,3373,20135,2144,78670,4528,67846,4137,10824,1888,4967,1149,5857,1294,5575,1168,5440,1176,135,169,108,162,27,46,35783,3290,30834,3004,4949,1356,2773,959,2176,792,33874,2970,31754,2914,2120,629,1511,641,609,306,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,5990729,17717,4660312,20572,1330417,16638,691508,13562,638909,14949,4448322,21922,3553534,20099,894788,13487,495349,12691,399439,12353,558193,13085,358163,10353,200030,8137,67829,4704,132201,8190,506191,11595,371567,10212,134624,7818,73001,5229,61623,5176,259804,8784,189319,6971,70485,5407,36811,3761,33674,3956,218219,5775,187729,5040,30490,3143,18518,2598,11972,1854,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2951039,15265,2723589,14475,227450,6492,132050,6321,95400,4277,2431018,15623,2273832,14609,157186,5546,96930,4781,60256,3405,291072,8525,246142,8771,44930,3596,20273,2612,24657,2597,30578,2785,27132,2706,3446,951,1715,602,1731,700,104113,4981,88824,4549,15289,2506,8821,1651,6468,1632,94258,4901,87659,4781,6599,1255,4311,1051,2288,706,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1505469,9309,1414245,10128,91224,4279,47836,3251,43388,3284,1181155,9402,1119637,9739,61518,3520,34038,2855,27480,2605,162656,6188,144406,5741,18250,2275,7542,1428,10708,1628,14967,1750,11822,1553,3145,987,1246,660,1899,761,75198,3806,69949,3507,5249,1094,2606,560,2643,867,71493,3075,68431,3163,3062,864,2404,746,658,380,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1377119,10473,1234785,9309,142334,5174,78895,5354,63439,3956,1126064,12103,1020723,10534,105341,6140,63988,4952,41353,3554,127183,5980,102989,5011,24194,3164,8161,1710,16033,2659,7852,1644,6296,1271,1556,995,1379,976,177,223,56569,4064,48819,3591,7750,1982,2903,1012,4847,1695,59451,3586,55958,3293,3493,1010,2464,745,1029,564,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1837225,14466,1749771,13979,87454,4649,48519,3550,38935,3604,1497770,15761,1438879,15466,58891,3985,35465,3142,23426,2657,206857,7783,187819,7298,19038,2473,7719,1279,11319,2176,18677,2674,17071,2538,1606,617,654,447,952,613,54940,3996,50148,3759,4792,1226,3124,952,1668,793,58981,4174,55854,4183,3127,936,1557,660,1570,649,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1807758,14260,1652596,15296,155162,5946,104531,5814,50631,3758,1474301,15778,1363358,15262,110943,5961,82795,5185,28148,2912,210265,7683,180130,7353,30135,3664,12966,2095,17169,3003,20323,2487,17299,2095,3024,1401,1454,715,1570,1173,63171,3999,55253,3575,7918,1675,4806,1090,3112,1103,39698,3507,36556,3461,3142,944,2510,870,632,338,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,649045,7014,603445,6535,45600,3942,36088,3614,9512,1721,503356,7001,470641,6137,32715,3224,26137,2972,6578,1372,71364,4198,65065,4032,6299,1298,4877,1151,1422,650,4789,1266,4140,1083,649,426,202,182,447,374,37944,2750,33665,2633,4279,1050,3474,985,805,402,31592,2352,29934,2250,1658,594,1398,532,260,186,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
