GEO_ID,C06003_001E,C06003_001M,C06003_002E,C06003_002M,C06003_003E,C06003_003M,C06003_004E,C06003_004M,C06003_005E,C06003_005M,C06003_006E,C06003_006M,C06003_007E,C06003_007M,C06003_008E,C06003_008M,C06003_009E,C06003_009M,C06003_010E,C06003_010M,C06003_011E,C06003_011M,C06003_012E,C06003_012M,C06003_013E,C06003_013M,NAME,C06003_001EA,C06003_001MA,C06003_002MA,C06003_002EA,C06003_003EA,C06003_003MA,C06003_004EA,C06003_004MA,C06003_005MA,C06003_005EA,C06003_006MA,C06003_006EA,C06003_007EA,C06003_007MA,C06003_008EA,C06003_008MA,C06003_009EA,C06003_009MA,C06003_010MA,C06003_010EA,C06003_011MA,C06003_011EA,C06003_012EA,C06003_012MA,C06003_013EA,C06003_013MA,state
0400000US01,4599030,0,2230594,3956,2368436,3956,3261356,18246,1574499,11207,1686857,11329,1175927,17349,570315,10945,605612,10621,31698,3310,17346,2188,14352,2260,130049,5097,Alabama,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,670053,0,344757,1779,325296,1779,260324,5869,132857,3814,127467,4164,350518,5942,181967,4123,168551,3681,12145,2200,6489,1330,5656,1409,47066,3744,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6166318,0,3085331,2212,3080987,2212,2200209,26606,1109048,15358,1091161,16131,2966993,24046,1456851,14095,1510142,14995,70033,5203,36458,3010,33575,3537,929083,18802,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2810872,0,1377539,3500,1433333,3500,1723478,14609,842485,8634,880993,10048,963130,13909,469083,8268,494047,9276,16918,2410,7970,1544,8948,1690,107346,4254,Arkansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36457549,0,18225275,5662,18232274,5662,19089635,57197,9595758,35258,9493877,33869,7070335,39658,3472979,26729,3597356,23260,395512,10569,200995,6943,194517,7527,9902067,50752,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4753377,0,2393355,2622,2360022,2622,2000357,23037,1011678,13297,988679,13258,2199272,20647,1095282,11616,1103990,12717,64252,4809,33905,3439,30347,3009,489496,12993,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3504809,0,1705842,1761,1798967,1761,1953665,16438,960674,10562,992991,10446,988006,14053,471473,9169,516533,9524,110780,5378,50277,3345,60503,3944,452358,13441,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,853476,0,413560,1013,439916,1013,400956,8912,197075,5209,203881,5399,371850,9314,175576,5442,196274,5693,11948,1759,5995,1282,5953,1261,68722,4737,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,581530,0,272604,785,308926,785,232943,6312,107618,4085,125325,3920,267450,5879,125243,3960,142207,4059,7317,1647,2706,678,4611,1238,73820,4254,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18089889,0,8878166,6724,9211723,6724,6079334,39295,3020879,23275,3058455,26421,8068780,34809,3912907,19826,4155873,23137,516141,14648,255732,8591,260409,8697,3425634,30892,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
