GEO_ID,C19001D_001E,C19001D_001M,C19001D_002E,C19001D_002M,C19001D_003E,C19001D_003M,C19001D_004E,C19001D_004M,C19001D_005E,C19001D_005M,C19001D_006E,C19001D_006M,C19001D_007E,C19001D_007M,C19001D_008E,C19001D_008M,C19001D_009E,C19001D_009M,C19001D_010E,C19001D_010M,C19001D_011E,C19001D_011M,NAME,C19001D_001MA,C19001D_001EA,C19001D_002EA,C19001D_002MA,C19001D_003EA,C19001D_003MA,C19001D_004MA,C19001D_004EA,C19001D_005EA,C19001D_005MA,C19001D_006EA,C19001D_006MA,C19001D_007EA,C19001D_007MA,C19001D_008EA,C19001D_008MA,C19001D_009EA,C19001D_009MA,C19001D_010EA,C19001D_010MA,C19001D_011EA,C19001D_011MA,state
0400000US01,14366,1245,1763,726,624,361,1745,669,819,437,2660,743,2570,706,1591,582,1359,471,908,380,327,304,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8168,858,296,284,307,214,676,398,976,443,1090,485,1875,741,1299,501,1238,523,305,203,106,113,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,49897,2533,4414,1263,1659,654,5895,1238,4709,1110,6673,1219,9853,1503,5538,1272,7046,1214,2128,646,1982,669,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,8564,1203,404,305,608,418,1104,593,1043,599,1416,475,1661,660,989,508,909,432,384,258,46,79,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1385718,11477,93146,4714,56122,3340,104485,5110,102323,4505,150172,6267,234803,6209,193546,6229,252202,7487,105661,5256,93258,4610,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,44814,2463,4019,1195,1851,739,4521,1245,3715,888,6715,1251,7649,1302,5685,1328,6264,1166,3207,850,1188,532,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,38016,1773,2342,842,631,426,1435,549,2181,758,3971,996,7196,1384,5214,1044,8256,1375,3475,957,3315,911,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,7971,641,416,258,55,90,658,364,313,234,931,379,1783,604,1457,505,1252,490,487,334,619,385,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9418,1114,717,410,418,347,740,439,483,327,1345,666,1944,792,1241,686,1045,498,733,409,752,462,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,125525,3690,7887,1376,4252,1006,10678,1774,12533,1989,18603,1702,27248,2374,16878,1890,15539,1666,5409,1049,6498,1145,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,76493,2814,5635,1363,2364,715,4639,1359,7344,1210,10475,1767,17226,1872,10992,1555,10125,1432,4225,994,3468,802,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
