GEO_ID,B11001G_001E,B11001G_001M,B11001G_002E,B11001G_002M,B11001G_003E,B11001G_003M,B11001G_004E,B11001G_004M,B11001G_005E,B11001G_005M,B11001G_006E,B11001G_006M,B11001G_007E,B11001G_007M,B11001G_008E,B11001G_008M,B11001G_009E,B11001G_009M,NAME,B11001G_001MA,B11001G_001EA,B11001G_002EA,B11001G_002MA,B11001G_003EA,B11001G_003MA,B11001G_004MA,B11001G_004EA,B11001G_005MA,B11001G_005EA,B11001G_006MA,B11001G_006EA,B11001G_007EA,B11001G_007MA,B11001G_008EA,B11001G_008MA,B11001G_009EA,B11001G_009MA,state
0400000US01,13979,1681,8417,1374,5744,1040,2673,743,718,383,1955,624,5562,1056,5255,1055,307,258,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,10696,1644,7128,1277,4237,970,2891,917,782,433,2109,810,3568,855,2907,884,661,329,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,31961,2538,21341,2291,14140,1793,7201,1535,2226,757,4975,1278,10620,1713,8511,1428,2109,747,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,12950,1404,8244,1310,5964,1075,2280,724,913,473,1367,505,4706,1036,4302,931,404,348,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,252043,6517,161405,5599,105628,5133,55777,3136,16331,2269,39446,2830,90638,4754,64026,4010,26612,2485,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,29776,2939,18154,2002,11296,1605,6858,1426,1538,645,5320,1306,11622,1984,8036,1480,3586,1144,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,14261,1937,9135,1643,6155,1271,2980,834,258,234,2722,794,5126,971,3866,1022,1260,569,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,2302,655,1624,516,832,374,792,371,124,113,668,346,678,436,600,434,78,105,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,3434,881,1387,657,787,442,600,461,57,97,543,451,2047,616,1635,542,412,302,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,86789,4743,59614,3805,42234,3394,17380,2079,4490,984,12890,1853,27175,2329,21668,2013,5507,1430,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,27705,2652,18600,1963,12281,1458,6319,1287,1867,727,4452,1032,9105,1470,6303,1242,2802,781,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,60928,3301,44400,3071,28163,2533,16237,1765,5112,1007,11125,1569,16528,2337,12901,2125,3627,997,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,7659,1029,5751,983,4393,917,1358,501,553,343,805,411,1908,607,1438,564,470,266,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,42716,3347,27824,2484,18851,2197,8973,1440,2260,788,6713,1308,14892,2114,12154,1888,2738,810,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,20319,2097,13148,1686,7765,1365,5383,1219,1064,496,4319,1100,7171,1190,5182,1103,1989,684,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,7803,1542,4883,1153,3062,885,1821,699,414,357,1407,582,2920,976,2264,859,656,422,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,13292,1807,8577,1448,6564,1319,2013,609,506,258,1507,539,4715,1128,4065,1030,650,318,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,12300,1956,8448,1330,5448,995,3000,897,942,509,2058,626,3852,1073,3016,896,836,542,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,10691,1464,6643,1146,4283,862,2360,694,453,238,1907,651,4048,932,3360,842,688,358,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,5413,996,3874,939,2260,870,1614,511,678,315,936,442,1539,518,1209,451,330,305,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,24948,2477,16472,2126,10472,1663,6000,1219,1400,610,4600,1066,8476,1330,6117,1096,2359,830,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,26677,2951,15973,2154,8424,1342,7549,1547,1704,651,5845,1435,10704,1793,7701,1630,3003,800,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,43197,2736,26274,2221,17438,1764,8836,1458,1814,515,7022,1312,16923,1843,14165,1711,2758,880,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,16645,1826,9874,1272,5004,941,4870,1058,1095,411,3775,932,6771,1178,5404,1052,1367,436,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
