GEO_ID,B19001F_001E,B19001F_001M,B19001F_002E,B19001F_002M,B19001F_003E,B19001F_003M,B19001F_004E,B19001F_004M,B19001F_005E,B19001F_005M,B19001F_006E,B19001F_006M,B19001F_007E,B19001F_007M,B19001F_008E,B19001F_008M,B19001F_009E,B19001F_009M,B19001F_010E,B19001F_010M,B19001F_011E,B19001F_011M,B19001F_012E,B19001F_012M,B19001F_013E,B19001F_013M,B19001F_014E,B19001F_014M,B19001F_015E,B19001F_015M,B19001F_016E,B19001F_016M,B19001F_017E,B19001F_017M,NAME,B19001F_001MA,B19001F_001EA,B19001F_002MA,B19001F_002EA,B19001F_003EA,B19001F_003MA,B19001F_004MA,B19001F_004EA,B19001F_005MA,B19001F_005EA,B19001F_006MA,B19001F_006EA,B19001F_007MA,B19001F_007EA,B19001F_008EA,B19001F_008MA,B19001F_009EA,B19001F_009MA,B19001F_010EA,B19001F_010MA,B19001F_011EA,B19001F_011MA,B19001F_012MA,B19001F_012EA,B19001F_013MA,B19001F_013EA,B19001F_014EA,B19001F_014MA,B19001F_015EA,B19001F_015MA,B19001F_016EA,B19001F_016MA,B19001F_017MA,B19001F_017EA,state
0400000US01,8554,1371,1197,687,942,487,830,468,239,199,1103,539,504,319,347,245,517,357,799,398,521,337,237,163,696,331,320,281,58,98,162,127,82,136,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,172718,6117,12139,2084,11672,2052,12124,2094,13509,2207,11152,1974,12376,1970,13180,2014,11228,1793,9454,1693,15464,2250,19038,2141,17957,2338,7434,1438,3285,895,1657,592,1049,424,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,17266,2153,1197,679,1152,567,2594,946,1830,734,2241,838,2028,900,734,449,1238,647,763,388,1236,559,1078,478,648,492,0,257,498,383,0,257,29,50,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1550822,15040,92305,4883,91083,4615,101092,5874,112947,6006,104079,6339,105361,5388,96068,5187,93303,5600,85840,5281,141386,6078,168932,7763,168975,7152,95505,5447,41239,3246,33725,3180,18982,2443,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,99784,3771,8683,1583,7885,1613,6292,1570,6567,1560,7630,1800,8275,1426,6205,1218,7437,1444,5398,1169,7777,1452,10110,1851,9516,1774,4381,1116,1681,520,1315,589,632,328,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,54207,2915,7233,1268,4093,1284,4119,1137,5540,1311,3123,975,3307,1040,2374,992,3255,1001,2303,725,4057,1094,5472,1022,4504,1290,1987,557,1303,602,814,499,723,388,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,5112,860,223,227,351,355,228,221,380,317,122,139,306,284,282,287,396,284,415,296,946,543,438,252,523,401,451,395,0,261,0,261,51,85,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8410,1304,344,349,525,432,401,372,601,514,538,403,401,320,675,431,125,145,452,398,960,551,1046,519,827,526,104,160,813,640,370,281,228,241,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,222371,8260,15513,2093,11501,1796,15344,2282,15106,2082,16965,2273,15405,2035,16529,2514,12798,2355,14363,2238,20698,2469,26039,2584,21446,2680,8997,1578,5311,1449,3780,1083,2576,946,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
