B13004B_007E,B13004B_007M,GEO_ID,B13004B_001E,B13004B_001M,B13004B_002E,B13004B_002M,B13004B_003E,B13004B_003M,B13004B_004E,B13004B_004M,B13004B_005E,B13004B_005M,B13004B_006E,B13004B_006M,B13004B_007EA,B13004B_007MA,NAME,B13004B_001EA,B13004B_001MA,B13004B_002EA,B13004B_002MA,B13004B_003EA,B13004B_003MA,B13004B_004MA,B13004B_004EA,B13004B_005MA,B13004B_005EA,B13004B_006EA,B13004B_006MA,state
219539,5671,0400000US01,339674,3080,18432,2559,5890,1513,12542,2098,321242,3890,101703,4871,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
3051,871,0400000US02,6343,790,906,743,906,743,0,235,5437,1039,2386,863,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
34208,2222,0400000US04,53285,1928,2580,844,1386,659,1194,659,50705,1994,16497,1874,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
73853,3938,0400000US05,121742,2565,8112,1823,1751,785,6361,1544,113630,3093,39777,2766,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
422418,7199,0400000US06,617635,5612,31785,3047,11675,1756,20110,2843,585850,6197,163432,5078,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,06
28137,2480,0400000US08,47088,2044,2853,896,1487,800,1366,611,44235,2297,16098,1782,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
63360,2792,0400000US09,95265,1905,5202,1400,2497,988,2705,1014,90063,2228,26703,2365,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
32734,1987,0400000US10,51989,899,3147,1108,1062,620,2085,864,48842,1310,16108,1733,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
65312,2253,0400000US11,85129,1570,4499,981,1260,568,3239,956,80630,1760,15318,2249,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
488902,9653,0400000US12,781865,6132,44479,4069,16848,2219,27631,3430,737386,7477,248484,7704,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
