GEO_ID,B19001H_001E,B19001H_001M,B19001H_002E,B19001H_002M,B19001H_003E,B19001H_003M,B19001H_004E,B19001H_004M,B19001H_005E,B19001H_005M,B19001H_006E,B19001H_006M,B19001H_007E,B19001H_007M,B19001H_008E,B19001H_008M,B19001H_009E,B19001H_009M,B19001H_010E,B19001H_010M,B19001H_011E,B19001H_011M,B19001H_012E,B19001H_012M,B19001H_013E,B19001H_013M,B19001H_014E,B19001H_014M,B19001H_015E,B19001H_015M,B19001H_016E,B19001H_016M,B19001H_017E,B19001H_017M,NAME,B19001H_001EA,B19001H_001MA,B19001H_002EA,B19001H_002MA,B19001H_003MA,B19001H_003EA,B19001H_004MA,B19001H_004EA,B19001H_005MA,B19001H_005EA,B19001H_006EA,B19001H_006MA,B19001H_007EA,B19001H_007MA,B19001H_008MA,B19001H_008EA,B19001H_009MA,B19001H_009EA,B19001H_010MA,B19001H_010EA,B19001H_011EA,B19001H_011MA,B19001H_012EA,B19001H_012MA,B19001H_013EA,B19001H_013MA,B19001H_014MA,B19001H_014EA,B19001H_015MA,B19001H_015EA,B19001H_016EA,B19001H_016MA,B19001H_017EA,B19001H_017MA,state
0400000US01,1283808,7429,111731,5658,84497,3628,78033,4088,82216,4031,75570,3982,76034,4563,67749,4503,66187,3770,59506,3436,110936,4046,138159,5535,145293,5366,80903,4467,39071,2900,34013,2454,33910,2691,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,167708,2613,5865,1085,7212,1203,4658,1006,6184,1080,7090,1118,7169,1195,7694,1204,8231,1271,7311,1213,14417,1633,20894,2021,27187,2383,16160,1589,10972,1475,10306,1197,6358,949,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1549441,8182,91450,5441,76733,4163,73046,4277,86959,4515,78558,4312,86689,4855,85984,5128,83420,4376,73944,4147,134652,6310,170783,6793,196304,5587,124553,4856,64581,3265,64096,3828,57689,3367,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,869750,6267,76542,4953,63894,3908,62696,3378,64120,4007,59792,3839,55466,2964,50336,3258,49942,3338,45555,2812,77669,4121,83126,3794,86373,4235,39169,2674,22381,2272,16675,1864,16014,1603,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6519439,17320,324783,9415,305607,8330,274857,7716,282553,7992,257595,8437,275294,6707,265609,7731,268928,8052,250706,6523,488918,9870,682299,11175,876233,12850,650301,11063,400349,10722,432311,8528,483096,10145,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1425888,6325,80380,3910,60964,4429,56652,4048,73192,3809,65638,4154,73045,4176,69499,4686,72726,4196,62552,3731,119642,4914,160248,5865,198250,6610,129700,4767,69856,3468,67906,3484,65638,3329,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1039033,6478,40106,2826,41046,2868,36477,3012,39992,2916,40262,2887,44111,2887,41098,3329,43424,3067,37509,2792,79915,4457,114303,4695,157889,5118,108776,4268,65632,3390,67647,3390,80846,3624,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,235773,3099,10776,1818,9530,1267,11248,1550,11804,1522,11967,1603,11660,1640,13639,1665,10834,1633,11476,1618,20130,2167,27608,2501,33396,2304,20987,1733,12853,1957,9393,1212,8472,1266,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,93518,2123,5312,1284,956,436,1766,583,2299,787,2121,836,1939,602,3003,687,2901,781,2874,782,6445,957,9082,1443,12551,1897,11075,1550,5873,965,9083,1340,16238,1766,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4812539,17291,299996,8676,263062,7649,268921,7118,281375,7316,281779,8154,276783,8291,263214,8347,256713,7839,231117,7895,430411,8443,521450,11299,558868,11980,353357,10097,174214,6763,161915,6535,189364,5229,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
