GEO_ID,B18043_001E,B18043_001M,B18043_002E,B18043_002M,B18043_003E,B18043_003M,B18043_004E,B18043_004M,B18043_005E,B18043_005M,B18043_006E,B18043_006M,B18043_007E,B18043_007M,NAME,B18043_001MA,B18043_001EA,B18043_002MA,B18043_002EA,B18043_003MA,B18043_003EA,B18043_004MA,B18043_004EA,B18043_005MA,B18043_005EA,B18043_006EA,B18043_006MA,B18043_007MA,B18043_007EA,state
0400000US01,24438,416,11911,771,16580,2037,10060,1169,24967,356,31035,269,19273,463,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,29979,1168,10817,2739,11044,3975,10506,4594,30366,585,36932,1048,24177,1250,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,27365,257,12054,1326,12717,2746,11409,1410,27777,363,31902,284,23158,433,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,22209,226,11466,765,13424,2073,8860,2260,22622,335,28147,580,18246,393,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,29822,214,12134,478,13207,1468,11326,662,30181,99,35087,163,24466,217,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,29688,448,11276,1046,12158,2763,10173,1670,30176,231,35498,369,23980,444,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,34321,609,10392,1283,10169,1916,10586,1814,35059,436,42014,453,28153,719,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,30898,513,16117,2783,14323,4284,19637,5686,31230,518,37014,943,26070,835,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,36701,984,7327,4627,6408,7852,8565,5884,37132,1118,39946,1732,35514,1500,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,26569,145,12486,925,15518,989,11055,594,26842,151,31283,171,22477,185,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,26996,199,12677,1426,13644,2130,11920,1241,27265,202,32144,215,22349,256,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,30150,558,11160,2561,11082,6706,11214,2239,30393,490,35638,792,26002,638,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,23541,479,8952,2348,9779,2847,7539,3209,24092,475,30014,564,17637,545,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,29604,273,11741,798,12694,1574,10855,995,30053,156,36331,230,23305,327,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,26477,197,10831,773,12357,1425,8769,1414,26866,211,33301,395,21064,239,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,25310,216,7441,997,8236,1494,6597,1352,25765,213,31293,291,20704,259,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,25684,278,9292,1214,10242,1975,8669,1149,26107,267,31728,333,20676,318,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,24901,314,9150,1030,10115,1513,8172,1385,25337,261,31031,340,20411,301,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,23334,385,9754,1048,12176,2271,8402,1268,23924,386,31655,272,17421,342,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
