GEO_ID,B25087_001E,B25087_001M,B25087_002E,B25087_002M,B25087_003E,B25087_003M,B25087_004E,B25087_004M,B25087_005E,B25087_005M,B25087_006E,B25087_006M,B25087_007E,B25087_007M,B25087_008E,B25087_008M,B25087_009E,B25087_009M,B25087_010E,B25087_010M,B25087_011E,B25087_011M,B25087_012E,B25087_012M,B25087_013E,B25087_013M,B25087_014E,B25087_014M,B25087_015E,B25087_015M,B25087_016E,B25087_016M,B25087_017E,B25087_017M,B25087_018E,B25087_018M,B25087_019E,B25087_019M,B25087_020E,B25087_020M,B25087_021E,B25087_021M,B25087_022E,B25087_022M,B25087_023E,B25087_023M,B25087_024E,B25087_024M,B25087_025E,B25087_025M,B25087_026E,B25087_026M,B25087_027E,B25087_027M,B25087_028E,B25087_028M,B25087_029E,B25087_029M,NAME,B25087_001EA,B25087_001MA,B25087_002EA,B25087_002MA,B25087_003MA,B25087_003EA,B25087_004MA,B25087_004EA,B25087_005MA,B25087_005EA,B25087_006EA,B25087_006MA,B25087_007EA,B25087_007MA,B25087_008MA,B25087_008EA,B25087_009MA,B25087_009EA,B25087_010MA,B25087_010EA,B25087_011EA,B25087_011MA,B25087_012EA,B25087_012MA,B25087_013EA,B25087_013MA,B25087_014MA,B25087_014EA,B25087_015MA,B25087_015EA,B25087_016MA,B25087_016EA,B25087_017EA,B25087_017MA,B25087_018EA,B25087_018MA,B25087_019MA,B25087_019EA,B25087_020MA,B25087_020EA,B25087_021MA,B25087_021EA,B25087_022EA,B25087_022MA,B25087_023EA,B25087_023MA,B25087_024EA,B25087_024MA,B25087_025MA,B25087_025EA,B25087_026MA,B25087_026EA,B25087_027MA,B25087_027EA,B25087_028EA,B25087_028MA,B25087_029EA,B25087_029MA,state
0400000US01,1289272,11970,789058,11033,289,232,2941,725,13679,1740,32297,2700,56426,4031,67418,4241,82406,3934,76608,4521,70939,4140,140550,5204,89199,4637,89447,4407,34476,2515,15455,1655,16928,1927,500214,8788,11631,1473,29253,2566,58431,3543,79930,3703,75842,4041,72147,3499,49861,3309,66884,3724,27360,2592,12274,1618,16601,1847,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,148249,3302,102554,3334,51,50,477,199,1096,472,1244,403,1506,481,2281,579,2655,839,4799,1148,3773,593,12188,1454,14592,1408,29846,2167,16548,1743,6599,1170,4899,1096,45695,2226,1372,522,1821,476,2121,445,2459,511,3545,699,3234,593,3072,549,8349,1187,6643,1008,5555,966,7524,1029,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1523041,12956,1084174,13330,1192,570,3107,727,8690,1366,16999,1983,26252,2448,39651,3105,53260,3497,65362,3532,68886,3868,185733,6137,167811,5912,225156,6877,109176,4908,49763,3466,63136,3473,438867,6668,20203,2085,24280,2341,43020,2574,54462,3077,54737,3210,56304,3078,47465,2859,65389,4038,32839,2777,18051,1798,22117,2093,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,753412,8763,439018,9299,329,248,2519,641,7810,1408,22426,2120,38878,2563,46105,3352,50123,2834,47760,2699,42932,2974,74213,4805,44442,3249,37008,2435,12936,1679,4138,898,7399,1235,314394,6698,4665,889,19548,2311,38913,2395,50923,3046,51116,3370,44525,2966,33769,2413,35997,2359,19701,1750,6358,991,8879,1412,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7102197,26399,5431478,25319,1353,479,6807,1165,17789,1938,29713,2632,46406,2814,67257,4447,84941,3514,116978,4775,134374,6150,410167,9280,491556,9566,1052434,15116,899823,14504,678763,11296,1393117,13816,1670719,15863,37655,3267,50893,3581,87687,4356,135609,4695,159213,5008,167292,5504,154516,5179,253954,7188,188801,6124,130107,5423,304992,7765,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1269421,10162,980544,9125,379,238,1987,591,4521,981,7893,1364,13802,1524,20877,1993,31588,2350,40679,2734,45373,3273,137929,5213,165190,6295,255687,6679,128852,4357,59834,2866,65953,3397,288877,5949,2788,828,5914,1121,14313,1674,29821,2214,37499,2994,37821,2505,32378,2349,54093,3038,29667,2509,17833,1975,26750,2078,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,921382,7687,665431,8070,142,137,471,247,2068,663,3443,795,3843,816,7141,1190,9911,1364,13065,1540,16643,1645,63492,3420,86832,4177,167362,5477,122114,4612,66168,3156,102736,4083,255951,5671,484,243,575,348,1738,595,1326,447,3543,752,5875,1181,8661,1365,32892,2110,43611,3176,41459,2378,115787,3410,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,238194,3604,158699,3796,83,71,578,364,1263,535,2119,626,3445,818,5101,969,7101,1246,9158,1487,11466,1679,26797,2376,25227,2142,36703,2115,16029,1771,7376,1164,6253,1054,79495,3215,807,334,2794,676,5454,894,9559,1493,9831,1257,10893,1503,8574,964,10525,1376,8751,1186,6069,969,6238,978,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,114586,3453,87339,3430,0,292,353,239,416,297,463,265,928,394,878,422,2639,720,2182,593,3323,888,8821,1483,8833,1426,16310,1653,12943,1562,10877,1617,18373,1803,27247,2073,385,283,381,272,632,299,1221,423,2014,495,2027,656,3074,916,3921,954,4350,919,2050,690,7192,1249,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4994101,23446,3283171,21249,1043,534,7203,1564,19157,1714,44345,3434,83788,4558,123916,5553,156374,6790,177116,7205,205250,7538,510397,9981,446132,11204,669552,13297,374494,8559,195629,6526,268775,7343,1710930,16837,28765,3048,56410,3781,84917,5414,129741,5914,148584,5226,164571,6060,155422,5757,280234,7793,206285,6770,138771,6048,317230,8800,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
